q0,q1,mu_eV,kBT_eV,grand_potential_eV,gradient,hessian,mean_excess_electrons
-0.1,0.05,-0.1,0.01,2.168404344971009e-19,3.469446951953614e-18,1.1102230246251565e-16,0.0
-0.1,0.05,-0.1,0.025,1.734723475976807e-18,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16
-0.1,0.05,-0.1,0.08,6.938893903907228e-18,0.0,5.551115123125783e-17,0.0
-0.1,0.05,0.0,0.01,0.0,5.551115123125783e-17,1.1102230246251565e-15,1.1102230246251565e-16
-0.1,0.05,0.0,0.025,0.0,1.3877787807814457e-17,4.996003610813204e-16,1.1102230246251565e-16
-0.1,0.05,0.0,0.08,0.0,2.7755575615628914e-17,1.6653345369377348e-16,1.1102230246251565e-16
-0.1,0.05,0.1,0.01,0.0,6.938893903907228e-17,8.881784197001252e-16,0.0
-0.1,0.05,0.1,0.025,0.0,5.551115123125783e-17,4.440892098500626e-16,2.220446049250313e-16
-0.1,0.05,0.1,0.08,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0
0.0,0.0,-0.1,0.01,5.082197683525802e-21,3.2526065174565133e-19,6.938893903907228e-18,6.505213034913027e-19
0.0,0.0,-0.1,0.025,4.336808689942018e-19,6.938893903907228e-18,5.551115123125783e-17,1.3877787807814457e-17
0.0,0.0,-0.1,0.08,1.3877787807814457e-17,2.7755575615628914e-17,1.6653345369377348e-16,5.551115123125783e-17
0.0,0.0,0.0,0.01,3.469446951953614e-18,1.1102230246251565e-16,2.55351295663786e-15,2.220446049250313e-16
0.0,0.0,0.0,0.025,6.938893903907228e-18,5.551115123125783e-17,6.661338147750939e-16,1.1102230246251565e-16
0.0,0.0,0.0,0.08,0.0,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16
0.0,0.0,0.1,0.01,2.7755575615628914e-17,5.551115123125783e-17,8.881784197001252e-16,0.0
0.0,0.0,0.1,0.025,2.7755575615628914e-17,8.326672684688674e-17,8.881784197001252e-16,0.0
0.0,0.0,0.1,0.08,0.0,1.3877787807814457e-17,2.7755575615628914e-16,0.0
0.12,-0.08,-0.1,0.01,6.352747104407253e-22,4.0657581468206416e-20,8.673617379884035e-19,1.6263032587282567e-19
0.12,-0.08,-0.1,0.025,3.2526065174565133e-19,1.734723475976807e-18,6.938893903907228e-18,6.938893903907228e-18
0.12,-0.08,-0.1,0.08,0.0,1.0408340855860843e-17,1.1102230246251565e-16,0.0
0.12,-0.08,0.0,0.01,1.734723475976807e-18,2.7755575615628914e-17,5.551115123125783e-16,1.1102230246251565e-16
0.12,-0.08,0.0,0.025,6.938893903907228e-18,1.3877787807814457e-17,3.3306690738754696e-16,1.1102230246251565e-16
0.12,-0.08,0.0,0.08,1.3877787807814457e-17,1.3877787807814457e-17,2.220446049250313e-16,2.220446049250313e-16
0.12,-0.08,0.1,0.01,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-15,0.0
0.12,-0.08,0.1,0.025,2.7755575615628914e-17,2.7755575615628914e-17,5.551115123125783e-16,0.0
0.12,-0.08,0.1,0.08,0.0,8.326672684688674e-17,4.996003610813204e-16,2.220446049250313e-16
