sample_id,temperature_C,scenario,delta_c11_GPa,delta_c12_GPa,delta_c44_GPa,H_Airy_GPa_inv,H_Fourier_GPa_inv,relative_error,subspace_residual
B3,-40.0,measured_fit,0.0,0.0,0.0,0.005738716365364726,0.005738716365364721,8.881784197001252e-16,2.2309164400052043e-15
B3,25.0,measured_fit,0.0,0.0,0.0,0.0057512388419234586,0.005751238841923455,5.551115123125783e-16,1.8029410964307537e-15
B3,85.0,measured_fit,0.0,0.0,0.0,0.0057674271683179935,0.005767427168317989,7.771561172376096e-16,3.7419557612863826e-15
B3,25.0,c0_sensitivity_corner,-0.3,-0.1,-0.2,0.005763849947082918,0.00576384994708291,1.3322676295501878e-15,1.4540749778456809e-15
B3,25.0,c0_sensitivity_corner,-0.3,-0.1,0.2,0.005749336018310566,0.005749336018310556,1.6653345369377348e-15,1.96346176889914e-15
B3,25.0,c0_sensitivity_corner,-0.3,0.1,-0.2,0.005764163051369443,0.005764163051369434,1.5543122344752192e-15,1.8872260718195144e-15
B3,25.0,c0_sensitivity_corner,-0.3,0.1,0.2,0.005749643422057659,0.005749643422057657,4.440892098500626e-16,2.9855311714364274e-15
B3,25.0,c0_sensitivity_corner,0.3,-0.1,-0.2,0.005752866564020125,0.005752866564020119,8.881784197001252e-16,1.6975490211741756e-15
B3,25.0,c0_sensitivity_corner,0.3,-0.1,0.2,0.005738386528155635,0.0057383865281556284,1.2212453270876722e-15,1.2226047513761524e-15
B3,25.0,c0_sensitivity_corner,0.3,0.1,-0.2,0.005753169350814667,0.005753169350814667,0.0,1.4184438310045583e-15
B3,25.0,c0_sensitivity_corner,0.3,0.1,0.2,0.0057386836882539405,0.005738683688253934,1.1102230246251565e-15,2.6235833056727805e-15
B0.6,-40.0,measured_fit,0.0,0.0,0.0,0.0056680046598031105,0.0056680046598031044,1.1102230246251565e-15,1.9079971085385626e-15
B0.6,25.0,measured_fit,0.0,0.0,0.0,0.005688632219649437,0.005688632219649437,0.0,2.330125780947385e-15
B0.6,85.0,measured_fit,0.0,0.0,0.0,0.005710838906721152,0.00571083890672115,4.440892098500626e-16,1.5747009086322315e-15
B0.6,25.0,c0_sensitivity_corner,-0.3,-0.1,-0.2,0.005700961549214467,0.005700961549214456,1.9984014443252818e-15,3.2701115760342045e-15
B0.6,25.0,c0_sensitivity_corner,-0.3,-0.1,0.2,0.00568681031649426,0.005686810316494261,2.220446049250313e-16,2.5536284451272262e-15
B0.6,25.0,c0_sensitivity_corner,-0.3,0.1,-0.2,0.0057012475964013315,0.005701247596401331,1.1102230246251565e-16,1.706516530511187e-15
B0.6,25.0,c0_sensitivity_corner,-0.3,0.1,0.2,0.005687090936088904,0.005687090936088899,8.881784197001252e-16,1.3298304629715482e-15
B0.6,25.0,c0_sensitivity_corner,0.3,-0.1,-0.2,0.005690204659431977,0.0056902046594319725,7.771561172376096e-16,1.9542843736977637e-15
B0.6,25.0,c0_sensitivity_corner,0.3,-0.1,0.2,0.005676086103002838,0.005676086103002842,6.661338147750939e-16,1.6483378616371237e-15
B0.6,25.0,c0_sensitivity_corner,0.3,0.1,-0.2,0.005690480841935601,0.005690480841935594,1.2212453270876722e-15,1.2033130434092924e-15
B0.6,25.0,c0_sensitivity_corner,0.3,0.1,0.2,0.005676356927894368,0.005676356927894355,2.3314683517128287e-15,2.650314591465334e-15
As1.7,-40.0,measured_fit,0.0,0.0,0.0,0.005702033211982741,0.005702033211982734,1.2212453270876722e-15,1.7042446450399422e-15
As1.7,25.0,measured_fit,0.0,0.0,0.0,0.0057202222540765416,0.005720222254076525,2.886579864025407e-15,1.776898857793666e-15
As1.7,80.0,measured_fit,0.0,0.0,0.0,0.005739035321287036,0.0057390353212870455,1.5543122344752192e-15,2.5810073778741916e-15
As1.7,25.0,c0_sensitivity_corner,-0.3,-0.1,-0.2,0.005732689226995909,0.005732689226995903,1.1102230246251565e-15,2.1928139868591577e-15
As1.7,25.0,c0_sensitivity_corner,-0.3,-0.1,0.2,0.005718411627228565,0.005718411627228563,3.3306690738754696e-16,1.5939267621821822e-15
As1.7,25.0,c0_sensitivity_corner,-0.3,0.1,-0.2,0.0057330333171194,0.005733033317119405,6.661338147750939e-16,9.053129430733555e-16
As1.7,25.0,c0_sensitivity_corner,-0.3,0.1,0.2,0.00571874995369261,0.005718749953692598,1.9984014443252818e-15,2.4649834613922127e-15
As1.7,25.0,c0_sensitivity_corner,0.3,-0.1,-0.2,0.00572172636239047,0.0057217263623904665,5.551115123125783e-16,1.3889448923935883e-15
As1.7,25.0,c0_sensitivity_corner,0.3,-0.1,0.2,0.005707482351361961,0.0057074823513619645,6.661338147750939e-16,1.5667309476646403e-15
As1.7,25.0,c0_sensitivity_corner,0.3,0.1,-0.2,0.005722059921342785,0.005722059921342778,1.2212453270876722e-15,1.6907459020407286e-15
As1.7,25.0,c0_sensitivity_corner,0.3,0.1,0.2,0.005707810221008337,0.00570781022100833,1.2212453270876722e-15,1.9540595455978648e-15
As2.5,-40.0,measured_fit,0.0,0.0,0.0,0.005710989541983234,0.005710989541983228,1.1102230246251565e-15,1.5022307171636372e-15
As2.5,25.0,measured_fit,0.0,0.0,0.0,0.005728518008724841,0.005728518008724831,1.7763568394002505e-15,1.671381537935194e-15
As2.5,85.0,measured_fit,0.0,0.0,0.0,0.005748550452598433,0.0057485504525984325,1.1102230246251565e-16,2.0588595373383125e-15
As2.5,25.0,c0_sensitivity_corner,-0.3,-0.1,-0.2,0.005741026369236013,0.005741026369236011,3.3306690738754696e-16,2.322325095332009e-15
As2.5,25.0,c0_sensitivity_corner,-0.3,-0.1,0.2,0.005726693231647032,0.005726693231647024,1.3322676295501878e-15,1.5030355367609337e-15
As2.5,25.0,c0_sensitivity_corner,-0.3,0.1,-0.2,0.005741406929245197,0.005741406929245189,1.5543122344752192e-15,2.329466881471039e-15
As2.5,25.0,c0_sensitivity_corner,-0.3,0.1,0.2,0.0057270678446225826,0.005727067844622577,8.881784197001252e-16,2.2248760170653742e-15
As2.5,25.0,c0_sensitivity_corner,0.3,-0.1,-0.2,0.005730000235648624,0.005730000235648625,2.220446049250313e-16,2.489815917893055e-15
As2.5,25.0,c0_sensitivity_corner,0.3,-0.1,0.2,0.00571570106753255,0.005715701067532542,1.3322676295501878e-15,3.0348678589506477e-15
As2.5,25.0,c0_sensitivity_corner,0.3,0.1,-0.2,0.005730369929243207,0.0057303699292432075,2.220446049250313e-16,3.061134255681825e-15
As2.5,25.0,c0_sensitivity_corner,0.3,0.1,0.2,0.005716064890531334,0.005716064890531334,0.0,2.4810039169297936e-15
P4.1,-40.0,measured_fit,0.0,0.0,0.0,0.005735435367524071,0.0057354353675240655,8.881784197001252e-16,2.575023901703508e-15
P4.1,25.0,measured_fit,0.0,0.0,0.0,0.00575146866097221,0.005751468660972206,7.771561172376096e-16,1.5859889040806526e-15
P4.1,85.0,measured_fit,0.0,0.0,0.0,0.0057701408829391385,0.005770140882939136,4.440892098500626e-16,3.0361685121323017e-15
P4.1,25.0,c0_sensitivity_corner,-0.3,-0.1,-0.2,0.005764081586433666,0.005764081586433663,5.551115123125783e-16,1.6672869891915391e-15
P4.1,25.0,c0_sensitivity_corner,-0.3,-0.1,0.2,0.005749633456539967,0.005749633456539968,2.220446049250313e-16,2.993734699486488e-15
