cell,x_m,y_m,z_m,normalized_axial_coordinate,critical_tail_probability
0,0.00078125000000000004,0,0,0,0.0011832861259351269
1,0.0023437500000000003,0,0,0.032258064516129031,0.0011832861259351269
2,0.00390625,0,0,0.064516129032258063,0.0011832861259351249
3,0.0054687500000000005,0,0,0.096774193548387094,0.0011832861259351249
4,0.0070312500000000002,0,0,0.12903225806451613,0.0011832861259351249
5,0.0085937500000000007,0,0,0.16129032258064513,0.0011832861259351269
6,0.010156250000000002,0,0,0.19354838709677419,0.0011832861259351238
7,0.01171875,0,0,0.22580645161290316,0.0011832861259351254
8,0.013281250000000001,0,0,0.25806451612903225,0.001183286125935126
9,0.014843749999999999,0,0,0.2903225806451612,0.0011832861259351256
10,0.016406250000000001,0,0,0.32258064516129026,0.0011832861259351286
11,0.017968750000000002,0,0,0.35483870967741932,0.0011832861259351249
12,0.01953125,0,0,0.38709677419354832,0.0011832861259351271
13,0.021093750000000001,0,0,0.41935483870967738,0.0011832861259351273
14,0.022656250000000003,0,0,0.45161290322580644,0.0011832861259351264
15,0.024218750000000001,0,0,0.48387096774193539,0.0011832861259351251
16,0.025781250000000002,0,0,0.5161290322580645,0.0011832861259351247
17,0.02734375,0,0,0.54838709677419339,0.0011832861259351273
18,0.028906250000000001,0,0,0.58064516129032251,0.0011832861259351249
19,0.030468750000000003,0,0,0.61290322580645151,0.0011832861259351241
20,0.032031249999999997,0,0,0.64516129032258052,0.0011832861259351262
21,0.033593750000000006,0,0,0.67741935483870974,0.0011832861259351256
22,0.03515625,0,0,0.70967741935483863,0.0011832861259351264
23,0.036718750000000008,0,0,0.74193548387096786,0.0011832861259351256
24,0.038281250000000003,0,0,0.77419354838709675,0.0011832861259351286
25,0.039843749999999997,0,0,0.80645161290322565,0.0011832861259351288
26,0.041406250000000006,0,0,0.83870967741935487,0.0011832861259351273
27,0.04296875,0,0,0.87096774193548376,0.001183286125935128
28,0.044531250000000008,0,0,0.90322580645161299,0.001183286125935128
29,0.046093750000000003,0,0,0.93548387096774188,0.0011832861259351288
30,0.047656249999999997,0,0,0.96774193548387077,0.0011832861259351286
31,0.049218750000000006,0,0,1,0.0011832861259351286
