model,role,radius_A,target_density,predicted_density,normalized_value_residual,reference_log_slope,predicted_log_slope,reference_log_curvature,predicted_log_curvature
single_exponential,fit,2.0,0.08075123337254307,0.11821700471112233,4.639653138885469,0.20682238748597095,-1.2382152150226402,-0.04350826186358097,0.0
single_exponential,fit,2.25,0.08441533996452667,0.08674459875975439,0.27592837939248094,0.12518362716599196,-1.2382152150226402,-0.5968173978176808,0.0
single_exponential,fit,2.5,0.08501267619297094,0.06365095641171185,-2.512768770244328,-0.09214193579643445,-1.2382152150226402,-1.164668285697708,0.0
single_exponential,fit,2.75,0.07947647630483151,0.0467054353821662,-4.123363597169582,-0.48443042272441394,-1.2382152150226402,-2.0590069545462035,0.0
single_exponential,fit,3.0,0.06548302946950739,0.03427124771115492,-4.766392454839989,-1.0734017915729002,-1.2382152150226402,-2.408697569252208,0.0
single_exponential,fit,3.25,0.046292700852482,0.02514736047461866,-4.567748260194592,-1.706863507925773,-1.2382152150226402,-2.559349963383949,0.0
single_exponential,fit,3.5,0.02808799530726896,0.01845248659080995,-3.430472203890398,-2.22150034487132,-1.2382152150226402,-0.8029461638985538,0.0
single_exponential,fit,3.75,0.015824313335818047,0.013539960256571802,-1.44357169298187,-2.3393344620131713,-1.2382152150226404,-0.10586742583348663,-6.661338147750939e-16
single_exponential,fit,4.0,0.008926165229966457,0.009935274730986635,1.1305073063541866,-2.181536817119835,-1.2382152150226402,1.2558044311473777,0.0
single_exponential,fit,4.25,0.005434943781013158,0.007290249166888911,2.1823867556696848,-1.7963354095360444,-1.2382152150226402,1.0310590036076772,0.0
single_exponential,fit,4.5,0.003610676216321006,0.005349397410175753,2.0452493342381204,-1.4271493726732558,-1.2382152150226402,2.002313729776891,0.0
single_exponential,fit,4.75,0.0026994439415409226,0.00392525028938165,1.4419100806311045,-0.9098093696035269,-1.2382152150226402,1.7907252718342628,0.0
single_exponential,fit,5.0,0.002222145081333769,0.002880247746219424,0.7741229830147008,-0.7589346719117754,-1.2382152150226402,-0.9180205344524007,0.0
single_exponential,fit,5.25,0.0017712363154929564,0.002113451746514977,0.40254635702236125,-1.0950386665467335,-1.2382152150226402,-1.913014615881767,0.0
