name,reference,prediction,scale,residual,units,exact,selected
normal_strain_force_ev,0.0,-4.440892098500626e-16,0.1,-4.440892098500626e-15,eV/strain,True,False
cohesive_ev_atom,3.36,3.3599999999999985,0.0672,-1.9825411154020654e-14,eV/atom,True,False
C11_GPa,113.99999999999996,113.99999999999997,5.699999999999998,2.4931324061757908e-15,GPa,True,False
C12_GPa,62.000000000000014,62.0,3.100000000000001,-4.584146682323225e-15,GPa,True,False
C44_GPa,32.0,32.00000000000001,1.6,4.440892098500626e-15,GPa,True,False
perfect_Haa,19.66091286328976,19.660912863289752,1.9660912863289761,-3.613986495442962e-15,eV/L0^2,True,False
perfect_Hxx,4.393593035123306,4.393593035123309,0.43935930351233066,6.064592778164752e-15,eV/L0^2,True,False
saddle_energy_at_source_state,0.07624909750742465,0.023003638074663147,0.007624909750742465,-6.9830937248243234,eV/cell,False,False
saddle_normal_force_at_source_state,1.4903612010162394e-15,0.006337047378547586,0.03173805605024358,0.1996671556857201,eV/L0,False,False
fault_energy_at_source_state,0.06670794504308616,0.031241586935036408,0.006670794504308616,-5.316661768720697,eV/cell,False,False
fault_normal_force_at_source_state,5.29078226360765e-15,-0.044747903450503994,0.03173805605024358,-1.40991317740665,eV/L0,False,False
saddle_path_force_at_source_state,2.296700476743968e-16,0.09922295226680605,0.03173805605024358,3.1263084326818533,eV/L0,False,False
opening_1.1h_energy,0.05670265774764735,0.02788440831169528,0.005670265774764736,-5.082345445641438,eV/cell,False,False
opening_1.5h_energy,0.4710312483934004,0.26505800430699455,0.04710312483934004,-4.37281485652899,eV/cell,False,False
opening_2h_energy,0.7060534019484034,0.46480072382416976,0.07060534019484034,-3.416918287745376,eV/cell,False,False
opening_40h_energy,0.7719163228888833,0.652464609299925,0.07719163228888834,-1.5474697197995813,eV/cell,False,False
direct_quarter_energy,0.117221996542065,0.0473068197354831,0.0117221996542065,-5.96433936198083,eV/cell,False,False
direct_half_energy,0.26732847628894163,0.14377196222239863,0.026732847628894163,-4.621898713588489,eV/cell,False,False
oblique_energy,0.13339289745734875,0.005491353138982924,0.013339289745734876,-9.588332419217542,eV/cell,False,False
opening_1.25h_energy,0.24853683654490819,0.11167254674107067,0.02485368365449082,-5.506800992017434,eV/cell,False,False
opening_3h_energy,0.7719163228888833,0.5916814705107857,0.07719163228888834,-2.334901426926326,eV/cell,False,False
saddle_Haa,12.717337762538286,12.589613060263181,1.2717337762538286,-0.10043352206257009,eV/L0^2,False,True
saddle_Hxx,-0.18642463121762062,-0.18456846720241687,0.018642463121762064,0.09956645766604612,eV/L0^2,False,True
fault_Haa,14.140554350039636,11.147157795127669,1.4140554350039638,-2.1168876981853098,eV/L0^2,False,True
fault_Hxx,2.4858929774856264,-0.5544713976639136,0.24858929774856264,-12.230471716544844,eV/L0^2,False,True
saddle_normal_path_coupling,1.2055891043737141,0.622379338941789,0.12055891043737142,-4.837550068394936,eV/L0^2,False,True
opening_1.1h_normal_force,1.2761663221727821,0.5586055633511052,0.03173805605024358,-22.608844022637292,eV/L0,False,False
opening_1.3h_normal_force,1.4139711872929317,0.7737465077408663,0.03173805605024358,-20.172145343071566,eV/L0,False,False
opening_1.5h_normal_force,0.6379256757978651,0.6910644490819883,0.03173805605024358,1.6742919982244902,eV/L0,False,False
opening_2h_normal_force,0.5548811295393773,0.3149970317865663,0.03173805605024358,-7.5582479712386155,eV/L0,False,False
opening_2.5h_normal_force,0.0005156382639574782,0.13813329458444226,0.03173805605024358,4.336045537969507,eV/L0,False,False
opening_3h_normal_force,0.0,0.06743272198368175,0.03173805605024358,2.1246645313415224,eV/L0,False,False
shockley_0.15_energy,0.013715574532912111,0.002653020044085432,0.004433026104653031,-2.495485979027984,eV/cell,False,False
