layer,additional_slip_x_over_L0,additional_slip_y_over_L0,opening_change_over_L0,x_phase_dispersion,transverse_row_dispersion,minimum_scalar_x_partition_margin,distance_to_perfect_extra_registry,distance_to_extra_tau,distance_to_extra_2tau,closest_extra_registry_class,scalar_x_partition_is_not_vector_plastic_strain
0,-5.575190613511519e-11,-1.4661858797958274e-11,-3.144798110950635e-11,5.685541788597073e-10,1.2352378582454502e-10,0.49999999985375987,5.764759440869984e-11,0.577350269148674,0.5773502691340123,0,True
1,6.977492177349295e-12,1.7898983890119698e-11,1.1124382747300147e-12,3.1780977596638626e-10,1.2631903177789988e-10,0.4999999999533314,1.9210908916127187e-11,0.5773502691746336,0.5773502691717267,0,True
2,2.919544028919911e-11,1.643030850912625e-11,-1.3962953259697036e-12,4.0691763167738773e-10,8.432851261122519e-11,0.4999999999174772,3.350117567168736e-11,0.5773502691561266,0.5773502691725569,0,True
3,2.0203022624843648e-11,6.097199432474083e-12,-1.3400209261082456e-12,3.663484499950762e-10,7.738523569758648e-11,0.4999999999408995,2.1103032106768605e-11,0.5773502691690808,0.577350269175178,0,True
4,5.8920026563109844e-12,2.5919995633076126e-12,5.524562566669728e-12,4.0951300328347673e-10,1.0032528991232104e-10,0.499999999940716,6.436936929795301e-12,0.5773502691832272,0.5773502691858192,0,True
5,6.9341590936709e-12,1.2202053474031998e-11,1.467914120546005e-11,2.729314798196125e-10,8.049589839022941e-11,0.4999999999579658,1.4034695269918588e-11,0.5773502691775195,0.5773502691774237,0,True
6,-6.784499417001357e-13,2.1190854313410648e-11,1.233324874014399e-11,1.7223216587262893e-10,8.779939858046487e-11,0.4999999999723149,2.1201712215186482e-11,0.5773502691784428,0.5773502691684349,0,True
7,-1.0076835182191179e-11,2.321502404573444e-11,1.1771521793645206e-11,1.2493829483520935e-10,7.283554998546784e-11,0.49999999997003863,2.5307705323341232e-11,0.5773502691692914,0.5773502691664107,0,True
8,5.569138874200035e-13,2.001410217317788e-11,1.8515900355735077e-11,2.6474980662067895e-10,8.500673137963677e-11,0.4999999999573069,2.002184903739924e-11,0.5773502691791365,0.5773502691696116,0,True
9,3.1789245378356323e-12,4.37464191106878e-12,1.2686629499340076e-11,1.7392588613426163e-10,8.252248134177311e-11,0.4999999999754977,5.407684630905634e-12,0.5773502691846855,0.5773502691852511,0,True
10,-4.986824087436269e-11,-3.557093605555495e-11,-1.0146839160578354e-12,4.09712889432971e-10,1.0452484732498213e-10,0.49999999988492394,6.125465647419661e-11,0.5773502691540549,0.5773502691286531,0,True
11,-8.312648396346644e-11,-5.2281092024422924e-11,-1.2347825531085515e-11,8.286989803397063e-10,1.4110646656962486e-10,0.499999999784982,9.820043237885779e-11,0.5773502691373447,0.5773502690914957,0,True
12,-4.960212040714999e-11,-3.551413448112152e-11,-9.179449222945277e-13,4.1476995217525504e-10,9.954975557076577e-11,0.49999999988438515,6.100511533329472e-11,0.5773502691541116,0.577350269128912,0,True
13,3.4267661905601767e-12,4.3992162544015005e-12,1.27447885139386e-11,1.6199825628150012e-10,8.228288220790042e-11,0.499999999977644,5.57636352632759e-12,0.5773502691844585,0.5773502691852265,0,True
14,6.442813102375612e-13,1.9944269851033765e-11,1.848848616890703e-11,2.6076944568192576e-10,8.91228980737109e-11,0.499999999957853,1.9954673595365468e-11,0.5773502691790956,0.5773502691696815,0,True
15,-1.0111632370410228e-11,2.3167803715808037e-11,1.168610252244935e-11,1.2473244520248771e-10,7.68950641901131e-11,0.49999999997003663,2.527829579320047e-11,0.577350269169285,0.5773502691664579,0,True
16,-7.100434418948069e-13,2.1179870141569168e-11,1.2276269661221713e-11,1.7203236397792844e-10,8.799770417447098e-11,0.49999999997191014,2.1191768706342352e-11,0.5773502691784208,0.5773502691684459,0,True
17,6.925389492146431e-12,1.2230755058322528e-11,1.4654701860281355e-11,2.7706622488277304e-10,7.973450079385628e-11,0.4999999999579022,1.4055333112901106e-11,0.5773502691775128,0.577350269177395,0,True
18,5.814227538346642e-12,2.598731616813877e-12,5.494149129593094e-12,4.276869879147133e-10,9.74120779143089e-11,0.4999999999377457,6.3685671766808364e-12,0.5773502691832911,0.5773502691858898,0,True
19,2.0134201806808784e-11,6.1643426570763935e-12,-1.350893114105983e-12,3.6124531948817073e-10,7.863361638238408e-11,0.49999999994279054,2.105671395995001e-11,0.5773502691691068,0.5773502691752712,0,True
20,2.913461683558077e-11,1.6487949224601975e-11,-1.4152409763228705e-12,4.169002849825467e-10,8.539465180367527e-11,0.4999999999172325,3.34765345845289e-11,0.5773502691561505,0.5773502691726384,0,True
21,6.938996986703522e-12,1.7874877064950483e-11,1.06585495055554e-12,3.23652575116989e-10,1.2464688058608862e-10,0.499999999952836,1.917448589320124e-11,0.577350269174679,0.5773502691717508,0,True
22,-5.5887721202819125e-11,-1.4783918206013632e-11,-3.15205722018222e-11,5.639483641379316e-10,1.2276651887142475e-10,0.49999999985435706,5.78100477319137e-11,0.5773502691486175,0.5773502691338336,0,True
23,-1.9258994525311946e-10,-9.525104333195782e-11,-7.02823372193976e-11,2.5777511838115213e-09,3.1823167567699166e-10,0.49999999939714823,2.1485727418085256e-10,0.5773502690704635,0.5773502689752125,0,True
