case,radius,ring,shear_MPa,free_rows,energy_eV_per_row_repeat,maximum_force_eV_L0,minimum_H_eV_L0sq,eigenpair_residual,stable_fixed_boundary,method,iterations,elapsed_seconds,winding,energy_replay_error_eV,affine_bulk_error_eV_L0cubed,reciprocal_modes,last_mode_envelope,material_accepted,actual_yield_calibrated
wider_core_near_R8r5,8.0,5,0.0,286,0.8758608332559029,4.889242613201339e-10,0.197706700807589,1.091677366777546e-13,True,newton_cg,8,168.08041130000493,0.9999999999999999,0.0,2.1608437261733116e-11,9,2.6338611478907066e-15,False,False
wider_core_R10r7,10.0,7,0.0,444,0.9619815257433113,3.6798574133022803e-07,0.13952580071627382,1.1645404183937584e-13,True,stationary_root,2,367.01166690001264,1.0,0.0,2.161792966859366e-11,9,2.576807270250737e-15,False,False
wider_core_R8r7,8.0,7,0.0,286,0.921993974774553,6.273043889892804e-11,0.19770428496764164,1.2732084505970185e-13,True,stationary_root,1,289.0990303000144,1.0000000000000002,0.0,2.161792966859366e-11,9,2.6338982213151652e-15,False,False
wider_core_recovered_R8r5,8.0,5,0.0,286,0.8758608332558919,3.751619587905042e-11,0.19770670078928876,1.2040399583554076e-13,True,stationary_root,2,122.7148986000102,0.9999999999999999,0.0,2.1608437261733116e-11,9,2.6338611485389223e-15,False,False
