case,minimum_H_eV_L0sq,step_over_L0,curvature,eigenvalue_error,plus_energy_change,minus_energy_change
wider_core_near_R8r5,0.197706700807589,0.002,0.19770668596708063,1.4840508377744754e-08,3.9541505825191336e-07,3.9541168561640916e-07
wider_core_near_R8r5,0.197706700807589,0.001,0.1977066736991162,2.7108472799852734e-08,9.885389873343087e-08,9.885277496568534e-08
wider_core_R10r7,0.13952580071627382,0.002,0.13952579425158262,6.464691199026262e-09,2.790396079754842e-07,2.79063568919824e-07
wider_core_R10r7,0.13952580071627382,0.001,0.13952580313336682,2.41709299797499e-09,6.97566975293995e-08,6.976910560396732e-08
wider_core_R8r7,0.19770428496764164,0.002,0.197704272675292,1.2292349638176603e-08,3.9540930374393213e-07,3.954077868462136e-07
wider_core_R8r7,0.19770428496764164,0.001,0.19770426362697435,2.134066728887163e-08,9.885223095640328e-08,9.885203267057108e-08
wider_core_recovered_R8r5,0.19770670078928876,0.002,0.1977066961256213,4.663667452220466e-09,3.954141495343677e-07,3.954126349681175e-07
wider_core_recovered_R8r5,0.19770670078928876,0.001,0.19770671211283286,1.1323544102381788e-08,9.885345719773397e-08,9.885325491509889e-08
