state_from,state_to,strain_from,strain_to,free_nonaffine_RMS_A,free_nonaffine_max_A,median_A,p90_A,grip_neighbor_atoms,other_free_atoms,grip_neighbor_RMS_A,other_free_RMS_A,fraction_squared_residual_at_grip_neighbors,affine_design_condition,rigid_frame_invariance_error_A,least_squares_orthogonality_relative_residual
0,1,0.0,0.02,0.0268323239958765,0.08063974805622975,0.018245632043850674,0.04110510126529575,36,180,0.04021947737740256,0.023247517310916208,0.3744596412407393,6.849471507650828,1.1171619185290638e-14,1.4855856043963475e-16
1,2,0.02,0.04,0.03836634782406035,0.20861076813027704,0.021874319730181023,0.05570910988472723,36,180,0.041665621946880074,0.037671835155512,0.19656381298535633,7.01791966021568,8.465450562766819e-15,2.0391586763604845e-16
2,3,0.04,0.06,0.034747064480453504,0.09121340134750511,0.024896012686685693,0.0593539208846605,36,180,0.050894017487174745,0.030508850925814675,0.3575575712625865,7.190401701088215,4.260480856999038e-15,9.636769429027248e-17
3,4,0.06,0.08,0.2241775091120916,0.6717418855940759,0.1139423773839893,0.3852126203288081,36,180,0.1342844405271018,0.23811804743972462,0.059802048268981806,7.3651706470344855,5.563605132152816e-14,2.035870351233063e-15
