state_from,state_to,cutoff_A,change,atom_i,atom_j,contains_grip_atom,previous_length_A,new_length_A
0,1,3.1,formed,145,153,False,3.100376157047705,3.0585366441395414
0,1,3.1,formed,146,150,False,3.101488712998551,3.0584007444555703
0,1,3.1,formed,181,189,False,3.1132818378693736,3.0730666798640183
0,1,3.1,formed,182,186,False,3.1146635227842934,3.072909678075807
0,1,3.1,formed,217,225,False,3.12023062348753,3.084422753063356
0,1,3.1,formed,218,222,False,3.1210419456924914,3.0842792147405595
0,1,3.1,lost,255,294,True,3.0560240148066886,3.1067849231488402
0,1,3.1,lost,288,297,True,3.0560355595292106,3.1070118633128625
0,1,3.7,formed,109,152,False,3.7073855080442017,3.6624771930039284
0,1,3.7,formed,110,115,False,3.7076886961762754,3.662446275801744
0,1,3.7,formed,135,139,False,3.7000026595091033,3.675216299558932
0,1,3.7,formed,143,153,False,3.705880536461336,3.699732566073345
0,1,3.7,formed,150,160,False,3.705514316504953,3.6997747916899497
0,1,3.7,formed,151,182,False,3.7039498564439035,3.6901685025620647
0,1,3.7,formed,181,188,False,3.7032677442540156,3.690237156731592
0,1,3.7,formed,243,247,False,3.718985040960814,3.6942337478303666
0,1,3.7,formed,264,272,False,3.7187432852407243,3.6942949971594015
0,1,3.7,lost,103,117,False,3.6910100853645242,3.706674635408571
0,1,3.7,lost,114,128,False,3.6904104815704493,3.706736990051853
0,1,3.7,lost,273,275,False,3.688483169332602,3.7035335147902737
0,1,3.7,lost,282,316,False,3.6893216672434064,3.7035256753212007
1,2,2.8,formed,109,117,False,2.970909950039238,2.6919344839323696
1,2,2.8,formed,110,114,False,2.9708131976180665,2.69193336457258
1,2,3.4,formed,263,273,False,3.447675213171169,3.399772076794581
1,2,3.4,formed,282,292,False,3.4475875314092694,3.3997673386594545
1,2,3.7,formed,99,103,False,3.7165335711082963,3.6873779390065464
1,2,3.7,formed,120,128,False,3.716581922328872,3.687380726174269
1,2,3.7,formed,179,189,False,3.7033858248383433,3.696594642170323
1,2,3.7,formed,186,196,False,3.7034021682860705,3.696592523156838
1,2,3.7,lost,43,89,True,3.6767936916755435,3.7187086023929306
1,2,3.7,lost,73,116,False,3.693969280543543,3.7407354099001178
1,2,3.7,lost,74,79,False,3.6939700763946246,3.7407420422242765
1,2,3.7,lost,80,106,True,3.6768791621211614,3.718720813469382
1,2,3.7,lost,114,119,False,3.6939867540956093,3.7149848460546617
1,2,3.7,lost,117,148,False,3.693946110559356,3.714979188304047
1,2,3.7,lost,227,258,False,3.6974113319093864,3.7021759920916026
1,2,3.7,lost,256,261,False,3.6973671536735715,3.702167098715989
2,3,3.1,formed,263,309,True,3.145939475734862,3.058484945560942
2,3,3.1,formed,292,318,True,3.14592152282255,3.0584795399814864
2,3,3.7,formed,150,196,False,3.713315810385457,3.6988686596212803
2,3,3.7,formed,153,179,False,3.7133189421741135,3.698868793798359
2,3,3.7,formed,186,232,False,3.712683701699215,3.698633578972955
2,3,3.7,formed,187,218,False,3.702967995547929,3.6750955950708417
2,3,3.7,formed,189,215,False,3.7126833691111694,3.6986329423456707
2,3,3.7,formed,215,225,False,3.7045022390474394,3.6932164423543585
2,3,3.7,formed,217,224,False,3.7029658256273894,3.6750956835793867
2,3,3.7,formed,222,232,False,3.704497355528191,3.693215884598058
2,3,3.7,formed,222,268,False,3.7030507543239763,3.690628482978874
2,3,3.7,formed,225,251,False,3.7030462863086373,3.6906270620212083
2,3,3.7,formed,255,304,False,3.7399287197750573,3.6114574519675657
2,3,3.7,formed,258,304,False,3.7161352977859705,3.6955732543907804
2,3,3.7,formed,261,287,False,3.7161250698744093,3.6955705308642557
2,3,3.7,formed,263,308,False,3.8398041264302876,3.664403207663385
2,3,3.7,formed,279,283,False,3.739409379907411,3.698305684152683
2,3,3.7,formed,283,292,False,3.839785341970221,3.664397032558454
2,3,3.7,formed,287,288,False,3.7399262347429056,3.6114566994476713
2,3,3.7,formed,300,308,False,3.739413401550105,3.6983076333988616
2,3,3.7,lost,187,226,False,3.6993092780860963,3.701194254475199
2,3,3.7,lost,219,269,False,3.695685974681477,3.714206581296927
2,3,3.7,lost,221,224,False,3.699310709296271,3.7011946926196764
2,3,3.7,lost,252,286,False,3.6956887919338968,3.714204578817735
3,4,2.8,formed,157,165,False,3.4842195993551486,2.3888313713460243
3,4,2.8,formed,170,174,False,3.4842199394337063,2.3888312426166562
3,4,2.8,formed,193,201,False,3.4594535372723327,2.370034059473515
3,4,2.8,formed,206,210,False,3.4594541755038586,2.370033354466179
3,4,2.8,formed,229,237,False,3.447220583150847,2.372046788470636
3,4,2.8,formed,242,246,False,3.4472196454103705,2.3720468248632676
3,4,2.8,formed,265,273,False,3.532837116461512,2.438646623143334
3,4,2.8,formed,278,282,False,3.5328350642672017,2.438646653856101
3,4,3.1,formed,149,153,False,3.3892202625472696,2.87062153928244
3,4,3.1,formed,150,154,False,3.3892200556251812,2.8706214133262775
3,4,3.1,formed,157,165,False,3.4842195993551486,2.3888313713460243
3,4,3.1,formed,170,174,False,3.4842199394337063,2.3888312426166562
3,4,3.1,formed,185,189,False,3.3784218262565653,2.8191867730879925
3,4,3.1,formed,186,190,False,3.378421521733581,2.8191875001106923
3,4,3.1,formed,193,201,False,3.4594535372723327,2.370034059473515
3,4,3.1,formed,206,210,False,3.4594541755038586,2.370033354466179
3,4,3.1,formed,221,225,False,3.378480914530575,2.8219927529876583
3,4,3.1,formed,222,226,False,3.3784810753502925,2.8219931301819297
3,4,3.1,formed,229,237,False,3.447220583150847,2.372046788470636
3,4,3.1,formed,242,246,False,3.4472196454103705,2.3720468248632676
3,4,3.1,formed,255,269,False,3.276898040702558,3.0344801604520115
3,4,3.1,formed,257,261,False,3.470606150929885,2.9560186564940945
3,4,3.1,formed,258,262,False,3.4706063975786137,2.956019041458028
3,4,3.1,formed,265,273,False,3.532837116461512,2.438646623143334
3,4,3.1,formed,278,282,False,3.5328350642672017,2.438646653856101
3,4,3.1,formed,286,288,False,3.2768959046432027,3.0344805948841937
3,4,3.1,lost,145,153,False,2.9214960328981228,3.252396718351284
3,4,3.1,lost,146,150,False,2.921495655797616,3.252396452334355
3,4,3.1,lost,181,189,False,2.9649317153757577,3.2887828828067405
3,4,3.1,lost,182,186,False,2.9649315477258704,3.2887824868705766
3,4,3.1,lost,217,225,False,2.9845865517740933,3.305203644323082
3,4,3.1,lost,218,222,False,2.9845851344552723,3.3052036676364795
3,4,3.1,lost,263,309,True,3.058484945560942,3.1438218965828986
3,4,3.1,lost,292,318,True,3.0584795399814864,3.143821373990778
3,4,3.4,formed,113,117,False,3.450932647602265,3.3962461258083008
3,4,3.4,formed,114,118,False,3.450932624202945,3.3962460332879827
3,4,3.4,formed,157,165,False,3.4842195993551486,2.3888313713460243
3,4,3.4,formed,170,174,False,3.4842199394337063,2.3888312426166562
3,4,3.4,formed,171,175,False,3.598413271805016,3.3685748241166196
3,4,3.4,formed,192,200,False,3.5984127460103053,3.3685750014092735
3,4,3.4,formed,193,201,False,3.4594535372723327,2.370034059473515
3,4,3.4,formed,206,210,False,3.4594541755038586,2.370033354466179
3,4,3.4,formed,207,211,False,3.5943881984553605,3.329869787811912
3,4,3.4,formed,228,236,False,3.5943879855636447,3.3298698457842293
3,4,3.4,formed,229,237,False,3.447220583150847,2.372046788470636
3,4,3.4,formed,242,246,False,3.4472196454103705,2.3720468248632676
3,4,3.4,formed,243,247,False,3.6300032581850994,3.397457255060759
3,4,3.4,formed,255,304,False,3.6114574519675657,3.274551694725579
3,4,3.4,formed,257,261,False,3.470606150929885,2.9560186564940945
3,4,3.4,formed,258,262,False,3.4706063975786137,2.956019041458028
3,4,3.4,formed,264,272,False,3.6300039185322146,3.3974577352176114
3,4,3.4,formed,265,273,False,3.532837116461512,2.438646623143334
3,4,3.4,formed,278,282,False,3.5328350642672017,2.438646653856101
3,4,3.4,formed,287,288,False,3.6114566994476713,3.2745521188268594
3,4,3.4,lost,253,261,False,3.2052345445802004,3.4449555321870973
3,4,3.4,lost,254,258,False,3.2052314339415,3.4449551088996224
3,4,3.4,lost,263,273,False,3.3068267120806443,3.6258330433000068
3,4,3.4,lost,282,292,False,3.3068237008011705,3.625832838054923
3,4,3.7,formed,111,161,False,3.8595608358160716,3.69785188255332
3,4,3.7,formed,114,119,False,3.7184014439172204,3.6861749887936215
3,4,3.7,formed,115,161,False,3.837190032642332,3.6568350855204574
3,4,3.7,formed,117,148,False,3.7184001101833193,3.6861747068200095
3,4,3.7,formed,119,150,False,3.7411186012888455,3.621854737261633
3,4,3.7,formed,123,127,False,3.7454653154050104,3.6991281061186783
3,4,3.7,formed,131,157,False,3.9301669686250156,3.6029082786561415
3,4,3.7,formed,131,165,False,3.7469443773761544,3.580515483511476
3,4,3.7,formed,139,153,False,3.7563804681807698,3.6398986914421254
3,4,3.7,formed,144,178,False,3.8595607931014775,3.697851611397967
3,4,3.7,formed,147,197,False,3.846137181057334,3.690109202990213
