model,state,tolerance,finer_tolerance,energy_change,gradient_max_change,hessian_max_change
fixed_saturated_reprofile,inspected039,2e-11,2e-13,0.0,0.0,2.842170943040401e-14
fixed_saturated_reprofile,heldout031,2e-11,2e-13,2.7755575615628914e-17,2.220446049250313e-16,2.842170943040401e-14
fixed_saturated_reprofile,heldout_off,2e-11,2e-13,5.551115123125783e-17,1.554312234475219e-14,1.092459456231154e-13
fixed_saturated_reprofile,heldout_opening,2e-11,2e-13,1.1102230246251565e-15,1.7763568394002505e-15,9.769962616701378e-15
