model,state,channel,radius,layers,reciprocal,direct,absolute_error,validation_cutoff_only
fixed_saturated_reprofile,inspected039,rank2,6,6,5.4617486321945075e-06,5.461748632194508e-06,8.470329472543003e-22,True
fixed_saturated_reprofile,inspected039,Eg,6,6,1.4284967683966587e-05,1.4288311452993308e-05,3.3437690267216553e-09,True
fixed_saturated_reprofile,inspected039,rank2,12,12,5.4617486321945075e-06,5.461748632194508e-06,8.470329472543003e-22,True
fixed_saturated_reprofile,inspected039,Eg,12,12,1.4284967683966587e-05,1.4284967684019023e-05,5.2436421632724717e-17,True
fixed_saturated_reprofile,inspected039,rank2,18,18,5.4617486321945075e-06,5.461748632194508e-06,8.470329472543003e-22,True
fixed_saturated_reprofile,inspected039,Eg,18,18,1.4284967683966587e-05,1.4284967683966966e-05,3.7947076036992655e-19,True
fixed_saturated_reprofile,heldout031,rank2,6,6,5.461321052373595e-06,5.461321052373596e-06,8.470329472543003e-22,True
fixed_saturated_reprofile,heldout031,Eg,6,6,1.3818869754566422e-05,1.3821627965198738e-05,2.758210632316049e-09,True
fixed_saturated_reprofile,heldout031,rank2,12,12,5.461321052373595e-06,5.461321052373596e-06,8.470329472543003e-22,True
fixed_saturated_reprofile,heldout031,Eg,12,12,1.3818869754566422e-05,1.3818869754612353e-05,4.593120859781169e-17,True
fixed_saturated_reprofile,heldout031,rank2,18,18,5.461321052373595e-06,5.461321052373596e-06,8.470329472543003e-22,True
fixed_saturated_reprofile,heldout031,Eg,18,18,1.3818869754566422e-05,1.3818869754566446e-05,2.371692252312041e-20,True
fixed_saturated_reprofile,heldout_off,rank2,6,6,5.4576306130878196e-06,5.45763061308782e-06,8.470329472543003e-22,True
fixed_saturated_reprofile,heldout_off,Eg,6,6,3.372614993524246e-05,3.371631751810321e-05,9.832417139252702e-09,True
fixed_saturated_reprofile,heldout_off,rank2,12,12,5.4576306130878196e-06,5.45763061308782e-06,8.470329472543003e-22,True
fixed_saturated_reprofile,heldout_off,Eg,12,12,3.372614993524246e-05,3.372614993493482e-05,3.076423664427619e-16,True
fixed_saturated_reprofile,heldout_off,rank2,18,18,5.4576306130878196e-06,5.45763061308782e-06,8.470329472543003e-22,True
fixed_saturated_reprofile,heldout_off,Eg,18,18,3.372614993524246e-05,3.3726149935242446e-05,1.3552527156068805e-20,True
fixed_saturated_reprofile,heldout_opening,rank2,6,6,5.475248146597542e-06,5.475248146597543e-06,8.470329472543003e-22,True
fixed_saturated_reprofile,heldout_opening,Eg,6,6,3.7264262457696514e-05,3.72396558879845e-05,2.460656971201182e-08,True
fixed_saturated_reprofile,heldout_opening,rank2,12,12,5.475248146597542e-06,5.475248146597543e-06,8.470329472543003e-22,True
fixed_saturated_reprofile,heldout_opening,Eg,12,12,3.7264262457696514e-05,3.726426245696377e-05,7.327444857471721e-16,True
fixed_saturated_reprofile,heldout_opening,rank2,18,18,5.475248146597542e-06,5.475248146597543e-06,8.470329472543003e-22,True
fixed_saturated_reprofile,heldout_opening,Eg,18,18,3.7264262457696514e-05,3.72642624576966e-05,8.809142651444724e-20,True
