model,state,step,gradient_max_error,hessian_max_error
fixed_saturated_reprofile,inspected039,4e-05,5.846823665223155e-07,0.003555971909491973
fixed_saturated_reprofile,inspected039,2e-05,1.4693461203307834e-07,0.0008904063411989682
fixed_saturated_reprofile,inspected039,1e-05,3.688652938649284e-08,0.00022268774966960336
fixed_saturated_reprofile,heldout031,4e-05,3.2107011449511447e-07,0.00454595022176818
fixed_saturated_reprofile,heldout031,2e-05,7.92017837980552e-08,0.0011408401722974304
fixed_saturated_reprofile,heldout031,1e-05,1.9620276958676186e-08,0.0002854779690153464
fixed_saturated_reprofile,heldout_off,4e-05,1.4867864672751807e-07,3.1194925824706843e-06
fixed_saturated_reprofile,heldout_off,2e-05,3.592023301024483e-08,7.796753536126744e-07
fixed_saturated_reprofile,heldout_off,1e-05,9.492414854150866e-09,1.9388837912970303e-07
fixed_saturated_reprofile,heldout_opening,4e-05,2.7537989111259265e-09,5.839727146295104e-09
fixed_saturated_reprofile,heldout_opening,2e-05,8.289497421820613e-10,1.4716934337855037e-09
fixed_saturated_reprofile,heldout_opening,1e-05,8.456030875514386e-10,3.6008263037956567e-10
