mode,strain_step,sign,treatment,energy_eV,conjugate_stress_eV_A3,force_max_eV_A,optimizer_steps,volume_A3,energy_reference_eV,reference_volume_A3
hydro,0.003,-1,affine,-43.06510222511135,-0.013786497672675407,1.641574642882425e-14,0,162.2870212263294,-43.06847805233099,163.75641193201844
hydro,0.003,-1,relaxed,-43.06510222511135,-0.013786497672675407,1.641574642882425e-14,0,162.2870212263294,-43.06847805233099,163.75641193201844
hydro,0.003,1,affine,-43.06514412021511,0.013530700790478304,1.7491836912983815e-14,0,165.23464548395188,-43.06847805233099,163.75641193201844
hydro,0.003,1,relaxed,-43.06514412021511,0.013530700790478304,1.7491836912983815e-14,0,165.23464548395188,-43.06847805233099,163.75641193201844
hydro,0.001,-1,affine,-43.0681045264181,-0.0045667319023197685,7.835568641384865e-15,0,163.2656338017018,-43.06847805233099,163.75641193201844
hydro,0.001,-1,relaxed,-43.0681045264181,-0.0045667319023197685,7.835568641384865e-15,0,163.2656338017018,-43.06847805233099,163.75641193201844
hydro,0.001,1,affine,-43.06810607805999,0.004538300984865236,1.999600306437807e-14,0,164.24817260080675,-43.06847805233099,163.75641193201844
hydro,0.001,1,relaxed,-43.06810607805999,0.004538300984865236,1.999600306437807e-14,0,164.24817260080675,-43.06847805233099,163.75641193201844
hydro,0.0003,-1,affine,-43.06844448408368,-0.0013670211974496857,1.2512443545960635e-14,0,163.60907537108943,-43.06847805233099,163.75641193201844
hydro,0.0003,-1,relaxed,-43.06844448408368,-0.0013670211974496857,1.2512443545960635e-14,0,163.60907537108943,-43.06847805233099,163.75641193201844
hydro,0.0003,1,affine,-43.06844452585442,0.0013644648357670126,2.829519426369965e-15,0,163.90383692141,-43.06847805233099,163.75641193201844
hydro,0.0003,1,relaxed,-43.06844452585442,0.0013644648357670126,2.829519426369965e-15,0,163.90383692141,-43.06847805233099,163.75641193201844
tetragonal,0.003,-1,affine,-43.06783944653877,-0.0025996484912609273,1.565937886145997e-14,0,163.75493812431117,-43.06847805233099,163.75641193201844
tetragonal,0.003,-1,relaxed,-43.06783944653877,-0.0025996484912609273,1.565937886145997e-14,0,163.75493812431117,-43.06847805233099,163.75641193201844
tetragonal,0.003,1,affine,-43.06783944653876,0.002599648491261037,1.519297573035418e-14,0,163.75493812431117,-43.06847805233099,163.75641193201844
tetragonal,0.003,1,relaxed,-43.06783944653876,0.002599648491261037,1.519297573035418e-14,0,163.75493812431117,-43.06847805233099,163.75641193201844
tetragonal,0.001,-1,affine,-43.068407091971025,-0.0008666511316422895,1.618631735599455e-14,0,163.7562481756065,-43.06847805233099,163.75641193201844
tetragonal,0.001,-1,relaxed,-43.068407091971025,-0.0008666511316422895,1.618631735599455e-14,0,163.7562481756065,-43.06847805233099,163.75641193201844
tetragonal,0.001,1,affine,-43.068407091971025,0.0008666511316423378,1.6296485481177863e-14,0,163.7562481756065,-43.06847805233099,163.75641193201844
tetragonal,0.001,1,relaxed,-43.068407091971025,0.0008666511316423378,1.6296485481177863e-14,0,163.7562481756065,-43.06847805233099,163.75641193201844
tetragonal,0.0003,-1,affine,-43.068471665855995,-0.0002599988077651021,1.444983235248304e-14,0,163.7563971939414,-43.06847805233099,163.75641193201844
tetragonal,0.0003,-1,relaxed,-43.068471665855995,-0.0002599988077651021,1.444983235248304e-14,0,163.7563971939414,-43.06847805233099,163.75641193201844
tetragonal,0.0003,1,affine,-43.068471665855995,0.00025999880776505656,1.4375931397917992e-14,0,163.7563971939414,-43.06847805233099,163.75641193201844
tetragonal,0.0003,1,relaxed,-43.068471665855995,0.00025999880776505656,1.4375931397917992e-14,0,163.7563971939414,-43.06847805233099,163.75641193201844
engineering_xy_shear,0.003,-1,affine,-43.0681079987077,-0.0015064844784359998,0.023964828023874396,0,163.75641193201844,-43.06847805233099,163.75641193201844
engineering_xy_shear,0.003,-1,relaxed,-43.06820104565777,-0.0011276624291321328,1.2369034797561207e-13,2,163.75641193201844,-43.06847805233099,163.75641193201844
engineering_xy_shear,0.003,1,affine,-43.06810799870771,0.0015064844784358248,0.023964828023859554,0,163.75641193201844,-43.06847805233099,163.75641193201844
engineering_xy_shear,0.003,1,relaxed,-43.06820104565777,0.0011276624291326437,6.044012772012166e-14,2,163.75641193201844,-43.06847805233099,163.75641193201844
engineering_xy_shear,0.001,-1,affine,-43.06843693438423,-0.0005021829261945078,0.007987950044489812,0,163.75641193201844,-43.06847805233099,163.75641193201844
engineering_xy_shear,0.001,-1,relaxed,-43.068447272454314,-0.00037592065826205155,1.6276126280135374e-09,1,163.75641193201844,-43.06847805233099,163.75641193201844
engineering_xy_shear,0.001,1,affine,-43.06843693438423,0.0005021829261944549,0.007987950044484058,0,163.75641193201844,-43.06847805233099,163.75641193201844
engineering_xy_shear,0.001,1,relaxed,-43.068447272454314,0.00037592065822988094,1.6255969778091882e-09,1,163.75641193201844,-43.06847805233099,163.75641193201844
engineering_xy_shear,0.0003,-1,affine,-43.06847435170679,-0.0001506556093714573,0.0023963738904675186,0,163.75641193201844,-43.06847805233099,163.75641193201844
engineering_xy_shear,0.0003,-1,relaxed,-43.06847528212818,-0.00011277732211369132,5.246689163327136e-11,1,163.75641193201844,-43.06847805233099,163.75641193201844
engineering_xy_shear,0.0003,1,affine,-43.0684743517068,0.00015065560937112162,0.002396373890450654,0,163.75641193201844,-43.06847805233099,163.75641193201844
engineering_xy_shear,0.0003,1,relaxed,-43.06847528212819,0.00011277732200798048,4.578242450984226e-11,1,163.75641193201844,-43.06847805233099,163.75641193201844
