       Step     Time          Energy          fmax
LBFGS:    0 01:55:07    -1162.775529        1.584815
LBFGS:    1 01:55:10    -1162.911763        1.386456
LBFGS:    2 01:55:12    -1163.261642        0.721701
LBFGS:    3 01:55:15    -1163.426660        0.277452
LBFGS:    4 01:55:17    -1163.454920        0.255474
LBFGS:    5 01:55:20    -1163.472961        0.198319
LBFGS:    6 01:55:22    -1163.500383        0.146578
LBFGS:    7 01:55:25    -1163.508947        0.098724
LBFGS:    8 01:55:28    -1163.513150        0.079038
LBFGS:    9 01:55:32    -1163.517257        0.070390
LBFGS:   10 01:55:35    -1163.520670        0.067538
LBFGS:   11 01:55:38    -1163.522507        0.035549
LBFGS:   12 01:55:41    -1163.523584        0.033254
LBFGS:   13 01:55:43    -1163.524645        0.037347
LBFGS:   14 01:55:46    -1163.525761        0.039691
LBFGS:   15 01:55:49    -1163.526581        0.031315
LBFGS:   16 01:55:52    -1163.527141        0.030446
LBFGS:   17 01:55:54    -1163.527678        0.022395
LBFGS:   18 01:55:57    -1163.528264        0.030904
LBFGS:   19 01:56:00    -1163.528755        0.023506
LBFGS:   20 01:56:02    -1163.529084        0.019344
LBFGS:   21 01:56:05    -1163.529331        0.016878
LBFGS:   22 01:56:08    -1163.529561        0.018950
LBFGS:   23 01:56:11    -1163.529735        0.012387
LBFGS:   24 01:56:13    -1163.529833        0.008839
LBFGS:   25 01:56:16    -1163.529896        0.007796
LBFGS:   26 01:56:19    -1163.529950        0.008634
LBFGS:   27 01:56:21    -1163.529990        0.006756
LBFGS:   28 01:56:24    -1163.530012        0.003853
LBFGS:   29 01:56:27    -1163.530024        0.003414
LBFGS:   30 01:56:30    -1163.530036        0.004711
LBFGS:   31 01:56:33    -1163.530046        0.003586
LBFGS:   32 01:56:36    -1163.530052        0.002056
LBFGS:   33 01:56:38    -1163.530055        0.001773
LBFGS:   34 01:56:41    -1163.530058        0.001828
LBFGS:   35 01:56:44    -1163.530060        0.001473
LBFGS:   36 01:56:46    -1163.530062        0.001081
LBFGS:   37 01:56:49    -1163.530062        0.000968
LBFGS:   38 01:56:52    -1163.530063        0.000925
LBFGS:   39 01:56:55    -1163.530064        0.000772
LBFGS:   40 01:56:57    -1163.530064        0.000501
LBFGS:   41 01:57:00    -1163.530064        0.000403
LBFGS:   42 01:57:03    -1163.530064        0.000439
LBFGS:   43 01:57:06    -1163.530064        0.000342
LBFGS:   44 01:57:09    -1163.530064        0.000229
LBFGS:   45 01:57:11    -1163.530064        0.000182
