model,case,path_verified,static_return_state_error_over_L0,dynamic_hold_performed,residual_plasticity_validated
source_Al99_only,normal_xx50MPa,True,1.48248672611313e-16,False,False
source_Al99_only,normal_yx50MPa,True,3.398754756862546e-16,False,False
source_Al99_only,normal_zx50MPa,True,1.2266561946341144e-16,False,False
source_Al99_only,shear_xy10MPa,True,3.6137157445752645e-15,False,False
source_Al99_only,shear_xz10MPa,True,3.241927477393735e-15,False,False
source_Al99_only,shear_yz10MPa,True,3.1306717074855967e-15,False,False
source_Al99_only,biaxial_opposite25MPa,True,2.662066163293226e-16,False,False
source_Al99_only,mixed_MPa,True,1.040038106348362e-16,False,False
source_Al99_only,pure_interface_normal50MPa,True,2.670587611596283e-16,False,False
source_Al99_only,pure_interface_shear1_4MPa,True,4.952252478974419e-16,False,False
source_Al99_only,pure_interface_shear2_4MPa,True,2.7742709003926973e-16,False,False
separate_range,normal_xx50MPa,True,2.3980893932970286e-16,False,False
separate_range,normal_yx50MPa,True,1.240876913716136e-16,False,False
separate_range,normal_zx50MPa,True,4.444016324815624e-16,False,False
separate_range,shear_xy10MPa,True,4.870450044636717e-17,False,False
separate_range,shear_xz10MPa,True,1.9532164775067706e-16,False,False
separate_range,shear_yz10MPa,True,3.7313555953005904e-16,False,False
separate_range,biaxial_opposite25MPa,True,3.1192681868194966e-16,False,False
separate_range,mixed_MPa,True,1.1369240955304163e-16,False,False
separate_range,pure_interface_normal50MPa,True,2.395303480949357e-16,False,False
separate_range,pure_interface_shear1_4MPa,True,1.7695277911767331e-16,False,False
separate_range,pure_interface_shear2_4MPa,True,1.307572049653535e-15,False,False
