seed,axis,parts,block,nw,half_band_cycles_ps,temperature_K,imag_A2_eV
35461,0,1,0,2.0,0.005,293.10099536174783,-4.509868722916869e-06
35461,1,1,0,2.0,0.005,293.10099536174783,-4.6184727469430036e-05
35461,0,1,0,2.0,0.01,293.10099536174783,-4.487717903172703e-06
35461,1,1,0,2.0,0.01,293.10099536174783,-5.055085056594344e-05
35461,0,1,0,2.0,0.02,293.10099536174783,-4.66114231778703e-06
35461,1,1,0,2.0,0.02,293.10099536174783,-4.71906720198994e-05
35461,0,1,0,3.0,0.005,293.10099536174783,-4.467184140922125e-06
35461,1,1,0,3.0,0.005,293.10099536174783,-4.653562334143623e-05
35461,0,1,0,3.0,0.01,293.10099536174783,-4.361046734841403e-06
35461,1,1,0,3.0,0.01,293.10099536174783,-5.0959996105611e-05
35461,0,1,0,3.0,0.02,293.10099536174783,-4.6307579960474104e-06
35461,1,1,0,3.0,0.02,293.10099536174783,-4.662932750817594e-05
35461,0,2,0,2.0,0.005,293.10469721479154,-5.434207395988821e-06
35461,1,2,0,2.0,0.005,293.10469721479154,-5.757263684768458e-05
35461,0,2,0,2.0,0.01,293.10469721479154,-5.371335279171643e-06
35461,1,2,0,2.0,0.01,293.10469721479154,-5.4262851774726337e-05
35461,0,2,0,2.0,0.02,293.10469721479154,-5.224157661516338e-06
35461,1,2,0,2.0,0.02,293.10469721479154,-4.9552866992370904e-05
35461,0,2,0,3.0,0.005,293.10469721479154,-5.519267514166448e-06
35461,1,2,0,3.0,0.005,293.10469721479154,-6.280058303502852e-05
35461,0,2,0,3.0,0.01,293.10469721479154,-5.4979329145894105e-06
35461,1,2,0,3.0,0.01,293.10469721479154,-5.6463204321995004e-05
35461,0,2,0,3.0,0.02,293.10469721479154,-5.391218191733187e-06
35461,1,2,0,3.0,0.02,293.10469721479154,-5.129445383515194e-05
35461,0,2,1,2.0,0.005,293.09729350870407,-3.4886743741093907e-06
35461,1,2,1,2.0,0.005,293.09729350870407,-4.0240998192744235e-05
35461,0,2,1,2.0,0.01,293.09729350870407,-3.7898236362788986e-06
35461,1,2,1,2.0,0.01,293.09729350870407,-4.4644154426615106e-05
35461,0,2,1,2.0,0.02,293.09729350870407,-4.076702933478108e-06
35461,1,2,1,2.0,0.02,293.09729350870407,-4.549615383847214e-05
35461,0,2,1,3.0,0.005,293.09729350870407,-3.2416425878014728e-06
35461,1,2,1,3.0,0.005,293.09729350870407,-4.0892458005206786e-05
35461,0,2,1,3.0,0.01,293.09729350870407,-3.5956176568707084e-06
35461,1,2,1,3.0,0.01,293.09729350870407,-4.407893625900637e-05
35461,0,2,1,3.0,0.02,293.09729350870407,-4.0322305725213645e-06
35461,1,2,1,3.0,0.02,293.09729350870407,-4.480631316964901e-05
49277,0,1,0,2.0,0.005,300.16424088596983,-4.767244281046569e-06
49277,1,1,0,2.0,0.005,300.16424088596983,-4.1777561835049374e-05
49277,0,1,0,2.0,0.01,300.16424088596983,-4.397894229355933e-06
49277,1,1,0,2.0,0.01,300.16424088596983,-3.961788883076346e-05
49277,0,1,0,2.0,0.02,300.16424088596983,-5.055942992530936e-06
49277,1,1,0,2.0,0.02,300.16424088596983,-4.2659450036926676e-05
49277,0,1,0,3.0,0.005,300.16424088596983,-4.782099836818057e-06
49277,1,1,0,3.0,0.005,300.16424088596983,-4.3213905600281025e-05
49277,0,1,0,3.0,0.01,300.16424088596983,-4.397460547311366e-06
49277,1,1,0,3.0,0.01,300.16424088596983,-3.976198127122635e-05
49277,0,1,0,3.0,0.02,300.16424088596983,-5.118424581019342e-06
49277,1,1,0,3.0,0.02,300.16424088596983,-4.2902939023212334e-05
49277,0,2,0,2.0,0.005,300.1714142875257,-5.309495681757779e-06
49277,1,2,0,2.0,0.005,300.1714142875257,-3.9057371219731924e-05
49277,0,2,0,2.0,0.01,300.1714142875257,-5.33523306362651e-06
49277,1,2,0,2.0,0.01,300.1714142875257,-3.973736792070311e-05
49277,0,2,0,2.0,0.02,300.1714142875257,-4.778180697573901e-06
49277,1,2,0,2.0,0.02,300.1714142875257,-4.299531309294866e-05
49277,0,2,0,3.0,0.005,300.1714142875257,-5.504929463837132e-06
49277,1,2,0,3.0,0.005,300.1714142875257,-3.577848737435176e-05
49277,0,2,0,3.0,0.01,300.1714142875257,-5.26117090306421e-06
49277,1,2,0,3.0,0.01,300.1714142875257,-3.7404546123593616e-05
49277,0,2,0,3.0,0.02,300.1714142875257,-4.663609897710565e-06
49277,1,2,0,3.0,0.02,300.1714142875257,-4.1746387259536074e-05
49277,0,2,1,2.0,0.005,300.1570674844141,-4.350226905791332e-06
49277,1,2,1,2.0,0.005,300.1570674844141,-3.980236364499031e-05
49277,0,2,1,2.0,0.01,300.1570674844141,-4.384742092089723e-06
49277,1,2,1,2.0,0.01,300.1570674844141,-4.3261922104028765e-05
49277,0,2,1,2.0,0.02,300.1570674844141,-5.4203658495660915e-06
49277,1,2,1,2.0,0.02,300.1570674844141,-4.448016494322011e-05
49277,0,2,1,3.0,0.005,300.1570674844141,-4.411042967401286e-06
49277,1,2,1,3.0,0.005,300.1570674844141,-3.83969373027945e-05
49277,0,2,1,3.0,0.01,300.1570674844141,-4.418394037122903e-06
49277,1,2,1,3.0,0.01,300.1570674844141,-4.073244577089283e-05
49277,0,2,1,3.0,0.02,300.1570674844141,-5.334549651900635e-06
49277,1,2,1,3.0,0.02,300.1570674844141,-4.314434065350527e-05
