name,seed,axis,sign,force_eV_A,restart_sha256,parts,block,real_A2_eV,imag_A2_eV,magnitude_A2_eV,phase_rad,offset_A,residual_rms_A,h2_real_A,h2_imag_A,h3_real_A,h3_imag_A
seed35461_axis0_sign-1,35461,0,-1,-3.3060871085275534,04d2b83ce0f89f1ac936da910396e1a59b6ddf1866cd86410fc9f20d16c0703c,1,0,0.002357935143677742,-6.18659092900919e-06,0.0023579432596434326,-0.0026237264199355202,3.688348691364635e-05,0.007594064519952544,-7.077449841531694e-06,1.0346399115683025e-05,3.189200673730711e-07,1.4359549389489081e-05
seed35461_axis0_sign-1,35461,0,-1,-3.3060871085275534,04d2b83ce0f89f1ac936da910396e1a59b6ddf1866cd86410fc9f20d16c0703c,2,0,0.0023632688333793677,-4.003045041661865e-06,0.002363272223674599,-0.0016938577434231184,2.481312779518937e-05,0.0076145025833859546,-1.0045559587392575e-05,5.3523590864285815e-06,3.1727686039550564e-06,3.043030855514371e-06
seed35461_axis0_sign-1,35461,0,-1,-3.3060871085275534,04d2b83ce0f89f1ac936da910396e1a59b6ddf1866cd86410fc9f20d16c0703c,2,1,0.0023526014539761407,-8.370136816363992e-06,0.002352616343656776,-0.003557806820964179,4.895384603210328e-05,0.007573528096446102,-4.1093400956710424e-06,1.5340439144937393e-05,-2.5349284692089765e-06,2.5676067923463765e-05
seed35461_axis0_sign+1,35461,0,1,3.3060871085275534,04d2b83ce0f89f1ac936da910396e1a59b6ddf1866cd86410fc9f20d16c0703c,1,0,0.002370902316530626,-8.511673554182364e-06,0.002370917595176387,-0.003590041195511428,5.4434669227642745e-05,0.007742435721254082,2.725751297017731e-05,-5.641644560743205e-06,-6.060064720091492e-06,1.7405060515103488e-05
seed35461_axis0_sign+1,35461,0,1,3.3060871085275534,04d2b83ce0f89f1ac936da910396e1a59b6ddf1866cd86410fc9f20d16c0703c,2,0,0.0023745322645855283,-6.021921662695729e-06,0.002374539900506662,-0.0025360399782764736,3.1622578524119354e-05,0.007728929807544421,2.598266255610393e-05,-3.861150319494142e-06,-1.727519928538272e-05,-9.419089824084896e-06
seed35461_axis0_sign+1,35461,0,1,3.3060871085275534,04d2b83ce0f89f1ac936da910396e1a59b6ddf1866cd86410fc9f20d16c0703c,2,1,0.002367272368475747,-1.1001425445676608e-05,0.0023672979318012785,-0.004647266783694875,7.724675993116617e-05,0.00775583736713828,2.8532363384250703e-05,-7.422138801992136e-06,5.155069845199842e-06,4.4229210854291776e-05
seed35461_axis1_sign-1,35461,1,-1,-1.4703460510306274,04d2b83ce0f89f1ac936da910396e1a59b6ddf1866cd86410fc9f20d16c0703c,1,0,0.011988556280431654,-4.74201928418373e-05,0.011988650064280234,-0.003955434201481648,4.946854076112103e-05,0.01766602779954655,5.061807896946971e-05,5.878500705961314e-05,1.1306035505934432e-05,-5.022750487214782e-05
seed35461_axis1_sign-1,35461,1,-1,-1.4703460510306274,04d2b83ce0f89f1ac936da910396e1a59b6ddf1866cd86410fc9f20d16c0703c,2,0,0.012005377126840057,-4.8527467311588316e-05,0.012005475203953325,-0.004042122334503162,5.415632889401581e-05,0.018047576483552177,-3.686443411030046e-05,0.00011714476304661724,4.408080898834096e-05,-2.8391077858510275e-05
seed35461_axis1_sign-1,35461,1,-1,-1.4703460510306274,04d2b83ce0f89f1ac936da910396e1a59b6ddf1866cd86410fc9f20d16c0703c,2,1,0.011971735434023387,-4.631291837212169e-05,0.011971825014953204,-0.0038685024070276406,4.478075262822628e-05,0.017276035459643492,0.00013810059204923984,4.252510726086232e-07,-2.146873797647201e-05,-7.206393188578531e-05
seed35461_axis1_sign+1,35461,1,1,1.4703460510306274,04d2b83ce0f89f1ac936da910396e1a59b6ddf1866cd86410fc9f20d16c0703c,1,0,0.012002334198448513,-5.671453915993591e-05,0.012002468194092364,-0.004725257280218299,-7.328996464711514e-05,0.017487922261525502,-2.4090492311407347e-05,4.862543254649555e-05,-8.901611100586611e-05,5.7788855860401806e-06
seed35461_axis1_sign+1,35461,1,1,1.4703460510306274,04d2b83ce0f89f1ac936da910396e1a59b6ddf1866cd86410fc9f20d16c0703c,2,0,0.012016214929439212,-1.3219314290718993e-05,0.01201622220087279,-0.00110012254569063,-8.603314680397961e-05,0.017700738180029013,-0.00013739323109213984,3.843505966782344e-05,-0.00015074240107565873,-6.070855743389359e-05
seed35461_axis1_sign+1,35461,1,1,1.4703460510306274,04d2b83ce0f89f1ac936da910396e1a59b6ddf1866cd86410fc9f20d16c0703c,2,1,0.011988453467457947,-0.00010020976402918999,0.011988872279668814,-0.008358661982335406,-6.054678249025065e-05,0.01727234456053632,8.921224646932447e-05,5.881580542516707e-05,-2.7289820936072623e-05,7.226632860597343e-05
