seed,axis,parts,harmonic,block,site,real_A,imag_A
35461,0,1,1,0,0,4.651513287306308e-06,3.126454808584032e-05
35461,0,1,1,0,1,-1.5844199891598234e-05,-1.152971112752045e-05
35461,0,1,1,0,2,1.7396062751409616e-05,-1.2523897592602128e-05
35461,0,1,1,0,3,4.842944740752577e-06,9.12156975270355e-06
35461,0,1,1,0,4,1.919863304992986e-06,-2.867808995688576e-06
35461,0,1,1,0,5,-1.2966184192863426e-05,-1.346470012273264e-05
35461,0,1,2,0,0,1.7571351050807823e-05,-5.701326571637523e-06
35461,0,1,2,0,1,7.5260006917838465e-06,-1.7083056864760654e-05
35461,0,1,2,0,2,-5.221252992680011e-05,-1.0572698327563757e-06
35461,0,1,2,0,3,6.353041444529259e-06,9.307227641790667e-06
35461,0,1,2,0,4,2.981064664819252e-06,-4.991287160564003e-06
35461,0,1,2,0,5,1.77810720748599e-05,1.9525712787928033e-05
35461,0,1,3,0,0,1.4982227633755341e-05,-7.384337921766758e-06
35461,0,1,3,0,1,1.7532416292259427e-05,-3.400936702102212e-05
35461,0,1,3,0,2,4.377626433366023e-06,4.0539555382267905e-06
35461,0,1,3,0,3,-2.685231285497038e-05,5.990072130325027e-06
35461,0,1,3,0,4,5.6749009247873485e-06,3.190965794254383e-05
35461,0,1,3,0,5,-1.5714858429197804e-05,-5.599806683068355e-07
35461,1,1,1,0,0,-7.644291890687536e-06,9.921681350579471e-06
35461,1,1,1,0,1,-7.673003643573357e-05,1.5775361207700398e-05
35461,1,1,1,0,2,-2.096186981498516e-05,4.0677146441593413e-05
35461,1,1,1,0,3,-6.22541663263446e-05,-8.071340582647138e-08
35461,1,1,1,0,4,8.228426807708658e-05,-3.324504135522716e-05
35461,1,1,1,0,5,8.530609639066425e-05,-3.3048434238819584e-05
35461,1,1,2,0,0,6.376959375373795e-07,4.0647966475627385e-05
35461,1,1,2,0,1,2.2503366081767186e-05,8.230195648301265e-05
35461,1,1,2,0,2,-5.5659914601106564e-05,-6.129616688052648e-05
35461,1,1,2,0,3,-2.701690464262837e-05,-8.342194447328819e-05
35461,1,1,2,0,4,4.526859211828251e-05,5.38258837269587e-05
35461,1,1,2,0,5,1.4267165106147728e-05,-3.2057695331784096e-05
35461,1,1,3,0,0,-2.8029820978023654e-05,0.0001811671930790988
35461,1,1,3,0,1,-1.0860399563115519e-05,-7.813965911330882e-05
35461,1,1,3,0,2,-5.0438740083463155e-05,-1.7163155955062007e-05
35461,1,1,3,0,3,-4.964034264273915e-05,-6.53471926200929e-05
35461,1,1,3,0,4,0.00010242442256316783,1.3985437498313994e-05
35461,1,1,3,0,5,3.654488070417362e-05,-3.450262288894906e-05
35461,0,2,1,0,0,-1.6595861191916212e-06,4.676824595770224e-06
35461,0,2,1,0,1,3.786425735591703e-06,-4.738352946755148e-06
35461,0,2,1,0,2,3.513535207649666e-05,-3.495964504872897e-06
35461,0,2,1,0,3,6.751524634422291e-06,4.04653648742577e-05
35461,0,2,1,0,4,-9.787584489231797e-06,1.5735838125001768e-05
35461,0,2,1,0,5,-3.422613183808732e-05,-5.264371014340166e-05
35461,0,2,1,1,0,1.0962612693804736e-05,5.785227157591008e-05
35461,0,2,1,1,1,-3.547482551878815e-05,-1.8321069308285432e-05
35461,0,2,1,1,2,-3.4322657367732915e-07,-2.1551830680331416e-05
35461,0,2,1,1,3,2.934364847083051e-06,-2.222222536885091e-05
35461,0,2,1,1,4,1.3627311099217712e-05,-2.1471456116379016e-05
35461,0,2,1,1,5,8.293763452359976e-06,2.5714309897936646e-05
35461,0,2,2,0,0,2.0521425620806115e-05,7.048601977573567e-06
35461,0,2,2,0,1,2.7573261076089767e-06,-7.4697351912909136e-06
35461,0,2,2,0,2,-2.215573007111188e-05,1.7669728084320823e-05
35461,0,2,2,0,3,9.088410589562084e-06,1.9119713552040975e-05
35461,0,2,2,0,4,-2.254234947545971e-05,-3.121918955551117e-05
35461,0,2,2,0,5,1.233091722859463e-05,-5.149118867133358e-06
35461,0,2,2,1,0,1.4621276480809629e-05,-1.845125512084844e-05
35461,0,2,2,1,1,1.229467527595892e-05,-2.669637853823004e-05
35461,0,2,2,1,2,-8.226932978248838e-05,-1.9784267749833415e-05
35461,0,2,2,1,3,3.617672299496608e-06,-5.052582684598064e-07
35461,0,2,2,1,4,2.850447880509812e-05,2.123661523438282e-05
35461,0,2,2,1,5,2.323122692112523e-05,4.420054444298895e-05
35461,0,2,3,0,0,-8.108357602793991e-06,-1.999020587502819e-06
35461,0,2,3,0,1,-1.0392950835389402e-05,-3.546281921756401e-05
35461,0,2,3,0,2,3.2213895458126043e-06,3.445390170155552e-06
35461,0,2,3,0,3,1.1238339096824231e-06,-1.6384961351882585e-05
35461,0,2,3,0,4,3.409892305615607e-05,3.7957293734411695e-05
35461,0,2,3,0,5,-1.9942838073467774e-05,1.244411725238222e-05
35461,0,2,3,1,0,3.8072812870304465e-05,-1.2769655256030617e-05
35461,0,2,3,1,1,4.545778341990803e-05,-3.255591482448024e-05
35461,0,2,3,1,2,5.53386332091941e-06,4.662520906298105e-06
35461,0,2,3,1,3,-5.48284596196228e-05,2.836510561253241e-05
35461,0,2,3,1,4,-2.2749121206581496e-05,2.586202215067612e-05
35461,0,2,3,1,5,-1.1486878784927712e-05,-1.356407858899572e-05
35461,1,2,1,0,0,4.016470464501321e-05,-8.334644518383897e-05
35461,1,2,1,0,1,-7.329396029451675e-05,-1.0618438149518856e-05
35461,1,2,1,0,2,-5.409698698600587e-05,6.012496141951809e-05
35461,1,2,1,0,3,-0.0001354279615780751,-2.849468573578957e-05
35461,1,2,1,0,4,9.22426669731888e-05,3.995372787274233e-05
35461,1,2,1,0,5,0.00013041153724039565,2.2380879776887e-05
35461,1,2,1,1,0,-5.5453288426388146e-05,0.00010318980788499808
35461,1,2,1,1,1,-8.016611257695097e-05,4.2169160564919944e-05
35461,1,2,1,1,2,1.2173247356035404e-05,2.1229331463668385e-05
35461,1,2,1,1,3,1.0919628925384714e-05,2.8333258924136873e-05
35461,1,2,1,1,4,7.232586918098504e-05,-0.00010644381058319675
35461,1,2,1,1,5,4.0200655540934e-05,-8.847774825452643e-05
35461,1,2,2,0,0,-4.997251774942379e-06,6.359441392975076e-05
35461,1,2,2,0,1,9.219778574394023e-05,0.00012274123672194337
35461,1,2,2,0,2,-7.009478574058479e-05,-9.99834213682566e-05
35461,1,2,2,0,3,-0.00010981601096092075,-0.0001258393687482563
35461,1,2,2,0,4,9.094815995739435e-05,4.220438548398435e-05
35461,1,2,2,0,5,1.7621027751134055e-06,-2.7172460191655612e-06
35461,1,2,2,1,0,6.272643650017055e-06,1.7701519021503803e-05
35461,1,2,2,1,1,-4.719105358040578e-05,4.1862676244081654e-05
35461,1,2,2,1,2,-4.122504346162837e-05,-2.2608912392796228e-05
35461,1,2,2,1,3,5.578220167566407e-05,-4.1004520198319705e-05
35461,1,2,2,1,4,-4.109757208291495e-07,6.544738196993275e-05
35461,1,2,2,1,5,2.677222743718222e-05,-6.139814464440227e-05
35461,1,2,3,0,0,-4.148423115793517e-05,8.886824096169893e-05
35461,1,2,3,0,1,-1.1579539241431332e-06,-8.249557617244416e-05
35461,1,2,3,0,2,-1.760306875193887e-05,6.346524536249486e-05
35461,1,2,3,0,3,-8.136726013925964e-05,-8.894142082140999e-05
35461,1,2,3,0,4,0.0001687599261369863,-1.8538617680836083e-05
35461,1,2,3,0,5,-2.7147412163709442e-05,3.7642128350496406e-05
35461,1,2,3,1,0,-1.4575410798111797e-05,0.00027346614519649864
35461,1,2,3,1,1,-2.0562845202087488e-05,-7.378374205417387e-05
35461,1,2,3,1,2,-8.327441141498699e-05,-9.779155727261873e-05
35461,1,2,3,1,3,-1.7913425146217875e-05,-4.175296441877606e-05
35461,1,2,3,1,4,3.608891898934816e-05,4.650949267746403e-05
35461,1,2,3,1,5,0.00010023717357205602,-0.00010664737412839417
49277,0,1,1,0,0,2.973753747934117e-05,2.834337429075801e-05
49277,0,1,1,0,1,9.936735422073987e-06,-1.1207046229612284e-05
49277,0,1,1,0,2,1.0231088827240643e-06,-1.0873485744350402e-05
49277,0,1,1,0,3,-3.652656175841315e-05,1.2285492399828571e-05
49277,0,1,1,0,4,-2.0450212422231937e-05,-1.3151341143058934e-06
49277,0,1,1,0,5,1.6279392396505853e-05,-1.7233200602318044e-05
