case,seed,axis,trajectory_sha256,mean_temperature_K,first100_K,last100_K,max_work_residual_eV,rms_work_residual_eV,work_eV,internal_energy_change_eV
seed35461_null,35461,,00850b28641055bca75ed7789376d8682fccd5f7956a2e69473841862336591d,293.10099403153646,293.0879031064431,293.1352201919271,,,,
seed35461_axis0_sign-1,35461,0,6716405347dcffa18db949be6ea818682c3cb26fac7c4176c4c4b6a011ce6b3c,293.3581017740249,293.1589196195967,293.45655056420503,0.002872363107958853,0.0008578809673112864,0.07777687088757097,0.07818606745922807
seed35461_axis0_sign+1,35461,0,6bad7d9e06ab7060e601d4642ebde01cf8f6efd2d835665c1f8eebcebc68b34f,293.3614754401271,293.1362913423257,293.6289037028434,0.003126989169004446,0.0010076137403269175,0.17397056654774443,0.1740202919922922
seed35461_axis1_sign-1,35461,1,34d2846821e3ac19d377dd0ca1e4fcb8faf20af0feaa64be0ee0b13318df196d,293.46881301805485,293.05525191751553,293.7235129458996,0.003119621667960565,0.0009003739711287483,0.15266358781548614,0.1527168119464477
seed35461_axis1_sign+1,35461,1,af5bdf9430abbe91c35475bedb024637bc3ec8b4b7a0d4b47826d84c6d05f46f,293.45880985728604,293.2499768328975,293.8396076055534,0.0028250984828864234,0.0007370810405806005,0.19737801667061494,0.19776687827288697
seed49277_null,49277,,40a914722e046bedf60ad2144a4a8b11d0dec734a299130f697423b12d332ab2,300.1642456787363,300.1653019649119,300.1723098746431,,,,
seed49277_axis0_sign-1,49277,0,21e126da27b3086b4eef8d52b72b4e6562aa4b519205d98bca4629b7b0b322f1,300.3520245203601,300.21935903726427,300.44868671556304,0.0023350461026761804,0.0005377559145658631,0.07855755413697937,0.07831398071266449
seed49277_axis0_sign+1,49277,0,69168a51247ace7d3ad76070a3388914a077aac10bb59c76e509423dab4b7b13,299.91872930555326,300.1224452710566,299.82622164691657,0.0025522890918819527,0.0005565733800640599,-0.10683508316375669,-0.1065693779328285
seed49277_axis1_sign-1,49277,1,b2ea24688dbce0d919debac7b750188c0a6ab7da711643eed9ae57330e41b406,300.7256802973101,300.22170283790473,300.9951818335831,0.002328885641294229,0.0005583193750013468,0.2578696781965179,0.25807528091127097
seed49277_axis1_sign+1,49277,1,91e8d30bb4eb38e057bac5e72c484d8c1a4300cde24782f3300339be58888ac1,300.35419701868955,300.2005883787286,300.70973832286404,0.002897488044565788,0.0005634238169849105,0.14814093319619573,0.14873123197367022
