seed,axis,parts,block,real_A2_eV,imag_A2_eV,phase_deg,complex_null,imag_null,loss_to_null,storage_impedance_eV_A2,drag_eV_ps_A2,mobility_m2_per_J_s,passive_point,production_clock_calibrated,parity_h2_A,parity_h2_to_null,parity_h3_A,parity_h3_to_null
35461,0,1,0,0.0023644187301041838,-7.349132241595777e-06,-0.17808728173661964,9.560751803141019e-06,9.456661926782912e-06,0.7771380957144883,422.9328444802314,1.0461000442063813,59664552248.402336,True,False,1.0360618505889855e-05,0.19839098122726356,3.5343523075291126e-06,0.09237106224080409
35461,0,2,0,0.002368900548982448,-5.012483352178796e-06,-0.12123502291801626,1.899273192696439e-05,1.7498713638454612e-05,0.28644867592801354,422.13486893338563,0.7108000956652303,87809626258.131,True,False,8.003357961223066e-06,0.09458582280636639,1.1973134955351966e-05,0.1939560200676752
35461,0,2,1,0.0023599369112259436,-9.685781131020299e-06,-0.23515512700176627,1.899273192696439e-05,1.7498713638454612e-05,0.5535138942862141,423.73300346457506,1.3839381629749747,45099623967.618164,True,False,1.2837285021331336e-05,0.15171446438176187,1.0041852253037583e-05,0.1626706542914376
35461,1,1,0,0.011995445239440083,-5.206736600088661e-05,-0.24869619487817413,6.221939200676109e-05,2.7665015601654514e-05,1.882065304086534,83.36340499515431,0.2879484974579454,216757827512.968,True,False,5.5318883282018925e-05,0.6308624684631315,5.7448343868405345e-05,0.3133727301595422
35461,1,2,0,0.012010796028139634,-3.087339080115365e-05,-0.14727675768604195,9.412288178009233e-05,7.239371337691954e-05,0.42646508047474546,83.25787819431928,0.17030524108923237,366489547505.49866,True,False,0.00011680198534021432,0.699336571636997,9.874272462534477e-05,0.36056664527362864
35461,1,2,1,0.011980094450740667,-7.326134120065584e-05,-0.3503739762779223,9.412288178009233e-05,7.239371337691954e-05,1.0119848503863722,83.46867457159364,0.40618911049869855,153660177319.8142,True,False,0.00011745278767481377,0.7032331652793608,7.222379992156582e-05,0.26373075429547704
49277,0,1,0,0.0023600598470513027,9.229092685841233e-07,0.02240570438668627,1.242593896132674e-05,8.573087568579348e-06,-0.10765191200969608,423.71800373059625,-0.1318569558172038,,False,False,4.0189111666236754e-05,1.3715894252064078,1.1555357639725747e-05,0.4609926106945184
49277,0,2,0,0.0023608402542030452,1.3962803179677328e-06,0.03388664682685097,1.772701914623813e-05,1.1948379165555576e-05,-0.11685939143887292,423.5778547176449,-0.1993560394457712,,False,False,4.069059527861062e-05,0.7619201784796868,3.1888058893997376e-05,0.7256447871187353
49277,0,2,1,0.002359279439899587,4.495382191931351e-07,0.010917164767470573,1.772701914623813e-05,1.1948379165555576e-05,-0.03762336405334794,423.85821144480053,-0.06426847206094038,,False,False,4.052790198206412e-05,0.7588737913552566,2.6221237685862222e-05,0.5966905825719282
49277,1,1,0,0.012039951142921038,-5.785200879011768e-05,-0.2753043090642164,5.465493746245524e-05,5.3481309167546265e-05,1.0817238712103865,83.05489786486629,0.31757704503271433,196535271427.37317,True,False,2.1601293882736142e-05,0.2826090488142859,5.665028774865822e-05,0.7494905175331946
49277,1,2,0,0.012010578851854446,-6.780117057582531e-05,-0.32343817091913063,0.00010083567212813183,8.244405629519261e-05,0.8223900378344056,83.25728059895306,0.37401206386226926,166879886440.2195,True,False,9.188934916035718e-05,0.7301445809204198,5.295881152580948e-05,0.36954687076766424
49277,1,2,1,0.012069323433987755,-4.7902847004449586e-05,-0.22740434153755074,0.00010083567212813183,8.244405629519261e-05,0.5810345724976519,82.85338055213148,0.2616849636384085,238512331304.03192,True,False,6.508693493600518e-05,0.5171749856374693,6.11831179845227e-05,0.4269361253314789
