axis,real_A2_eV,imag_A2_eV,phase_deg,empirical_radius,confidence_interval,production_clock_calibrated,inverse_set_bounded,drag_lower_eV_ps_A2,drag_upper_eV_ps_A2,mobility_lower_m2_per_J_s,mobility_upper_m2_per_J_s,positive_drag_resolved,passive_drag_feasible,zero_frequency_certified
0,0.0023622392885777432,-3.2131114865058266e-06,-0.07793351615002492,1.710104677331444e-05,False,False,True,-1.9806238343137588,2.8970977465338907,21544005831.105114,,False,True,False
1,0.012017698191180561,-5.4959687395502146e-05,-0.26202490097683595,8.465952088816046e-05,False,False,True,-0.16364925546658324,0.7693167535805638,81130549223.20944,,False,True,False
