case,opening_A,derivative_error_eV_A,work_error_J_m2
B_08_bulk_spread,2.3,0.0,0.0
B_08_bulk_spread,3.0,0.0,0.0
B_08_bulk_spread,4.0,0.0,0.0
B_08_bulk_spread,6.0,0.0,0.0
B_08_bulk_spread,8.0,0.0,0.0
B_08_bulk_spread,10.0,0.0,0.0
P_01_interface_cluster,0.0,0.0,0.0
P_01_interface_cluster,0.03,0.0,0.0
P_01_interface_cluster,0.1,0.0,0.0
P_01_interface_cluster,0.2,0.0,0.0
P_01_interface_cluster,0.35,0.0,0.0
P_01_interface_cluster,0.5,0.0,0.0
P_01_interface_cluster,0.7,0.0,0.0
P_01_interface_cluster,0.9,0.0,0.0
P_01_interface_cluster,1.1,0.0,0.0
P_01_interface_cluster,1.4,0.0,0.0
P_01_interface_cluster,1.8,0.0,0.0
P_01_interface_cluster,2.3,0.0,0.0
P_01_interface_cluster,3.0,0.0,0.0
P_01_interface_cluster,4.0,0.0,0.0
P_01_interface_cluster,6.0,0.0,0.0
P_01_interface_cluster,8.0,0.0,0.0
P_01_interface_cluster,10.0,0.0,0.0
P_02_interface_cluster,0.0,0.0,0.0
P_02_interface_cluster,0.03,0.0,0.0
P_02_interface_cluster,0.1,0.0,0.0
P_02_interface_cluster,0.2,0.0,0.0
P_02_interface_cluster,0.35,0.0,0.0
P_02_interface_cluster,0.5,0.0,0.0
P_02_interface_cluster,0.7,0.0,0.0
P_02_interface_cluster,0.9,0.0,0.0
P_02_interface_cluster,1.1,0.0,0.0
P_02_interface_cluster,1.4,0.0,0.0
P_02_interface_cluster,1.8,0.0,0.0
P_02_interface_cluster,2.3,0.0,0.0
P_02_interface_cluster,3.0,0.0,0.0
P_02_interface_cluster,4.0,0.0,0.0
P_02_interface_cluster,6.0,0.0,0.0
P_02_interface_cluster,8.0,0.0,0.0
P_02_interface_cluster,10.0,0.0,0.0
P_04_interface_cluster,0.0,0.0,0.0
P_04_interface_cluster,0.03,0.0,0.0
P_04_interface_cluster,0.1,0.0,0.0
P_04_interface_cluster,0.2,0.0,0.0
P_04_interface_cluster,0.35,0.0,0.0
P_04_interface_cluster,0.5,0.0,0.0
P_04_interface_cluster,0.7,0.0,0.0
P_04_interface_cluster,0.9,0.0,0.0
P_04_interface_cluster,1.1,0.0,0.0
P_04_interface_cluster,1.4,0.0,0.0
P_04_interface_cluster,1.8,0.0,0.0
P_04_interface_cluster,2.3,0.0,0.0
P_04_interface_cluster,3.0,0.0,0.0
P_04_interface_cluster,4.0,0.0,0.0
P_04_interface_cluster,6.0,0.0,0.0
P_04_interface_cluster,8.0,0.0,0.0
P_04_interface_cluster,10.0,0.0,0.0
P_08_interface_cluster,0.0,0.0,0.0
P_08_interface_cluster,0.03,0.0,0.0
P_08_interface_cluster,0.1,0.0,0.0
P_08_interface_cluster,0.2,0.0,0.0
P_08_interface_cluster,0.35,0.0,0.0
P_08_interface_cluster,0.5,0.0,0.0
P_08_interface_cluster,0.7,0.0,0.0
P_08_interface_cluster,0.9,0.0,0.0
P_08_interface_cluster,1.1,0.0,0.0
P_08_interface_cluster,1.4,0.0,0.0
P_08_interface_cluster,1.8,0.0,0.0
P_08_interface_cluster,2.3,0.0,0.0
P_08_interface_cluster,3.0,0.0,0.0
P_08_interface_cluster,4.0,0.0,0.0
P_08_interface_cluster,6.0,0.0,0.0
P_08_interface_cluster,8.0,0.0,0.0
P_08_interface_cluster,10.0,0.0,0.0
P_01_interface_spread,0.0,0.0,0.0
P_01_interface_spread,0.03,0.0,0.0
P_01_interface_spread,0.1,0.0,0.0
P_01_interface_spread,0.2,0.0,0.0
P_01_interface_spread,0.35,0.0,0.0
P_01_interface_spread,0.5,0.0,0.0
P_01_interface_spread,0.7,0.0,0.0
P_01_interface_spread,0.9,0.0,0.0
P_01_interface_spread,1.1,0.0,0.0
P_01_interface_spread,1.4,0.0,0.0
P_01_interface_spread,1.8,0.0,0.0
P_01_interface_spread,2.3,0.0,0.0
P_01_interface_spread,3.0,0.0,0.0
P_01_interface_spread,4.0,0.0,0.0
P_01_interface_spread,6.0,0.0,0.0
P_01_interface_spread,8.0,0.0,0.0
P_01_interface_spread,10.0,0.0,0.0
P_02_interface_spread,0.0,0.0,0.0
P_02_interface_spread,0.03,0.0,0.0
P_02_interface_spread,0.1,0.0,0.0
P_02_interface_spread,0.2,0.0,0.0
P_02_interface_spread,0.35,0.0,0.0
P_02_interface_spread,0.5,0.0,0.0
P_02_interface_spread,0.7,0.0,0.0
P_02_interface_spread,0.9,0.0,0.0
P_02_interface_spread,1.1,0.0,0.0
P_02_interface_spread,1.4,0.0,0.0
P_02_interface_spread,1.8,0.0,0.0
P_02_interface_spread,2.3,0.0,0.0
P_02_interface_spread,3.0,0.0,0.0
P_02_interface_spread,4.0,0.0,0.0
P_02_interface_spread,6.0,0.0,0.0
P_02_interface_spread,8.0,0.0,0.0
P_02_interface_spread,10.0,0.0,0.0
P_04_interface_spread,0.0,0.0,0.0
P_04_interface_spread,0.03,0.0,0.0
P_04_interface_spread,0.1,0.0,0.0
P_04_interface_spread,0.2,0.0,0.0
P_04_interface_spread,0.35,0.0,0.0
P_04_interface_spread,0.5,0.0,0.0
P_04_interface_spread,0.7,0.0,0.0
P_04_interface_spread,0.9,0.0,0.0
P_04_interface_spread,1.1,0.0,0.0
P_04_interface_spread,1.4,0.0,0.0
P_04_interface_spread,1.8,0.0,0.0
P_04_interface_spread,2.3,0.0,0.0
P_04_interface_spread,3.0,0.0,0.0
P_04_interface_spread,4.0,0.0,0.0
P_04_interface_spread,6.0,0.0,0.0
P_04_interface_spread,8.0,0.0,0.0
P_04_interface_spread,10.0,0.0,0.0
P_08_interface_spread,0.0,0.0,0.0
P_08_interface_spread,0.03,0.0,0.0
P_08_interface_spread,0.1,0.0,0.0
P_08_interface_spread,0.2,0.0,0.0
P_08_interface_spread,0.35,0.0,0.0
P_08_interface_spread,0.5,0.0,0.0
P_08_interface_spread,0.7,0.0,0.0
P_08_interface_spread,0.9,0.0,0.0
P_08_interface_spread,1.1,0.0,0.0
P_08_interface_spread,1.4,0.0,0.0
P_08_interface_spread,1.8,0.0,0.0
P_08_interface_spread,2.3,0.0,0.0
P_08_interface_spread,3.0,0.0,0.0
P_08_interface_spread,4.0,0.0,0.0
P_08_interface_spread,6.0,0.0,0.0
P_08_interface_spread,8.0,0.0,0.0
P_08_interface_spread,10.0,0.0,0.0
P_01_bulk_spread,0.0,0.0,0.0
P_01_bulk_spread,0.03,0.0,0.0
P_01_bulk_spread,0.1,0.0,0.0
P_01_bulk_spread,0.2,0.0,0.0
P_01_bulk_spread,0.35,0.0,0.0
P_01_bulk_spread,0.5,0.0,0.0
P_01_bulk_spread,0.7,0.0,0.0
P_01_bulk_spread,0.9,0.0,0.0
P_01_bulk_spread,1.1,0.0,0.0
P_01_bulk_spread,1.4,0.0,0.0
P_01_bulk_spread,1.8,0.0,0.0
P_01_bulk_spread,2.3,0.0,0.0
P_01_bulk_spread,3.0,0.0,0.0
P_01_bulk_spread,4.0,0.0,0.0
P_01_bulk_spread,6.0,0.0,0.0
P_01_bulk_spread,8.0,0.0,0.0
P_01_bulk_spread,10.0,0.0,0.0
P_02_bulk_spread,0.0,0.0,0.0
P_02_bulk_spread,0.03,0.0,0.0
P_02_bulk_spread,0.1,0.0,0.0
P_02_bulk_spread,0.2,0.0,0.0
P_02_bulk_spread,0.35,0.0,0.0
P_02_bulk_spread,0.5,0.0,0.0
P_02_bulk_spread,0.7,0.0,0.0
P_02_bulk_spread,0.9,0.0,0.0
P_02_bulk_spread,1.1,0.0,0.0
P_02_bulk_spread,1.4,0.0,0.0
P_02_bulk_spread,1.8,0.0,0.0
P_02_bulk_spread,2.3,0.0,0.0
P_02_bulk_spread,3.0,0.0,0.0
P_02_bulk_spread,4.0,0.0,0.0
P_02_bulk_spread,6.0,0.0,0.0
P_02_bulk_spread,8.0,0.0,0.0
P_02_bulk_spread,10.0,0.0,0.0
P_04_bulk_spread,0.0,0.0,0.0
P_04_bulk_spread,0.03,0.0,0.0
P_04_bulk_spread,0.1,0.0,0.0
P_04_bulk_spread,0.2,0.0,0.0
P_04_bulk_spread,0.35,0.0,0.0
P_04_bulk_spread,0.5,0.0,0.0
P_04_bulk_spread,0.7,0.0,0.0
P_04_bulk_spread,0.9,0.0,0.0
P_04_bulk_spread,1.1,0.0,0.0
P_04_bulk_spread,1.4,0.0,0.0
P_04_bulk_spread,1.8,0.0,0.0
P_04_bulk_spread,2.3,0.0,0.0
P_04_bulk_spread,3.0,0.0,0.0
P_04_bulk_spread,4.0,0.0,0.0
P_04_bulk_spread,6.0,0.0,0.0
P_04_bulk_spread,8.0,0.0,0.0
P_04_bulk_spread,10.0,0.0,0.0
P_08_bulk_spread,0.0,0.0,0.0
P_08_bulk_spread,0.03,0.0,0.0
P_08_bulk_spread,0.1,0.0,0.0
P_08_bulk_spread,0.2,0.0,0.0
P_08_bulk_spread,0.35,0.0,0.0
P_08_bulk_spread,0.5,0.0,0.0
P_08_bulk_spread,0.7,0.0,0.0
P_08_bulk_spread,0.9,0.0,0.0
P_08_bulk_spread,1.1,0.0,0.0
P_08_bulk_spread,1.4,0.0,0.0
P_08_bulk_spread,1.8,0.0,0.0
P_08_bulk_spread,2.3,0.0,0.0
P_08_bulk_spread,3.0,0.0,0.0
P_08_bulk_spread,4.0,0.0,0.0
P_08_bulk_spread,6.0,0.0,0.0
P_08_bulk_spread,8.0,0.0,0.0
P_08_bulk_spread,10.0,0.0,0.0
