case,species,dopant_count,arrangement,chemical_concentration_cm3,local_traction_MPa,minimum_opening_A,maximum_opening_A,constrained_path_barrier_eV,barrier_per_area_J_m2,root_force_max_error_eV_A,root_energy_difference_max_error_eV_A
Si_00_pure,Si,0,pure,0.0,100.0,0.0012400557575011069,3.433897529455543,20.87873884669966,2.1508026578985144,5.7478466430893604e-12,5.209469331468597e-07
B_01_interface_cluster,B,1,interface_cluster,2.2617152269074216e+20,100.0,-0.002543632525429316,3.4734505365735333,21.282406739154567,2.1923861070893427,3.983264426687949e-06,5.513257601008625e-07
B_02_interface_cluster,B,2,interface_cluster,4.523430453814843e+20,100.0,-0.006007710324739097,3.4788508558139193,21.991779532426563,2.2654614446570367,1.0386296100950432e-08,5.699925019198027e-07
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,100.0,-0.013183154368153068,3.505251816757506,22.693481225637015,2.3377465514295417,3.607303533659234e-08,5.638469265933921e-07
B_08_interface_cluster,B,8,interface_cluster,1.8093721815259373e+21,100.0,-0.021982563855644607,3.446780265570003,21.2688498533621,2.1909895578911676,6.1613949497996146e-09,5.341180484563779e-07
B_01_interface_spread,B,1,interface_spread,2.2617152269074216e+20,100.0,-0.002543632525429316,3.4734505365735333,21.282406739154567,2.1923861070893427,3.983264426687949e-06,5.513257601008625e-07
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,100.0,-0.006255883509444376,3.5107659220933205,21.669195891420713,2.232230809532749,1.35020227776117e-08,5.776557021053286e-07
B_04_interface_spread,B,4,interface_spread,9.046860907629686e+20,100.0,-0.013227621606212464,3.5812357529115593,22.510112242010337,2.3188569767164235,5.779067868694199e-08,6.23081226391875e-07
B_08_interface_spread,B,8,interface_spread,1.8093721815259373e+21,100.0,-0.024997980152261772,3.6768019410451673,24.3254556767547,2.5058627874176755,3.3759952167145e-08,7.102917694012945e-07
B_01_bulk_spread,B,1,bulk_spread,2.2617152269074216e+20,100.0,-0.0025894740101629304,3.4300965613525247,20.849111811053262,2.1477506580875203,3.685939340886124e-06,5.309724344371158e-07
B_02_bulk_spread,B,2,bulk_spread,4.523430453814843e+20,100.0,-0.006288329561511962,3.4701839077354526,21.2612668564218,2.190208402951983,1.1972462687914742e-08,5.556625112257407e-07
B_04_bulk_spread,B,4,bulk_spread,9.046860907629686e+20,100.0,-0.01412244254596797,3.4660705571495503,20.889012035672067,2.1518609403124658,4.052230251350153e-08,5.52380036489275e-07
B_08_bulk_spread,B,8,bulk_spread,1.8093721815259373e+21,100.0,-0.02932178676513341,3.4968744844182016,21.171514748370555,2.1809626781998332,2.9749167547166167e-06,5.917063088389796e-07
P_01_interface_cluster,P,1,interface_cluster,2.2617152269074216e+20,100.0,0.00019641362437029087,3.437689019768126,20.187372185381264,2.0795822042272394,3.855509992101158e-07,5.33610852476718e-07
P_02_interface_cluster,P,2,interface_cluster,4.523430453814843e+20,100.0,-0.00043927850033376403,3.428375140847841,19.34807051723942,1.9931223719609106,1.5463784115710144e-07,5.527612536998516e-07
P_04_interface_cluster,P,4,interface_cluster,9.046860907629686e+20,100.0,-0.0022789371836092536,3.4228374987951087,19.557005888365666,2.0146456428273583,3.730546948771396e-06,5.636718762025428e-07
P_08_interface_cluster,P,8,interface_cluster,1.8093721815259373e+21,100.0,-0.004665907298731414,3.411929574772881,19.94329846727669,2.054439191257111,5.270989797412362e-09,5.364277491093361e-07
P_01_interface_spread,P,1,interface_spread,2.2617152269074216e+20,100.0,0.00019641362437029087,3.437689019768126,20.187372185381264,2.0795822042272394,3.855509992101158e-07,5.33610852476718e-07
P_02_interface_spread,P,2,interface_spread,4.523430453814843e+20,100.0,-0.0008682156909487192,3.441151251698538,19.476132556533912,2.006314556436844,5.315116324566826e-07,5.442328166183064e-07
P_04_interface_spread,P,4,interface_spread,9.046860907629686e+20,100.0,-0.0030733656060457294,3.445412458911415,17.958334092740643,1.8499600469978377,1.1499877834997285e-06,5.533988496897457e-07
P_08_interface_spread,P,8,interface_spread,1.8093721815259373e+21,100.0,-0.00806356529541419,3.445481346090364,15.065269779634718,1.5519338846042623,3.6226295851982115e-08,5.742320025037273e-07
P_01_bulk_spread,P,1,bulk_spread,2.2617152269074216e+20,100.0,0.00019504867112113536,3.432859522140667,20.870861729572198,2.149991204458787,3.663134138520707e-07,5.268788192680507e-07
P_02_bulk_spread,P,2,bulk_spread,4.523430453814843e+20,100.0,-0.000841802986654799,3.436637971812308,20.178789853361423,2.0786981037719974,4.680673669626989e-07,5.349175059704558e-07
P_04_bulk_spread,P,4,bulk_spread,9.046860907629686e+20,100.0,-0.0029790400556186196,3.4340334909500676,19.95908094891047,2.056065008012395,2.881483868955037e-06,5.329807658549512e-07
P_08_bulk_spread,P,8,bulk_spread,1.8093721815259373e+21,100.0,-0.0072220069504814665,3.434454580640749,19.162708522661433,1.9740274891933756,1.6443191808157565e-08,5.476276881966058e-07
