species,dopant_count,chemical_concentration_cm3,selected_placement_count,min_work_J_m2,max_work_J_m2,work_range_percent_of_pure
B,1,2.2617152269074216e+20,3,2.18270903771744,2.227941673815404,2.0693695087846584
B,2,4.523430453814843e+20,3,2.225599359360938,2.301107256646805,3.454446916987246
B,4,9.046860907629686e+20,3,2.1865832243727836,2.373171671513686,8.536324134826213
B,8,1.8093721815259373e+21,3,2.213413909263894,2.540511938397104,14.96456422318239
P,1,2.2617152269074216e+20,3,2.1146421225248404,2.1850021993796456,3.2189368172957904
P,2,4.523430453814843e+20,3,2.028146253789741,2.113745563542061,3.9161237737907877
P,4,9.046860907629686e+20,3,1.8850806356573027,2.0910544833908555,9.423196100791786
P,8,1.8093721815259373e+21,3,1.5869322739628204,2.0892648466509414,22.981453190983498
