model,a_over_h,a_angstrom,source_force_MPa,total_force_MPa,pair_force_MPa,environment_force_MPa,attractive_pair_eV_L0,exact_reciprocal_zero_eV_L0,leading_asymptotic_eV_L0,leading_relative_change,target_support_angstrom,no_parameter_refit
shape_refinement/old_family,2.5,5.84567147554496,4.0616717604032395,1242.6071738303806,29.862218332265947,1212.7449554981145,0.003805039506766968,0.003805470037075666,0.0011461466317043624,2.319854023484529,6.286581279000001,True
shape_refinement/old_family,3.0,7.014805770653951,0.0,454.6893962312174,14.318458052823019,440.3709381783944,0.0018197213921501523,0.0018197348777021789,0.0006632793007548397,1.7435220578709947,6.286581279000001,True
shape_refinement/old_family,4.0,9.353074360871936,0.0,60.22527856329328,4.7220846185462335,55.50319394474705,0.0005995711236411753,0.000599571140224261,0.00027982095500594787,1.1426955805666195,6.286581279000001,True
shape_refinement/old_family,6.0,14.029611541307903,0.0,1.8578612641793515,1.0858636968734596,0.7719975673058918,0.00013785418353575127,0.00013785418353579173,8.290991259435496e-05,0.6626984545287926,6.286581279000001,True
shape_refinement/old_family,10.0,23.38268590217984,0.0,0.19127159485502782,0.19115913188412545,0.00011246297090236165,2.42680852699486e-05,2.42680852699486e-05,1.7908541120380663e-05,0.355112351520946,6.286581279000001,True
shape_refinement/old_family,20.0,46.76537180435968,0.0,0.020509702960458506,0.020509702960442217,1.628983622569334e-14,2.6037524192068567e-06,2.6037524192068563e-06,2.238567640047583e-06,0.16313323422807602,6.286581279000001,True
shape_refinement/old_family,40.0,93.53074360871936,0.0,0.002376515923107158,0.002376515923107158,0.0,3.0170398230425344e-07,3.017039823042534e-07,2.7982095500594786e-07,0.07820367598216671,6.286581279000001,True
shape_refinement/old_family,80.0,187.06148721743872,0.0,0.00028606784495077274,0.00028606784495077274,0.0,3.631694918890937e-08,3.631694918890937e-08,3.497761937574348e-08,0.038291051165554535,6.286581279000001,True
joint_refinement/power_family,2.5,5.84567147554496,4.0616717604032395,1334.748715383117,140.46692287061117,1194.281792512506,0.01785567267797862,0.017857693000831096,0.005378451146245659,2.3198540234845275,6.286581279000001,True
joint_refinement/power_family,3.0,7.014805770653951,0.0,546.8386237826776,67.23829758928495,479.60032619339256,0.008539293609320892,0.008539356892133714,0.003112529598521795,1.7435220578709938,6.286581279000001,True
joint_refinement/power_family,4.0,9.353074360871936,0.0,90.9000433361891,22.161235541032255,68.73880779515684,0.002813570190760263,0.0028135702685786815,0.0013130984243763816,1.1426955805666186,6.286581279000001,True
joint_refinement/power_family,6.0,14.029611541307903,0.0,6.269545919704972,5.095598010381217,1.1739479093237553,0.0006468997691421637,0.0006468997691423538,0.00038906619981522435,0.6626984545287922,6.286581279000001,True
joint_refinement/power_family,10.0,23.38268590217984,0.0,0.897296065476222,0.8970407898506607,0.00025527562556148,0.00011388133719264813,0.00011388133719264818,8.403829916008842e-05,0.35511235152094556,6.286581279000001,True
joint_refinement/power_family,20.0,46.76537180435968,0.0,0.09624461010353758,0.09624461010343713,1.0044120194207967e-13,1.2218467337637527e-05,1.2218467337637532e-05,1.0504787395011053e-05,0.16313323422807557,6.286581279000001,True
joint_refinement/power_family,40.0,93.53074360871936,0.0,0.011152128739548465,0.011152128739548465,0.0,1.415787548089005e-06,1.4157875480890056e-06,1.3130984243763816e-06,0.07820367598216604,6.286581279000001,True
joint_refinement/power_family,80.0,187.06148721743872,0.0,0.0013424128170165753,0.0013424128170165753,0.0,1.7042229291619829e-07,1.7042229291619836e-07,1.641373030470477e-07,0.03829105116555431,6.286581279000001,True
