group,source_frame_left,source_frame_right,atoms,source_delta_eV_atom,mace_delta_eV_atom,error_eV_atom
small_Si,68,153,2,15.38062792333524,7.556917187175361,-7.823710736159879
small_O,95,199,2,-8.679266189520263,-5.631513707244735,3.047752482275528
small_Si_H,3,28,2,-3.7866391103021044,-1.4266878339592166,2.359951276342888
small_Si_O,167,176,2,1.416133144359776,0.9934402875309041,-0.4226928568288719
Si_O_H_vacuum1,771,830,242,0.26920655465384835,0.19747156256051232,-0.07173499209333603
Si_O_H_vacuum1,857,911,272,0.2206413037452234,0.1527518740327911,-0.06788942971243228
Si_O_H_vacuum1,937,959,284,0.23442115455675866,0.16893733050606902,-0.06548382405068964
Si_O_H_vacuum1,602,698,232,-0.13939465212389882,-0.0871260823372544,0.05226856978664442
Si_H_vacuum1,497,543,224,0.25616340112433783,0.20588819499239314,-0.050275206131944694
Si_O_vacuum0,433,435,216,0.7692019463974483,0.7317699311824444,-0.037432015215003944
Si_vacuum0,232,268,192,0.13588982437204322,0.1206788550825119,-0.01521096928953132
