source_frame,raw_file,sha256
0,0000.npz,f7acfecd40a1b637169c9cae397a72f88460c80e882ddd4f297387cdfc67a7ef
1,0001.npz,94c87eacdbed862ec6623d4b1f1ffca7c2802a2b5f4e0eb53481c4e49c643229
2,0002.npz,9c517e27d06aef2617129773f1537dc20d998232ded8e4c88caf11c3ab5e2e97
3,0003.npz,f1004d4809b1c0aa97abe9a8edf9f39408124d1f87e0dd4c7993a9f71eb58b05
4,0004.npz,fdebdab16f4269ddb1d36bad3d33cccbf915f344d3b2e477868f82a2c8d15eb5
5,0005.npz,d5aaf7b58c9914cbf3f4c43444786dab9c7904bd18a6e088fb3506548fda739a
6,0006.npz,b701364f79432146c281821cc06c6f2a9f499767787cb47bd4b8b96db62b77cf
7,0007.npz,a3a0003a79de60d0b23cf5a3d4f26f467bbca1becd0a26e9b34bc62910c9955c
8,0008.npz,f62c5f3277e12af652f59014c54856b7f323d7b6714ceb1fc0b6e4620e2a0ef6
9,0009.npz,f94f1f234314230b2fc94a15103dd7da9a15a465d10e92f71d6afbff35ee7464
10,0010.npz,9e7e397b444f6f7816bf4a11b90a3e4a5c12838be72c116fc3b4e5925de6c1b4
11,0011.npz,8185a7f45fdb33d063fa3f55c9b53d33ed53e5dff9676aa183617323c5fbb437
12,0012.npz,8fa743a1ce2127e64247d676158bc871311aafc0e36c706e06b13a506b4b8798
13,0013.npz,423c5c699975d720875ecd25cf956c4f19347e6031303399b70db9b7cd3052f7
14,0014.npz,2f15104d77bce329a8d285b1ce5d280a8ebda9f06b86c57fe8361b73c417c5c9
15,0015.npz,ac3031f6aa0932fdaeb2e4df0b5425fc2b8bfb3a167194cc06534dd595b8113d
16,0016.npz,ad5bf346bdef1f17a07c06ae4e7299979cce3c00f474d1d3494c55d3fdba854d
17,0017.npz,194b423b49883979ec25e0c4e0e55eb60016ac15df58dbfee6fa7014760b500f
18,0018.npz,226595ed48dc9277b54307e82f6bce215ffb2a451428c671d67177b8e344196d
19,0019.npz,f8dd9e46072801e880506f7771d6921aac996f227c7d68429d63957c70455077
20,0020.npz,54046baec4684e59ed7bcb3d62539d935789030bc1b75c147e1c93caae311196
21,0021.npz,3ca3064cbc56b1b0848630b57af769800f57f63f789d562062804013f327d1f1
22,0022.npz,cafa0599fd5c46d2fae48325f15b4a3e91f27ba8538160aa4f78585c8c9f5965
23,0023.npz,de97297193ccb84af542de26f06adc88c8a9bbb29c68b135caf8cd325c519680
24,0024.npz,b1b1fccf933938072252a083e0d621c5ef99067b985ab055f61db8bfea6019f2
25,0025.npz,d42a46396d9327bb54bc2b431804b60ee52c685753942b9c9541d7b2e6e2b25a
26,0026.npz,d50898acf4a3161ce564368d6497d25b12a0aaa25d7af6dcba5c6a8acd46d687
27,0027.npz,ce0e5e00bbf1b849971f6c2d925dd58cd2b4ff10003d2a5fdd2c78b4595e16ac
28,0028.npz,197ba8d7036d65577b8a5f70df3108ce76ec544f5d45a427e862faa710fecbc5
29,0029.npz,324cb9db1b6bae121ed4e593a35469ef1c20fc5272341c8d3de011516ce07451
30,0030.npz,ec0d048aa02acb2771e7dd0dd32d6784d9bad7d70ea2809a4299b32d8c5b4d86
31,0031.npz,ea117dbf1d39d3bd966a4a2295feb993d74a12dc837abe8bcb57afcb0c3412f3
32,0032.npz,89b9db28eb05474c0eaf3717cb66635a75ef3d173171f8fdd4a9c51e8edaf481
33,0033.npz,40733e6d3fe4528c72043aff86d120c9ede8ec57d0005a103aa0d021b4ab912d
