group,n_H,n_O,n_Si,atoms,frames,pairs,pair_energy_error_RMSE_eV_atom,maximum_pair_energy_error_eV_atom,source_energy_range_eV_atom,mace_energy_range_eV_atom,pair_variance_identity_relative_error
Si_H_vacuum1,32,0,192,224,93,4278,0.008654262096249584,0.050275206131944694,0.2617479223966776,0.2133886512262728,1.0208500711428314e-13
Si_O_H_vacuum1,32,8,192,232,181,16290,0.023779498935000296,0.05226856978664442,0.19712455109265647,0.158755687164237,8.774353482528236e-14
Si_O_H_vacuum1,32,18,192,242,86,3655,0.012984271536610201,0.07173499209333603,0.2875566566670101,0.2243622274992511,1.6764367671839864e-14
Si_O_H_vacuum1,32,48,192,272,80,3160,0.011485477234350484,0.06788942971243228,0.22995861708686255,0.17440655845976327,7.088774012231625e-14
Si_O_H_vacuum1,32,60,192,284,76,2850,0.012239238744837505,0.06548382405068964,0.2587740575508063,0.19954375326332952,1.61259894326804e-13
Si_O_vacuum0,0,144,72,216,64,2016,0.008477796128690035,0.037432015215003944,0.7692019463974483,0.7317699311824444,8.176792576364278e-14
Si_vacuum0,0,0,192,192,201,20100,0.0030029654043966483,0.01521096928953132,0.14659425303295848,0.1317125216440592,1.2442824548486442e-13
small_H,1,0,0,1,1,0,,,0.0,0.0,0.0
small_O,0,1,0,1,1,0,,,0.0,0.0,0.0
small_O,0,2,0,2,57,1596,0.6537870905900457,3.047752482275528,11.236115315332029,8.831534820434605,1.9997967747653147e-15
small_Si,0,0,1,1,1,0,,,0.0,0.0,0.0
small_Si,0,0,2,2,97,4656,1.9683613499601895,7.823710736159879,15.631393209826939,8.068145372949616,0.0
small_Si_H,1,0,1,2,52,1326,0.6273423242970665,2.359951276342888,4.353528768203077,2.53507903579988,2.832049483575024e-15
small_Si_O,0,1,1,2,23,253,0.1366606052185147,0.4226928568288719,2.5083816316098364,2.3394237296529337,6.466234624697782e-14
