model,step_L0,gradient_error_eV_L0,hessian_error_eV_L0sq
historical_candidate,4e-05,4.6322403690624014e-08,6.17858598062071e-07
historical_candidate,2e-05,1.1542932720765009e-08,1.5454310187124065e-07
cubic_5pct,4e-05,4.333161685021736e-08,5.303060177652696e-07
cubic_5pct,2e-05,1.0910155445742475e-08,1.326144154489839e-07
bulk_exact,4e-05,8.371715420896209e-08,2.3656001761906964e-06
bulk_exact,2e-05,2.06524966017696e-08,5.905950324347486e-07
