model,state,valid,a,x,y,energy_J_m2,gradient_max_eV_L0,eigenvalues
historical_candidate,perfect,True,0.8164965809280745,-3.179111253682361e-17,-3.133876567899808e-17,4.599840780419792e-15,3.254459695538405e-15,"[4.945211215202439, 4.945211215202441, 22.902007120234316]"
historical_candidate,fault,True,0.8297097400976307,0.5,0.28867513459481275,0.12680016856250634,1.3357370765021415e-15,"[2.9398888731706307, 2.939888873170639, 20.072807178687075]"
historical_candidate,saddle,True,0.842844718253518,0.30906357457572553,0.178437937978003,0.17323796988052173,5.717648576819556e-15,"[-1.9600901061401685, 6.931622666446976, 20.574988106342925]"
cubic_5pct,perfect,True,0.8164965809277323,-2.0322406331082477e-17,-2.003903323952931e-17,2.33169665227949e-15,3.981834099243943e-15,"[4.99966139717596, 4.9996613971759665, 21.368831766367048]"
cubic_5pct,fault,True,0.8361357274258078,0.5,0.28867513459481275,0.14577263278973515,1.0373646386341306e-15,"[2.46296328600015, 2.462963286000157, 18.271916623057535]"
cubic_5pct,saddle,True,0.8501271037244492,0.32441539710747,0.18730131684925705,0.17898650945464983,4.85722573273506e-16,"[-1.6618853488355656, 5.515591436685347, 18.473580503412215]"
bulk_exact,perfect,True,0.8164965809277381,-2.0329677141465727e-16,-2.0547973106793516e-16,-2.7944041456896397e-14,6.193384018898744e-14,"[4.710392303477388, 4.710392303477424, 23.442007114764653]"
bulk_exact,fault,True,0.8186902087053699,0.5000000000000004,0.2886751345948126,0.027059724763451972,3.6273067882675036e-14,"[4.009524596152251, 4.009524596152314, 22.112760204258553]"
bulk_exact,saddle,True,0.8439033617306383,0.3941112280195241,0.2275402235877259,0.04244941047895298,2.5979218776228663e-14,"[-1.2077062993324006, 5.4574434616835905, 22.762445835105584]"
