model,path,samples,fixed_gap_sampled_peak_mpa,normal_relaxed_first_peak_mpa,spinodal_s_reduced,spinodal_a_reduced,force_residual,schur_residual,status
unchanged_analytic_research_candidate,direct_110,33,7541.0101477484695,4768.897903072569,0.20708080158552605,0.8516094169795569,9.027500968983304e-15,1.9984014443252818e-15,first scalar-path shear spinodal with relaxed normal coordinate
unchanged_analytic_research_candidate,direct_110,65,7541.0101477484695,4768.897903072564,0.20708080158552622,0.8516094169795572,8.880049473525276e-15,-1.9984014443252818e-15,first scalar-path shear spinodal with relaxed normal coordinate
Mishin_reference_same_interface,direct_110,33,6460.370128456861,4390.365016824213,0.19990011096384916,0.842813030980286,5.49446496107987e-15,2.2115642650533118e-13,first scalar-path shear spinodal with relaxed normal coordinate
Mishin_reference_same_interface,direct_110,65,6460.370128456861,4390.3650168242075,0.19990011096387028,0.8428130309802918,5.2010500996297974e-15,-1.176836406102666e-14,first scalar-path shear spinodal with relaxed normal coordinate
unchanged_analytic_research_candidate,shockley_112,33,14413.670058178339,2685.841510437496,0.1416238365869553,0.8293051269996868,1.1011807785066274e-14,-7.218670106112768e-13,first scalar-path shear spinodal with relaxed normal coordinate
unchanged_analytic_research_candidate,shockley_112,65,14413.670058178339,2685.8415104375035,0.1416238365869298,0.8293051269996833,8.659739592076221e-15,-2.4369395390522186e-14,first scalar-path shear spinodal with relaxed normal coordinate
Mishin_reference_same_interface,shockley_112,33,11048.50128898423,2345.0624845146895,0.13818626054419997,0.821282519994189,3.865003381302114e-15,-2.636779683484747e-16,first scalar-path shear spinodal with relaxed normal coordinate
Mishin_reference_same_interface,shockley_112,65,11048.50128898423,2345.0624845146895,0.1381862605441999,0.8212825199941891,1.6791402864782965e-14,-6.661338147750939e-16,first scalar-path shear spinodal with relaxed normal coordinate
