model,path,samples,s_reduced,a_reduced,relaxed_energy_ev,fixed_energy_ev,relaxed_shear_mpa,fixed_shear_mpa,schur_curvature,normal_curvature,coupling,normal_force_residual
unchanged_analytic_research_candidate,direct_110,33,0.0,0.8164965809270467,2.303676270631682e-15,3.790179943562089e-40,1.3581574573560456e-12,1.238369656101387e-12,4.945211215251887,22.902007120534204,-2.8623922743804306e-15,1.583693173737125e-15
unchanged_analytic_research_candidate,direct_110,33,0.015625,0.8167518923904161,0.0006026989003788222,0.000603446131002485,606.7019754768452,608.2072036231353,4.897899258207989,22.899296444754317,-0.7471629504407925,1.8009682287156714e-15
unchanged_analytic_research_candidate,direct_110,33,0.03125,0.8175130070812419,0.002399284870020363,0.002411166241548534,1201.8384790798568,1213.768156851345,4.757923469761025,22.890672717008567,-1.4796987465235492,8.971556136883052e-15
unchanged_analytic_research_candidate,direct_110,33,0.046875,0.8187656982944407,0.00535570105279371,0.005415230094683185,1774.3200894712713,1813.960838821681,4.531007885999468,22.874714659771918,-2.18353872573878,1.0581813203458523e-16
unchanged_analytic_research_candidate,direct_110,33,0.0625,0.8204870053104506,0.009416732729094419,0.009602172203404846,2313.9718066423234,2405.914585519275,4.226190614709747,22.84922592342445,-2.845699958104058,5.828670879282072e-16
unchanged_analytic_research_candidate,direct_110,33,0.078125,0.8226462783683085,0.014508199768110654,0.014952629259554125,2811.9005797504547,2986.543023518479,3.8551341030590294,22.81147052377083,-3.4547501730416714,4.888450755302642e-15
unchanged_analytic_research_candidate,direct_110,33,0.09375,0.8252064935830352,0.020539786548457575,0.021440852701429258,3260.767253411455,3552.4857320151227,3.431276963468382,22.75845993041784,-4.001181102622131,9.027500968983304e-15
unchanged_analytic_research_candidate,direct_110,33,0.109375,0.8281257181118826,0.027408304256817242,0.02903411663321259,3654.949301391664,4100.061554166507,2.9689240515269213,22.687257748597116,-4.477666131298882,5.655198531684391e-15
unchanged_analytic_research_candidate,direct_110,33,0.125,0.8313586054360994,0.03500116539566991,0.03769204707418141,3990.592772509729,4625.236440511972,2.4823713345589304,22.59526848932213,-4.879187421039698,1.5265566588595902e-16
unchanged_analytic_research_candidate,direct_110,33,0.140625,0.8348578154154916,0.04319985850880563,0.04736590414414029,4265.562953063805,5123.608603078346,1.9851467605258954,22.48048228234609,-5.2030301010576,3.6637359812630166e-15
unchanged_analytic_research_candidate,direct_110,33,0.15625,0.8385752791357317,0.05188323891015147,0.05799785412197728,4479.3117045569925,5590.413557206119,1.4894219760115597,22.34165609039392,-5.44865428770345,2.4216739724636227e-15
