radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.08108611609075377,0.0007568594574363173,0.08032925663331744,2,True
1.0,0.12425423960860021,0.001285434502224105,0.1229688051063761,4,True
1.5,0.23665531576269583,0.0013565584211126319,0.23529875734158323,10,True
2.0,0.3067926624319743,0.0008926888134205043,0.30589997361855376,18,True
2.5,0.36643246730785894,0.0004352756470695539,0.3659971916607894,30,True
3.0,0.4046377636925049,0.000146944743267614,0.40449081894923733,40,True
3.5,0.4532200780351978,-3.176913446256832e-05,0.4532518471696604,56,True
4.0,0.49035549056097216,-6.746910167095444e-05,0.4904229596626431,72,True
4.5,0.5229079796804476,-3.886407106383267e-06,0.522911866087554,90,True
5.0,0.5578633947191064,5.729236500620817e-06,0.5578576654826058,112,True
5.5,0.5891095190717884,2.9945196770904555e-05,0.5890795738750175,136,True
6.0,0.612534196620762,6.197350889218132e-05,0.6124722231118699,158,True
6.5,0.6417612452446184,3.475464345820329e-06,0.6417577697802725,188,True
7.0,0.6678549913714504,-0.00011434279525684434,0.6679693341667072,220,True
7.5,0.6915447565047746,-0.00029301018609649196,0.6918377666908713,254,True
8.0,0.7112160876413446,-0.00046064196783906906,0.7116767296091837,286,True
