radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.09115141764263598,0.0007517766796523886,0.0903996409629836,2,True
1.0,0.14169590719840042,0.0012542856102075734,0.14044162158819284,4,True
1.5,0.26773871445652064,0.0013875148846919005,0.26635119957182873,10,True
2.0,0.34738955199719024,0.0009283908342040239,0.3464611611629862,18,True
2.5,0.41431592566496667,0.00036605117093041505,0.41394987449403625,30,True
3.0,0.4564713041523477,7.368071379886953e-05,0.4563976234385488,40,True
3.5,0.5091552741716905,-0.00017801249219767445,0.5093332866638881,56,True
4.0,0.5488098367901799,-0.00023366006432863108,0.5490434968545085,72,True
4.5,0.5838145204824539,-0.00017109824977878328,0.5839856187322326,90,True
5.0,0.6204325228047431,-0.00018174059059733724,0.6206142633953405,112,True
5.5,0.6531477474734693,-0.00015276167417722854,0.6533005091476465,136,True
6.0,0.6777445963227795,-0.00011251445335648492,0.677857110776136,158,True
6.5,0.7079870744235018,-0.00014897549251137378,0.7081360499160132,188,True
7.0,0.7350073224094607,-0.00025823320729677346,0.7352655556167574,220,True
7.5,0.7594883392477341,-0.0004193195278393881,0.7599076587755734,254,True
8.0,0.7797206597132724,-0.0005684184164692365,0.7802890781297416,286,True
