source_frame,atoms,composition,group,baseline_force_RMSE_eV_A,candidate_force_RMSE_eV_A,correction_energy_eV,reference_energy_eV,baseline_energy_eV,candidate_energy_eV
0,56,Si40O16,mixed_other_stoichiometry,0.3056764892766566,0.3267104228839577,5.336781582072898,-34510.90064964515,-337.37747390278815,-332.04069232071527
1,56,Si40O16,mixed_other_stoichiometry,0.4120257459013112,0.4276195873682707,5.436047592655677,-34508.79791618516,-335.97831764191307,-330.5422700492574
2,56,Si40O16,mixed_other_stoichiometry,0.27348893469698177,0.2876935345734877,5.3588242210980255,-34511.29052662886,-337.9585978657951,-332.5997736446971
3,56,Si40O16,mixed_other_stoichiometry,0.34392079235964057,0.35996368926852434,5.518575805139831,-34508.636595387914,-335.810169074872,-330.2915932697322
4,56,Si40O16,mixed_other_stoichiometry,0.285443120547739,0.2826725457949068,4.959277463782556,-34512.64774389549,-339.2963966771436,-334.33711921336106
5,56,Si40O16,mixed_other_stoichiometry,0.3764825413954966,0.3964899045128789,5.387188709498688,-34509.5017733792,-336.3491754532328,-330.96198674373414
6,56,Si40O16,mixed_other_stoichiometry,0.27193441484557684,0.25652476092007365,5.262907984309952,-34511.861047623206,-338.8430671639747,-333.58015917966475
7,56,Si40O16,mixed_other_stoichiometry,0.334613889384555,0.35123470776680654,5.532672410853845,-34508.466012787256,-335.5779936017409,-330.0453211908871
8,56,Si40O16,mixed_other_stoichiometry,0.33757442170301194,0.35896151101239815,5.354582479159159,-34510.251818363526,-336.8600342545919,-331.50545177543273
9,56,Si40O16,mixed_other_stoichiometry,0.323301819329404,0.3404685725379076,5.539793766566398,-34508.44526832318,-335.4307447697631,-329.89095100319673
10,56,Si40O16,mixed_other_stoichiometry,0.3922406308423715,0.4019264648988256,5.476347534972159,-34503.52956000983,-331.89763794445213,-326.42129040948
11,56,Si40O16,mixed_other_stoichiometry,0.3992951506540614,0.4173157972183628,5.412044575564719,-34509.0514005863,-336.0722104367749,-330.6601658612102
12,56,Si40O16,mixed_other_stoichiometry,0.2792839395848992,0.2654912660535851,5.18459170362377,-34512.44634249537,-339.35788735665875,-334.173295653035
13,56,Si40O16,mixed_other_stoichiometry,0.2809771695890268,0.299535784045931,5.3356873585774975,-34511.58613684065,-338.08929836804845,-332.75361100947094
14,56,Si40O16,mixed_other_stoichiometry,0.28751601680037736,0.2757041362623557,5.342490995555777,-34510.53981292472,-337.66007067550794,-332.3175796799522
15,56,Si40O16,mixed_other_stoichiometry,0.2933963312006618,0.28549674258507257,5.006198833736634,-34512.88214195836,-339.6032918318066,-334.59709299806997
16,56,Si40O16,mixed_other_stoichiometry,0.31705049626658866,0.33911000272465536,5.525597314210776,-34508.879168975654,-335.7391943240834,-330.2135970098727
17,56,Si40O16,mixed_other_stoichiometry,0.2838118210877649,0.2870703374109995,5.396666492233568,-34510.180402080914,-337.16925106256605,-331.77258457033247
18,56,Si40O16,mixed_other_stoichiometry,0.3090993288431026,0.295033707832484,5.091522248001785,-34511.82589853982,-338.5511254245582,-333.4596031765564
19,56,Si40O16,mixed_other_stoichiometry,0.2749303780204797,0.30218879017516576,5.494260855685603,-34509.55220192795,-336.4645188357686,-330.97025798008303
20,56,Si40O16,mixed_other_stoichiometry,0.3445632753397749,0.36401435550167505,5.477742458049313,-34506.901951707245,-334.64768710171097,-329.16994464366167
21,56,Si40O16,mixed_other_stoichiometry,0.36830359581471306,0.3831759975547666,5.4783440580491485,-34505.436408089765,-333.4962862174841,-328.01794215943494
22,56,Si40O16,mixed_other_stoichiometry,0.2900030517979226,0.2782452044358729,5.096183915458156,-34512.77944333031,-339.612356959387,-334.51617304392886
23,56,Si40O16,mixed_other_stoichiometry,0.3804437465949811,0.39278089110627823,5.47256858710197,-34509.32134529091,-336.52150297849255,-331.04893439139056
24,56,Si40O16,mixed_other_stoichiometry,0.2958559189907915,0.29438536086178463,4.960173412696257,-34511.61366238212,-338.3387587292845,-333.37858531658827
25,56,Si40O16,mixed_other_stoichiometry,0.2982889298604667,0.2893442747445416,5.38888080395557,-34509.981720322765,-337.13534398966397,-331.7464631857084
26,3,Si1O2,SiO2_stoichiometry,0.3066375628735548,0.5654190159033036,1.226973717487155,-1769.687189452783,-19.52616839719375,-18.299194679706595
27,3,Si1O2,SiO2_stoichiometry,0.16167065570426778,0.2827649127577787,0.6887311131339687,-1769.584061156946,-19.26298143089715,-18.57425031776318
28,6,Si2O4,SiO2_stoichiometry,0.2718746752453384,0.49698368047042113,2.7700110442888954,-3539.657352421802,-39.37932860162168,-36.60931755733279
29,18,Si6O12,SiO2_stoichiometry,0.1110858939060019,0.27204674874938906,4.252591152774709,-10635.216257288595,-133.64463404352995,-129.39204289075525
30,12,Si4O8,SiO2_stoichiometry,0.1651317232390798,0.21037556939656288,2.6187589901876054,-7084.84831516087,-83.86986538987473,-81.25110639968713
31,12,Si4O8,SiO2_stoichiometry,0.1431493386485405,0.12351759336836479,2.624260317797292,-7088.400225133875,-87.24583944144015,-84.62157912364286
32,18,Si6O12,SiO2_stoichiometry,0.07036167049258359,0.2028793676759591,4.200461872056697,-10634.815380374197,-133.25972671661833,-129.05926484456162
33,12,Si4O8,SiO2_stoichiometry,0.2493086973266999,0.30979182062081456,2.580439614388576,-7083.785003176638,-82.67730841235449,-80.09686879796591
34,18,Si6O12,SiO2_stoichiometry,0.08929765538515351,0.31339766017611964,4.436424903704442,-10635.399115761827,-133.771178277581,-129.33475337387654
35,12,Si4O8,SiO2_stoichiometry,0.1024202065850436,0.10715534647873654,2.5200853958144585,-7087.79855594623,-86.52074059231416,-84.0006551964997
36,12,Si4O8,SiO2_stoichiometry,0.18198263817740493,0.17581763524480234,2.663143406384416,-7085.819350613953,-84.80015705624777,-82.13701364986335
37,24,Si8O16,SiO2_stoichiometry,0.10779180251864662,0.1350760860969522,4.861826405585919,-14181.144882334731,-178.71289619769826,-173.85106979211233
38,3,Si1O2,SiO2_stoichiometry,0.3741871679474972,0.46574162713098843,0.9535706591449524,-1767.829740786987,-18.091884715971908,-17.138314056826957
39,12,Si4O8,SiO2_stoichiometry,0.08215807958453472,0.1084806608366564,2.4896432000814404,-7089.711247535251,-88.45240107070761,-85.96275787062616
40,18,Si6O12,SiO2_stoichiometry,0.14779193249062544,0.2939967090156036,4.228150591576305,-10633.761766255831,-132.195619990618,-127.9674693990417
41,6,Si2O4,SiO2_stoichiometry,0.3863608422618784,0.6079588634859127,2.6829779531093707,-3538.069439473481,-37.649556838964976,-34.966578885855604
42,12,Si4O8,SiO2_stoichiometry,0.1634172858347394,0.20072153525501638,2.6550626261023056,-7086.802089412054,-85.66849989502398,-83.01343726892168
43,24,Si8O16,SiO2_stoichiometry,0.12204938472780853,0.14363308918265383,4.8865435890288085,-14174.822074882748,-172.39268488342142,-167.50614129439262
44,18,Si6O12,SiO2_stoichiometry,0.11491022277016166,0.3068316320446537,4.335933119036753,-10633.84415852312,-132.22151545202075,-127.885582332984
