seed,axis,parts,block,loss_native_A2_eV,loss_coordinate_A2_eV,observed_imaginary_null_A2_eV,native_loss_to_null,discrepancy_to_null,confidence_interval,production_clock_calibrated
35461,0,1,0,7.348480783087136e-06,7.349132241518267e-06,9.456661926782951e-06,0.7770692068704422,6.888883584660879e-05,False,False
35461,0,2,0,5.010245033329641e-06,5.012483352129862e-06,1.7498713638454653e-05,0.2863207625913299,0.00012791333388655494,False,False
35461,0,2,1,9.68671653284463e-06,9.685781130906671e-06,1.7498713638454653e-05,0.5535673497483489,5.345546862955414e-05,False,False
35461,0,4,0,8.734578631898153e-06,8.730053065695617e-06,2.786895476795268e-05,0.31341608268503485,0.00016238736760017104,False,False
35461,0,4,1,1.2859114347611296e-06,1.2949136385641068e-06,2.786895476795268e-05,0.04614135856432752,0.00032301906827625473,False,False
35461,0,4,2,5.057998745780207e-06,5.063543793490929e-06,2.786895476795268e-05,0.18149222989864502,0.0001989686286009801,False,False
35461,0,4,3,1.4315434319909048e-05,1.4308018468322414e-05,2.786895476795268e-05,0.5136695810483277,0.00026609722712534904,False,False
35461,1,1,0,5.2067094195562355e-05,5.206736600089295e-05,2.766501560165479e-05,1.882055479211367,9.82487537725346e-06,False,False
35461,1,2,0,3.0873638083345155e-05,3.087339080116135e-05,7.239371337691979e-05,0.42646849627122646,3.4157963760854275e-06,False,False
35461,1,2,1,7.326055030777958e-05,7.326134120062455e-05,7.239371337691979e-05,1.0119739255029865,1.0924882950051558e-05,False,False
35461,1,4,0,2.5731750593962704e-05,2.5741752585649568e-05,0.00013301179877699858,0.19345464711069252,7.519627415634128e-05,False,False
35461,1,4,1,3.6015525572727605e-05,3.6005029016673136e-05,0.00013301179877699858,0.2707694046985228,7.891447338492456e-05,False,False
35461,1,4,2,6.92315835396331e-05,6.92253481487485e-05,0.00013301179877699858,0.5204920478949658,4.687847951794944e-05,False,False
35461,1,4,3,7.728951707592602e-05,7.729733425250061e-05,0.00013301179877699858,0.581072640070871,5.877055002991221e-05,False,False
49277,0,1,0,-9.222137063974435e-07,-9.229092685389307e-07,8.57308756857941e-06,-0.10757077879122347,8.11332132003893e-05,False,False
49277,0,2,0,-1.3941675626561405e-06,-1.3962803179224563e-06,1.1948379165555623e-05,-0.11668256784779636,0.000176823587286748,False,False
49277,0,2,1,-4.5025985013874685e-07,-4.495382191554058e-07,1.1948379165555623e-05,-0.03768375977193128,6.039572174118268e-05,False,False
49277,0,4,0,-4.442684324546067e-06,-4.431845743425623e-06,2.4159556201698732e-05,-0.1838893184732296,0.00044862500908364396,False,False
49277,0,4,1,1.654349199233786e-06,1.6392851075807105e-06,2.4159556201698732e-05,0.0684759763557852,0.0006235251809806121,False,False
49277,0,4,2,-4.8256184595743935e-06,-4.8158619837775785e-06,2.4159556201698732e-05,-0.19973953243541326,0.0004038350586973521,False,False
49277,0,4,3,3.925098759296897e-06,3.916785545466766e-06,2.4159556201698732e-05,0.16246568134479686,0.0003440962971640464,False,False
49277,1,1,0,5.784497895900499e-05,5.785200879015502e-05,5.348130916754677e-05,1.0815924265763142,0.0001314446347602891,False,False
49277,1,2,0,6.779462087877104e-05,6.780117057584182e-05,8.2444056295193e-05,0.8223105936955687,7.944413903324264e-05,False,False
49277,1,2,1,4.7895337039238954e-05,4.790284700446822e-05,8.2444056295193e-05,0.5809434808465574,9.109165131780524e-05,False,False
49277,1,4,0,6.203998684935006e-05,6.204746064378536e-05,0.00012045070912292942,0.5150653516371861,6.204857148389842e-05,False,False
49277,1,4,1,7.3549254908192e-05,7.355488050789826e-05,0.00012045070912292942,0.6106170353312674,4.670457938539724e-05,False,False
49277,1,4,2,1.0711267559067583e-05,1.0712547317932734e-05,0.00012045070912292942,0.08892656288254719,1.0624751605611767e-05,False,False
49277,1,4,3,8.50794065194103e-05,8.509314669100368e-05,0.00012045070912292942,0.7063420974348941,0.00011407298216368827,False,False
