axis,independent_fdt_loss_A2_eV,observed_imaginary_null_A2_eV,desired_ratio,conditional_record_duration_ps,estimated_single_record_wall_hours,scaling_assumption,guaranteed_precision,production_clock_calibrated
0,4.361046734841403e-06,9.456661926782951e-06,3.0,80406.35140823587,39.816036904175384,stationary noise proportional to inverse sqrt duration,False,False
1,3.961788883076346e-05,5.348130916754677e-05,3.0,31161.439522532393,15.430684321404167,stationary noise proportional to inverse sqrt duration,False,False
