seed,axis,parts,block,plane,duration_ps,signed_loss_A2_eV
35461,0,1,0,0,1900.0,-9.456661926782951e-06
35461,0,1,0,1,1900.0,3.4874190391963316e-06
35461,0,1,0,2,1900.0,3.7881329745664446e-06
35461,0,1,0,3,1900.0,-2.7590228125495807e-06
35461,0,1,0,4,1900.0,8.674329809070994e-07
35461,0,1,0,5,1900.0,4.072699744662688e-06
35461,1,1,0,0,1900.0,-6.747854590846104e-06
35461,1,1,0,1,1900.0,-1.072901253187508e-05
35461,1,1,0,2,1900.0,-2.766501560165479e-05
35461,1,1,0,3,1900.0,5.489415622251661e-08
35461,1,1,0,4,1900.0,2.2610351714091196e-05
35461,1,1,0,5,1900.0,2.2476636854062317e-05
35461,0,2,0,0,950.0,-1.4146102151111179e-06
35461,0,2,0,1,950.0,1.433220841197246e-06
35461,0,2,0,2,950.0,1.0574326659015288e-06
35461,0,2,0,3,950.0,-1.2239654777965035e-05
35461,0,2,0,4,950.0,-4.759656236647107e-06
35461,0,2,0,5,950.0,1.5923267722624533e-05
35461,1,2,0,0,950.0,5.668491789767332e-05
35461,1,2,0,1,950.0,7.221727253986293e-06
35461,1,2,0,2,950.0,-4.089170802844286e-05
35461,1,2,0,3,950.0,1.9379577831910113e-05
35461,1,2,0,4,950.0,-2.7173009948737786e-05
35461,1,2,0,5,950.0,-1.5221505006389117e-05
35461,0,2,1,0,950.0,-1.7498713638454653e-05
35461,0,2,1,1,950.0,5.541617237195307e-06
35461,0,2,1,2,950.0,6.518833283231308e-06
35461,0,2,1,3,950.0,6.721609152865933e-06
35461,0,2,1,4,950.0,6.494522198461334e-06
35461,0,2,1,5,950.0,-7.77786823329927e-06
35461,1,2,1,0,950.0,-7.018062707936562e-05
35461,1,2,1,1,950.0,-2.8679752317736287e-05
35461,1,2,1,2,950.0,-1.4438323174866123e-05
35461,1,2,1,3,950.0,-1.9269789519465137e-05
35461,1,2,1,4,950.0,7.239371337691979e-05
35461,1,2,1,5,950.0,6.017477871451341e-05
35461,0,4,0,0,475.0,-6.441409190443936e-06
35461,0,4,0,1,475.0,1.8032337119288485e-05
35461,0,4,0,2,475.0,8.110920894778345e-06
35461,0,4,0,3,475.0,-4.414550697651795e-06
35461,0,4,0,4,475.0,-1.926487880326751e-05
35461,0,4,0,5,475.0,3.977580677296336e-06
35461,1,4,0,0,475.0,5.73380519801162e-05
35461,1,4,0,1,475.0,-1.8185376162986664e-05
35461,1,4,0,2,475.0,-7.51894784633477e-05
35461,1,4,0,3,475.0,4.4104511267321905e-05
35461,1,4,0,4,475.0,-9.150389753141176e-06
35461,1,4,0,5,475.0,1.0826811320374911e-06
35461,0,4,1,0,475.0,3.6121887602216874e-06
35461,0,4,1,1,475.0,-1.5165895436893971e-05
35461,0,4,1,2,475.0,-5.9960555629753445e-06
35461,0,4,1,3,475.0,-2.006475885827826e-05
35461,0,4,1,4,475.0,9.745566329973229e-06
35461,0,4,1,5,475.0,2.786895476795268e-05
35461,1,4,1,0,475.0,5.603178381523037e-05
35461,1,4,1,1,475.0,3.26288306709592e-05
35461,1,4,1,2,475.0,-6.593937593537748e-06
35461,1,4,1,3,475.0,-5.345355603501764e-06
35461,1,4,1,4,475.0,-4.519563014433438e-05
35461,1,4,1,5,475.0,-3.152569114481558e-05
35461,0,4,2,0,475.0,-2.3691729431305932e-05
35461,0,4,2,1,475.0,2.0145944827545063e-06
35461,0,4,2,2,475.0,7.581424524608029e-06
35461,0,4,2,3,475.0,6.903505651294334e-06
35461,0,4,2,4,475.0,9.423874476608633e-06
35461,0,4,2,5,475.0,-2.231669703959504e-06
35461,1,4,2,0,475.0,-7.3494553817321595e-06
35461,1,4,2,1,475.0,-2.8694498133546442e-05
35461,1,4,2,2,475.0,1.7985324256375187e-05
35461,1,4,2,3,475.0,-2.6538260311920086e-05
35461,1,4,2,4,475.0,2.6996149114388674e-05
35461,1,4,2,5,475.0,1.7600740456434795e-05
35461,0,4,3,0,475.0,-1.1305697845603287e-05
35461,0,4,3,1,475.0,9.068639991636108e-06
35461,0,4,3,2,475.0,5.45624204185458e-06
35461,0,4,3,3,475.0,6.53971265443751e-06
35461,0,4,3,4,475.0,3.5651699203140742e-06
35461,0,4,3,5,475.0,-1.3324066762638972e-05
35461,1,4,3,0,475.0,-0.00013301179877699858
35461,1,4,3,1,475.0,-2.866500650192609e-05
35461,1,4,3,2,475.0,-4.6861970606107305e-05
35461,1,4,3,3,475.0,-1.200131872701012e-05
35461,1,4,3,4,475.0,0.00011779127763945033
35461,1,4,3,5,475.0,0.00010274881697259167
49277,0,1,0,0,1900.0,-8.57308756857941e-06
49277,0,1,0,1,1900.0,3.389821823116944e-06
49277,0,1,0,2,1900.0,3.2889289929185476e-06
49277,0,1,0,3,1900.0,-3.7160219911145383e-06
49277,0,1,0,4,1900.0,3.97791731171795e-07
49277,0,1,0,5,1900.0,5.212567012486679e-06
49277,1,1,0,0,1900.0,-3.797653553936737e-05
49277,1,1,0,1,1900.0,5.348130916754677e-05
49277,1,1,0,2,1900.0,-2.6415520982278226e-06
49277,1,1,0,3,1900.0,-8.378846399285764e-06
49277,1,1,0,4,1900.0,-1.6068439879930128e-05
49277,1,1,0,5,1900.0,1.1584064749264257e-05
49277,0,2,0,0,950.0,-9.001760901073849e-06
49277,0,2,0,1,950.0,-1.6843778544457403e-06
49277,0,2,0,2,950.0,1.1948379165555623e-05
