case,seed,axis,sign,parts,block,save_stride,mean_temperature_K,loss_lstsq_A2_eV,duration_ps,cycles,work_eV,endpoint_work_eV,corrected_work_eV,loss_native_A2_eV,loss_coordinate_A2_eV,loss_uncorrected_work_A2_eV,work_coordinate_discrepancy_eV,loss_discrepancy_A2_eV,production_clock_calibrated,confidence_interval
seed35461_axis0_sign-1,35461,0,-1,1,0,1,293.3581017740249,6.186590929012467e-06,1900.0000000000002,380,0.07524909365232524,-0.005463682341642102,0.08071277599396734,6.185577190393581e-06,6.18659092895058e-06,5.766857496369631e-06,-1.3227812142510564e-05,-1.0137385569988482e-09,False,False
seed35461_axis0_sign-1,35461,0,-1,1,0,2,293.3581017740249,6.342497631474419e-06,1900.0000000000002,380,0.07524909365232524,-0.005463682341642102,0.08071277599396734,6.185577190393581e-06,6.3424976314568e-06,5.766857496369631e-06,-0.002047583276154105,-1.5692044106321922e-07,False,False
seed35461_axis0_sign-1,35461,0,-1,1,0,4,293.3581017740249,3.365279062909291e-05,1900.0000000000002,380,0.07524909365232524,-0.005463682341642102,0.08071277599396734,6.185577190393581e-06,3.3652790629103056e-05,5.766857496369631e-06,-0.35840714248947636,-2.7467213438709476e-05,False,False
seed35461_axis0_sign-1,35461,0,-1,2,0,1,293.29672640893045,4.00304504166127e-06,950.0,190,0.051377658616451084,0.02530964988906345,0.026068008727387633,3.995542916158939e-06,4.003045041574074e-06,7.874849286747397e-06,-4.89459067013788e-05,-7.502125415134567e-09,False,False
seed35461_axis0_sign-1,35461,0,-1,2,0,2,293.29672640893045,3.847713023609491e-06,950.0,190,0.051377658616451084,0.02530964988906345,0.026068008727387633,3.995542916158939e-06,3.8477130235901845e-06,7.874849286747397e-06,0.0009644824271730565,1.4782989256875478e-07,False,False
seed35461_axis0_sign-1,35461,0,-1,2,0,4,293.29672640893045,1.4158619852085052e-05,950.0,190,0.051377658616451084,0.02530964988906345,0.026068008727387633,3.995542916158939e-06,1.4158619852125349e-05,7.874849286747397e-06,-0.0663066781719297,-1.016307693596641e-05,False,False
seed35461_axis0_sign-1,35461,0,-1,2,1,1,293.41960152570306,8.370136816363566e-06,950.0000000000002,190,0.023871435035874147,-0.030773332230705552,0.0546447672665797,8.37561146462822e-06,8.370136816327085e-06,3.658865705991865e-06,3.5718094558871705e-05,5.474648301136023e-09,False,False
seed35461_axis0_sign-1,35461,0,-1,2,1,2,293.41960152570306,8.837282239339366e-06,950.0000000000002,190,0.023871435035874147,-0.030773332230705552,0.0546447672665797,8.37561146462822e-06,8.837282239323416e-06,3.658865705991865e-06,-0.0030120657033271755,-4.6167077469519576e-07,False,False
seed35461_axis0_sign-1,35461,0,-1,2,1,4,293.41960152570306,5.314696140610081e-05,950.0000000000002,190,0.023871435035874147,-0.030773332230705552,0.0546447672665797,8.37561146462822e-06,5.3146961406080745e-05,3.658865705991865e-06,-0.29210046431754666,-4.4771349941452527e-05,False,False
seed35461_axis0_sign-1,35461,0,-1,4,0,1,293.2370127047893,8.404760732200093e-06,475.0,95,0.06933772967773633,0.04197213094276049,0.027365598734975835,8.38885895086457e-06,8.404760732204946e-06,2.1255315473740537e-05,-5.187377328441309e-05,-1.590178134037567e-08,False,False
seed35461_axis0_sign-1,35461,0,-1,4,0,2,293.2370127047893,8.460206607342356e-06,475.0,95,0.06933772967773633,0.04197213094276049,0.027365598734975835,8.38885895086457e-06,8.460206607345953e-06,2.1255315473740537e-05,-0.00023274575831903552,-7.134765648138209e-08,False,False
seed35461_axis0_sign-1,35461,0,-1,4,0,4,293.2370127047893,1.1419600806802816e-05,475.0,95,0.06933772967773633,0.04197213094276049,0.027365598734975835,8.38885895086457e-06,1.1419600806812106e-05,2.1255315473740537e-05,-0.009886692097810089,-3.0307418559475355e-06,False,False
seed35461_axis0_sign-1,35461,0,-1,4,1,1,293.3564261564696,-3.9867064887759006e-07,475.0,95,-0.017960071061285235,-0.016662481053697036,-0.0012975900075881987,-3.9777311854668976e-07,-3.986706490567984e-07,-5.50561690024574e-06,2.927866583035156e-06,8.975305101086534e-10,False,False
seed35461_axis0_sign-1,35461,0,-1,4,1,2,293.3564261564696,-7.647805601233247e-07,475.0,95,-0.017960071061285235,-0.016662481053697036,-0.0012975900075881987,-3.9777311854668976e-07,-7.647805601655767e-07,-5.50561690024574e-06,0.0011972281854920738,3.6700744161888694e-07,False,False
seed35461_axis0_sign-1,35461,0,-1,4,1,4,293.3564261564696,1.689763889736702e-05,475.0,95,-0.017960071061285235,-0.016662481053697036,-0.0012975900075881987,-3.9777311854668976e-07,1.6897638897438597e-05,-5.50561690024574e-06,-0.05641998607411962,-1.7295412015985287e-05,False,False
seed35461_axis0_sign-1,35461,0,-1,4,2,1,293.3731628462014,8.973097497192166e-06,475.0,95,0.07383498793527085,0.04459621137034378,0.02923877656492707,8.963077142015043e-06,8.973097497132037e-06,2.2633939254401677e-05,-3.2687761103114554e-05,-1.002035511699404e-08,False,False
seed35461_axis0_sign-1,35461,0,-1,4,2,2,293.3731628462014,9.48157445678081e-06,475.0,95,0.07383498793527085,0.04459621137034378,0.02923877656492707,8.963077142015043e-06,9.481574456754737e-06,2.2633939254401677e-05,-0.0016914087533759989,-5.184973147396948e-07,False,False
seed35461_axis0_sign-1,35461,0,-1,4,2,4,293.3731628462014,8.34417310426453e-05,475.0,95,0.07383498793527085,0.04459621137034378,0.02923877656492707,8.963077142015043e-06,8.344173104262887e-05,2.2633939254401677e-05,-0.24295949769846653,-7.447865390061383e-05,False,False
seed35461_axis0_sign-1,35461,0,-1,4,3,1,293.4660986631301,7.76717613553491e-06,475.0000000000002,95,-0.049963552899396704,-0.07536954360104933,0.025405990701652628,7.788145787241397e-06,7.767176135522134e-06,-1.5316207842417936e-05,6.840585566198279e-05,2.09696517192627e-08,False,False
seed35461_axis0_sign-1,35461,0,-1,4,3,2,293.4660986631301,8.192990021897859e-06,475.0000000000002,95,-0.049963552899396704,-0.07536954360104933,0.025405990701652628,7.788145787241397e-06,8.192990021892099e-06,-1.5316207842417936e-05,-0.0013206569499511836,-4.048442346507018e-07,False,False
seed35461_axis0_sign-1,35461,0,-1,4,3,4,293.4660986631301,2.285219176955666e-05,475.0000000000002,95,-0.049963552899396704,-0.07536954360104933,0.025405990701652628,7.788145787241397e-06,2.2852191769532655e-05,-1.5316207842417936e-05,-0.049140966619080156,-1.5064045982291258e-05,False,False
seed35461_axis0_sign+1,35461,0,1,1,0,1,293.3614754401271,8.511673554185646e-06,1900.0000000000002,380,0.09940145357454208,-0.011659719760719278,0.11106117333526136,8.511384375780691e-06,8.511673554085955e-06,7.617819562650276e-06,-3.7733558335278916e-06,-2.8917830526405076e-10,False,False
seed35461_axis0_sign+1,35461,0,1,1,0,2,293.3614754401271,8.548482398298636e-06,1900.0000000000002,380,0.09940145357454208,-0.011659719760719278,0.11106117333526136,8.511384375780691e-06,8.548482398252381e-06,7.617819562650276e-06,-0.00048407517769351316,-3.709802247169047e-08,False,False
