case,y_over_L0,delta_ux_over_L0,delta_uy_over_L0,delta_uz_over_L0,both_rows_free
historical_R6_r6_stable_plus,-6.783865662978103,0.9814803625516602,0.0,0.0,False
historical_R6_r6_stable_plus,-5.917840259193664,0.9780989875062347,-0.0013242404415561924,0.00016128654217205916,False
historical_R6_r6_stable_plus,-5.0518148554092255,0.9720763270317667,0.00221959534488563,-0.00030426393793533653,True
historical_R6_r6_stable_plus,-4.185789451624787,0.9629314682584394,0.007855661255458385,-0.000295068346058254,True
historical_R6_r6_stable_plus,-3.319764047840348,0.948875776581567,0.015695221444544098,0.0012952918464237458,True
historical_R6_r6_stable_plus,-2.4537386440559095,0.9259666556605803,0.02691577429688147,0.006646759721862551,True
historical_R6_r6_stable_plus,-1.5877132402714706,0.8808684955806736,0.04357150430037722,0.017830921474047818,True
historical_R6_r6_stable_plus,-0.7216878364870323,0.7579910223930144,0.05732816885009274,0.03659734351673417,True
historical_R6_r6_stable_plus,0.14433756729740643,0.2569717893011847,0.05634414474791996,0.039304675646763085,True
historical_R6_r6_stable_plus,1.010362971081845,0.12915296528844297,0.04365535287939409,0.019860219713250166,True
historical_R6_r6_stable_plus,1.8763883748662837,0.08175400338379518,0.02795123792395336,0.008118793123966555,True
historical_R6_r6_stable_plus,2.7424137786507226,0.05763461783212948,0.0172247262463171,0.0023502496137218975,True
historical_R6_r6_stable_plus,3.608439182435161,0.04274642590480063,0.00978644915471238,0.0004177031382388537,True
historical_R6_r6_stable_plus,4.474464586219599,0.032838369659194,0.004394637024969488,3.449858702400752e-05,True
historical_R6_r6_stable_plus,5.340489990004038,0.025976316182540354,0.0006462650618710743,0.00013452126888769024,True
historical_R6_r6_stable_plus,6.206515393788477,0.02105176580666973,-0.0014898926482162145,0.0004092365302348611,False
historical_R6_r6_stable_plus,7.072540797572915,0.018519637448339923,0.0,0.0,False
historical_R4_r4_mode_minus,-5.0518148554092255,0.9753189736363086,0.0,0.0,False
historical_R4_r4_mode_minus,-4.185789451624787,0.970397070232782,0.0,0.0,False
historical_R4_r4_mode_minus,-3.319764047840348,0.9600710476192029,0.0037672410271375597,-0.0005439144344187032,True
historical_R4_r4_mode_minus,-2.4537386440559095,0.9432956710977907,0.011588325039344696,0.0014094460249881777,True
historical_R4_r4_mode_minus,-1.5877132402714706,0.9174471575977439,0.022925019498440155,0.0075032421430725315,True
