candidate,radius_over_L0,path,fraction,minimum_H_eV_L0sq,matrix_radius_change
v12_reference_ranges,6.0,Gamma_X,0.02,0.02694671648463689,
v12_reference_ranges,6.0,Gamma_X,0.1,0.6887042080608982,
v12_reference_ranges,6.0,Gamma_X,0.25,4.7815287130479955,
v12_reference_ranges,6.0,Gamma_X,0.5,23.665905598685004,
v12_reference_ranges,6.0,Gamma_X,0.75,55.065282566500855,
v12_reference_ranges,6.0,Gamma_X,1.0,72.4331469355621,
v12_reference_ranges,6.0,Gamma_L,0.02,0.010363353613174737,
v12_reference_ranges,6.0,Gamma_L,0.1,0.2663754832921417,
v12_reference_ranges,6.0,Gamma_L,0.25,1.887356735095898,
v12_reference_ranges,6.0,Gamma_L,0.5,9.395117833812188,
v12_reference_ranges,6.0,Gamma_L,0.75,21.128588175898102,
v12_reference_ranges,6.0,Gamma_L,1.0,27.239144892887715,
v12_reference_ranges,6.0,Gamma_K,0.02,0.008170013527567063,
v12_reference_ranges,6.0,Gamma_K,0.1,0.21808855220190917,
v12_reference_ranges,6.0,Gamma_K,0.25,1.7725381312913442,
v12_reference_ranges,6.0,Gamma_K,0.5,10.297261733114574,
v12_reference_ranges,6.0,Gamma_K,0.75,26.69456217237266,
v12_reference_ranges,6.0,Gamma_K,1.0,50.16406729441454,
v12_reference_ranges,8.0,Gamma_X,0.02,0.026913913395137296,0.0002421171311514212
v12_reference_ranges,8.0,Gamma_X,0.1,0.6879335155259596,0.003399396142879965
v12_reference_ranges,8.0,Gamma_X,0.25,4.7795876823420205,0.001941030705976685
v12_reference_ranges,8.0,Gamma_X,0.5,23.664136928926805,0.0017686697581971893
v12_reference_ranges,8.0,Gamma_X,0.75,55.063522438076774,0.0017934957114301604
v12_reference_ranges,8.0,Gamma_X,1.0,72.43133501955893,0.0018131901803333094
v12_reference_ranges,8.0,Gamma_L,0.02,0.010338025902222355,0.00018122818630299242
v12_reference_ranges,8.0,Gamma_L,0.1,0.26577382696284235,0.002965409456843204
v12_reference_ranges,8.0,Gamma_L,0.25,1.8854039860914324,0.0019527490044655153
v12_reference_ranges,8.0,Gamma_L,0.5,9.39332212598585,0.0017957078263268977
v12_reference_ranges,8.0,Gamma_L,0.75,21.126875939988704,0.0017842624444028839
v12_reference_ranges,8.0,Gamma_L,1.0,27.237396620050397,0.0018570717458601393
v12_reference_ranges,8.0,Gamma_K,0.02,0.008131489277539443,0.00026999068268663716
v12_reference_ranges,8.0,Gamma_K,0.1,0.2172059735200274,0.0035147187776620515
v12_reference_ranges,8.0,Gamma_K,0.25,1.770613455048917,0.001931910280633357
v12_reference_ranges,8.0,Gamma_K,0.5,10.295494787570966,0.0017669455436077897
v12_reference_ranges,8.0,Gamma_K,0.75,26.692790209461805,0.0017732570986439982
v12_reference_ranges,8.0,Gamma_K,1.0,50.1623371398535,0.0019030130991769217
v12_reference_ranges,10.0,Gamma_X,0.02,0.02689491116605354,0.00011380020014554327
v12_reference_ranges,10.0,Gamma_X,0.1,0.687559317524047,0.0010490369993478826
v12_reference_ranges,10.0,Gamma_X,0.25,4.7791075870287765,0.0005939238088058322
v12_reference_ranges,10.0,Gamma_X,0.5,23.663624795459675,0.0005121334671541579
v12_reference_ranges,10.0,Gamma_X,0.75,55.06302148484985,0.0005057234351598664
v12_reference_ranges,10.0,Gamma_X,1.0,72.43084570265094,0.0005305011176837184
v12_reference_ranges,10.0,Gamma_L,0.02,0.0103242958155242,8.725932875862376e-05
v12_reference_ranges,10.0,Gamma_L,0.1,0.26548036627298294,0.0010402603849544168
v12_reference_ranges,10.0,Gamma_L,0.25,1.8848831605828678,0.0005208255085720213
v12_reference_ranges,10.0,Gamma_L,0.5,9.392828473142643,0.0005677611117960166
v12_reference_ranges,10.0,Gamma_L,0.75,21.126355537844614,0.0005204021440938788
v12_reference_ranges,10.0,Gamma_L,1.0,27.236870429287332,0.0005261907630363422
v12_reference_ranges,10.0,Gamma_K,0.02,0.008111368312559854,0.00012861286209729937
v12_reference_ranges,10.0,Gamma_K,0.1,0.21681691075945891,0.00103112610517557
v12_reference_ranges,10.0,Gamma_K,0.25,1.77014221825218,0.0006730675427093384
v12_reference_ranges,10.0,Gamma_K,0.5,10.294971034414926,0.0005237531560400299
v12_reference_ranges,10.0,Gamma_K,0.75,26.692286861590862,0.0005166340152329804
v12_reference_ranges,10.0,Gamma_K,1.0,50.16182447806375,0.0005126617897488472
v13_unconstrained_ranges,6.0,Gamma_X,0.02,0.02654945442962055,
v13_unconstrained_ranges,6.0,Gamma_X,0.1,0.6772144603794208,
v13_unconstrained_ranges,6.0,Gamma_X,0.25,2.445607829938139,
v13_unconstrained_ranges,6.0,Gamma_X,0.5,-19.992244043918454,
v13_unconstrained_ranges,6.0,Gamma_X,0.75,64.45898148992238,
v13_unconstrained_ranges,6.0,Gamma_X,1.0,87.49039984052774,
v13_unconstrained_ranges,6.0,Gamma_L,0.02,0.014021896540675873,
v13_unconstrained_ranges,6.0,Gamma_L,0.1,0.35473189501430213,
v13_unconstrained_ranges,6.0,Gamma_L,0.25,2.3783252657963554,
v13_unconstrained_ranges,6.0,Gamma_L,0.5,9.38203562108479,
v13_unconstrained_ranges,6.0,Gamma_L,0.75,24.33030053341944,
v13_unconstrained_ranges,6.0,Gamma_L,1.0,31.124076025475908,
v13_unconstrained_ranges,6.0,Gamma_K,0.02,0.01661901826065408,
v13_unconstrained_ranges,6.0,Gamma_K,0.1,0.42020410789520496,
v13_unconstrained_ranges,6.0,Gamma_K,0.25,2.8450551626746847,
v13_unconstrained_ranges,6.0,Gamma_K,0.5,-76.93099776477324,
v13_unconstrained_ranges,6.0,Gamma_K,0.75,-52.628526402850156,
v13_unconstrained_ranges,6.0,Gamma_K,1.0,21.28589489777738,
v13_unconstrained_ranges,8.0,Gamma_X,0.02,0.02597467025242173,0.0035954881976161673
v13_unconstrained_ranges,8.0,Gamma_X,0.1,0.6645973620767862,0.05062813227684027
v13_unconstrained_ranges,8.0,Gamma_X,0.25,2.431977824634616,0.02917014090469518
v13_unconstrained_ranges,8.0,Gamma_X,0.5,-20.015782785767982,0.026543943337766294
v13_unconstrained_ranges,8.0,Gamma_X,0.75,64.43246393707575,0.026984206157864347
v13_unconstrained_ranges,8.0,Gamma_X,1.0,87.46255247158444,0.027847368943395324
v13_unconstrained_ranges,8.0,Gamma_L,0.02,0.013584554608700242,0.002700924371705992
v13_unconstrained_ranges,8.0,Gamma_L,0.1,0.34484364420072766,0.04420452081600689
v13_unconstrained_ranges,8.0,Gamma_L,0.25,2.3491722658344028,0.029152999961953537
v13_unconstrained_ranges,8.0,Gamma_L,0.5,9.355192107587122,0.027116155979657122
v13_unconstrained_ranges,8.0,Gamma_L,0.75,24.30455621838018,0.02770606240954976
v13_unconstrained_ranges,8.0,Gamma_L,1.0,31.09741175999713,0.028677698010369564
v13_unconstrained_ranges,8.0,Gamma_K,0.02,0.015959552586069854,0.004019932200755926
v13_unconstrained_ranges,8.0,Gamma_K,0.1,0.40600450139391686,0.05237745208883561
v13_unconstrained_ranges,8.0,Gamma_K,0.25,2.8157758337823466,0.029416900616056046
v13_unconstrained_ranges,8.0,Gamma_K,0.5,-76.95643325966006,0.026994396472714923
v13_unconstrained_ranges,8.0,Gamma_K,0.75,-52.654954291075725,0.02679481979795639
v13_unconstrained_ranges,8.0,Gamma_K,1.0,21.257822827847907,0.029282766840665962
