candidate,path,fraction,minimum_radius20_H,radius16_to20_matrix_change,negative_sign_above_last_radius_change,radius_change_is_not_rigorous_tail_bound,material_accepted
v13_fixed_range_spectral,Gamma_K,0.5,-0.0028145707945417264,6.361467939441923e-05,True,True,False
v13_reoptimized_necessary_spectral,Gamma_K,0.5,-0.0035414961405813503,8.001031993210006e-05,True,True,False
