first,second,test,partition,radius_over_L0,inner_fraction,first_finite_part_eV,second_finite_part_eV,finite_part_change_eV
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,2.0,0.5,0.2929124989792215,0.29291250763919047,8.659968964153109e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,2.0,0.75,0.29449571993258683,0.29449573057608575,1.0643498915552385e-08
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,2.5,0.5,0.3055450032521452,0.30554501240741094,9.155265767724075e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,2.5,0.75,0.317449311046873,0.31744931804775445,7.000881430130335e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,3.0,0.5,0.3183144961037803,0.3183145035020584,7.3982781012560395e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,3.0,0.75,0.3312484572786087,0.3312484632501758,5.9715671296700634e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,3.5,0.5,0.3308361102875066,0.33083611608049546,5.792988866382132e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,3.5,0.75,0.3436315491052496,0.3436315529846864,3.87943677182534e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,4.0,0.5,0.3413328215446111,0.341332825851974,4.3073629107936995e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,4.0,0.75,0.35480199964642267,0.3548020018718496,2.2254269538279914e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,4.5,0.5,0.35083818126694566,0.35083818409994616,2.833000500856997e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,4.5,0.75,0.36309640750859296,0.3630964083039172,7.953242509017855e-10
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,5.0,0.5,0.35838499829203124,0.3583849997633201,1.4712888685153303e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,5.0,0.75,0.3691542520341368,0.3691542514576461,-5.764907440308775e-10
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,5.5,0.5,0.364222502868197,0.3642225032040255,3.358284761389996e-10
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,5.5,0.75,0.373214089703085,0.3732140880589343,-1.6441507044717696e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,6.0,0.5,0.36899568927364906,0.3689956887256836,-5.47965450792276e-10
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,smooth,6.0,0.75,0.37677263555515744,0.3767726335468949,-2.008262556252305e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,hard,2.0,1.0,0.3175819713009194,0.31758197447685793,3.1759385121787886e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,hard,2.5,1.0,0.33829187084017365,0.33829187663318916,5.793015511734723e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,hard,3.0,1.0,0.3391868938610296,0.3391868987948772,4.93384755273496e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,hard,3.5,1.0,0.3607985407096057,0.3607985422708384,1.5612326986769176e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,hard,4.0,1.0,0.36801673740172325,0.36801673844356975,1.04184649796224e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,hard,4.5,1.0,0.369398169639116,0.3693981675943463,-2.0447696869041465e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,hard,5.0,1.0,0.3766072163840608,0.3766072141549821,-2.2290786994005884e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,hard,5.5,1.0,0.38126654185671055,0.38126654004239263,-1.8143179181251412e-09
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,hard,6.0,1.0,0.376469807760689,0.37646980645221545,-1.3084735517310264e-09
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,2.0,0.5,0.2929124989792215,0.2882717916988233,-0.004640707280398226
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,2.0,0.75,0.29449571993258683,0.2896437753189637,-0.004851944613623149
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,2.5,0.5,0.3055450032521452,0.3004544195527238,-0.0050905836994213916
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,2.5,0.75,0.317449311046873,0.31202732298365277,-0.005421988063220251
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,3.0,0.5,0.3183144961037803,0.3128016881778944,-0.005512807925885932
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,3.0,0.75,0.3312484572786087,0.3252600408317761,-0.005988416446832567
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,3.5,0.5,0.3308361102875066,0.3248497931787019,-0.005986317108804706
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,3.5,0.75,0.3436315491052496,0.3370631878769278,-0.0065683612283218284
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,4.0,0.5,0.3413328215446111,0.3347934198151863,-0.006539401729424799
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,4.0,0.75,0.35480199964642267,0.3474356475703366,-0.007366352076086047
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,4.5,0.5,0.35083818126694566,0.34362377380799847,-0.007214407458947192
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,4.5,0.75,0.36309640750859296,0.3548135178178867,-0.00828288969070623
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,5.0,0.5,0.35838499829203124,0.35045852806147376,-0.00792647023055748
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,5.0,0.75,0.3691542520341368,0.3599406495485475,-0.009213602485589334
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,5.5,0.5,0.364222502868197,0.3555781148920465,-0.008644387976150525
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,5.5,0.75,0.373214089703085,0.3632491979247463,-0.009964891778338703
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,6.0,0.5,0.36899568927364906,0.3596896491999482,-0.009306040073700839
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,smooth,6.0,0.75,0.37677263555515744,0.3662072288676585,-0.010565406687498946
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,hard,2.0,1.0,0.3175819713009194,0.3121519568643209,-0.005430014436598518
