candidate,state,valid,energy_J_m2,a,x,y,force_residual,eigenvalues
v12_reference_ranges,perfect,True,6.032164813988397e-15,0.8164965809277491,-3.304345978134163e-17,-3.2749711951885735e-17,7.486946047900312e-16,"[4.702488760601876, 4.702488760601886, 23.116553086006142]"
v12_reference_ranges,fault,True,0.15127900356318588,0.8352896577988335,0.5,0.28867513459481353,3.2439329000766293e-15,"[1.9095280784889688, 1.9095280784890012, 18.570665978658006]"
v12_reference_ranges,saddle,True,0.16880406521160282,0.8498817659398618,0.3534493426816568,0.20406407314215103,3.7816971776294395e-15,"[-1.2142475072277907, 4.261564362590186, 18.851588910227157]"
v13_unconstrained_ranges,perfect,True,-1.1814185275153106e-35,0.816496580927726,0.0,0.0,1.4212176428600048e-14,"[5.556144604985337, 5.556144604985343, 22.113717400624708]"
v13_unconstrained_ranges,fault,True,0.14751838713870455,0.8338099313820423,0.49999999999999994,0.2886751345948132,5.3984594572398237e-14,"[2.3758622443724144, 2.3758622443724295, 16.364266361180555]"
v13_unconstrained_ranges,saddle,True,0.16503879794741008,0.850335237037879,0.35722424568351707,0.2062435144064396,7.849276784099857e-14,"[-1.1514719374360813, 6.567690010358737, 20.363047849016702]"
v13_fixed_range_spectral,perfect,True,-1.7473962749348515e-36,0.816496580927726,0.0,0.0,1.4211116824516542e-14,"[4.735823255726858, 4.735823255726867, 22.566339488537515]"
v13_fixed_range_spectral,fault,True,0.1217362063383517,0.8295617225156164,0.49999999999999983,0.2886751345948129,2.250977182427505e-14,"[2.655642997057174, 2.655642997057188, 18.836678712555383]"
v13_fixed_range_spectral,saddle,True,0.15726501255937422,0.8435611096627753,0.31801189637221694,0.18360425397600283,3.0704605524789486e-15,"[-1.6047570068032677, 7.113486592685264, 21.025384606795676]"
v13_reoptimized_necessary_spectral,perfect,True,-8.34853974941968e-15,0.8164965809277283,-6.877840118277225e-17,-6.906819636374851e-17,2.5350797408770495e-14,"[5.5571993007176275, 5.557199300717635, 22.4588899645671]"
v13_reoptimized_necessary_spectral,fault,True,0.1415212720283219,0.8339874352226019,0.5,0.28867513459481275,2.3897550605056495e-14,"[2.6869447701886617, 2.686944770188676, 17.537573513716932]"
v13_reoptimized_necessary_spectral,saddle,True,0.1705549873411831,0.852481231650161,0.33267298535808665,0.19206883764860772,9.603429163007604e-15,"[-1.4472008707092334, 6.435491634055611, 19.4156462663203]"
