case,source,parameter_sha256,radius_over_L0,ring,static_resolved_shear_MPa,free_rows,energy_eV_per_row_repeat,maximum_force_eV_L0,minimum_H_eV_L0sq,eigenpair_residual,force_converged,stable_fixed_boundary,method,iterations,evaluations,elapsed_wall_seconds,winding,reciprocal_modes,last_mode_envelope,energy_replay_error_eV,material_accepted,physical_yield_validated
historical_R6_r6_stable_plus,results/fcc111_active_interface/range_core_v12/isolated_core/historical_R6_r6_stable_plus,9d00fbf54831c134fe9961e17f0603defdc7958bc3590743b2094264a31b6655,6.0,6,0.0,158,1.0860178009170123,1.9433914570481103e-07,0.40456732199185674,1.3862716859830688e-09,True,True,lbfgs,105,111,285.15196060000017,1.0,10,1.7164043632445136e-14,0.0,False,False
historical_R4_r4_mode_minus,results/fcc111_active_interface/range_core_v12/isolated_core/historical_R4_r4_mode_minus,9d00fbf54831c134fe9961e17f0603defdc7958bc3590743b2094264a31b6655,4.0,4,0.0,72,0.9920915047840186,1.8427447906130268e-07,0.6419648272059826,1.5377640170860373e-09,True,True,lbfgs,110,122,82.40455590000056,1.0,10,1.7452473126770166e-14,0.0,False,False
historical_R4_r4_stable50MPa,results/fcc111_active_interface/range_core_v12/isolated_core/historical_R4_r4_stable50MPa,9d00fbf54831c134fe9961e17f0603defdc7958bc3590743b2094264a31b6655,4.0,4,50.0,72,0.9916213994210958,1.906086403366536e-07,0.6640066585330556,2.2729409356788207e-09,True,True,lbfgs,81,87,64.07636839999759,1.0,10,1.747141362966693e-14,0.0,False,False
historical_R4_r4_stable_unload,results/fcc111_active_interface/range_core_v12/isolated_core/historical_R4_r4_stable_unload,9d00fbf54831c134fe9961e17f0603defdc7958bc3590743b2094264a31b6655,4.0,4,0.0,72,0.9920915047839904,2.0400407319161318e-07,0.6419644164242143,1.5377657276785575e-09,True,True,lbfgs,87,146,78.30338740000298,1.0,10,1.7452458756035882e-14,0.0,False,False
historical_R10_r6_stable_plus,results/fcc111_active_interface/stable_core_v13/isolated_core/historical_R10_r6_stable_plus,9d00fbf54831c134fe9961e17f0603defdc7958bc3590743b2094264a31b6655,10.0,6,0.0,444,1.1543390535869964,2.9979388627620826e-10,0.17234909839971221,1.5843606992038264e-09,True,True,newton_cg,10,11,478.02168320000055,0.9999999999999999,10,1.7248556272403194e-14,0.0,False,False
historical_R10_r8_stable_plus,results/fcc111_active_interface/stable_core_v13/isolated_core/historical_R10_r8_stable_plus,9d00fbf54831c134fe9961e17f0603defdc7958bc3590743b2094264a31b6655,10.0,8,0.0,444,1.1881793430765417,2.800355039002389e-10,0.1723558305261174,1.512342164036727e-09,True,True,newton_cg,5,6,850.3733699000004,1.0,10,1.7239844974253067e-14,0.0,False,False
historical_R6_r6_newton_check,results/fcc111_active_interface/stable_core_v13/isolated_core/historical_R6_r6_newton_check,9d00fbf54831c134fe9961e17f0603defdc7958bc3590743b2094264a31b6655,6.0,6,0.0,158,1.0860178009168326,5.019937044173362e-10,0.40456727655020736,1.3862775664558698e-09,True,True,newton_cg,7,8,2574.695694599999,1.0,10,1.7164048511100377e-14,0.0,False,False
historical_R6_r8_stable_plus,results/fcc111_active_interface/stable_core_v13/isolated_core/historical_R6_r8_stable_plus,9d00fbf54831c134fe9961e17f0603defdc7958bc3590743b2094264a31b6655,6.0,8,0.0,158,1.12885706436068,1.5837161806723176e-07,0.40586437485812654,3.885118076608006e-09,True,True,lbfgs,88,121,3467.5157548999996,1.0000000000000002,10,1.713530546389215e-14,0.0,False,False
historical_R8_r6_stable_plus,results/fcc111_active_interface/stable_core_v13/isolated_core/historical_R8_r6_stable_plus,9d00fbf54831c134fe9961e17f0603defdc7958bc3590743b2094264a31b6655,8.0,6,0.0,286,1.12202036614812,3.348327110366811e-10,0.26132801643999287,1.8682616044063787e-09,True,True,lbfgs,174,182,3210.4342581999954,1.0,10,1.7514905800478863e-14,0.0,False,False
historical_R8_r8_50MPa,results/fcc111_active_interface/stable_core_v13/isolated_core/historical_R8_r8_50MPa,9d00fbf54831c134fe9961e17f0603defdc7958bc3590743b2094264a31b6655,8.0,8,50.0,286,1.1725333662100428,4.868455950879369e-10,0.26093682430496895,1.6265109709649672e-09,True,True,newton_cg,7,40,1158.9284537000058,1.0,10,1.7610652540559804e-14,0.0,False,False
historical_R8_r8_stable_plus,results/fcc111_active_interface/stable_core_v13/isolated_core/historical_R8_r8_stable_plus,9d00fbf54831c134fe9961e17f0603defdc7958bc3590743b2094264a31b6655,8.0,8,0.0,286,1.1596705289852642,1.5991377094043413e-09,0.26153438678869767,1.576285864630906e-09,True,True,newton_cg,5,14,571.8543288000001,1.0,10,1.7641436054395763e-14,0.0,False,False
historical_R8_r8_unload,results/fcc111_active_interface/stable_core_v13/isolated_core/historical_R8_r8_unload,9d00fbf54831c134fe9961e17f0603defdc7958bc3590743b2094264a31b6655,8.0,8,0.0,286,1.159670528985279,4.1996860307945416e-10,0.2615343867312041,1.5762837431954822e-09,True,True,newton_cg,7,8,791.6116107999987,1.0,10,1.7641436061002543e-14,0.0,False,False
