case,partition,radius_over_L0,inner_fraction,weighted_remainder_eV,continuum_subtraction_eV,finite_part_at_reference_b_eV,window_constant,window_series_tail,window_series_terms,log_coefficient_eV,core_radius_fitted,convergence_certified
historical_R6_r6_stable_plus,smooth,2.0,0.5,0.40230089879292963,0.10938839981370814,0.2929124989792215,-0.29906923613305847,1.512673100661835e-15,36,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,2.0,0.75,0.4492652295072935,0.15476950957470664,0.29449571993258683,-0.1355812019275878,7.189681436940145e-16,19,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,2.5,0.5,0.4768737282025678,0.17132872495042265,0.3055450032521452,-0.29906923613305847,1.512673100661835e-15,36,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,2.5,0.75,0.5341591457582942,0.21670983471142113,0.317449311046873,-0.1355812019275878,7.189681436940145e-16,19,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,3.0,0.5,0.5402521516763911,0.22193765557261075,0.3183144961037803,-0.29906923613305847,1.512673100661835e-15,36,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,3.0,0.75,0.598567222612218,0.26731876533360927,0.3312484572786087,-0.1355812019275878,7.189681436940145e-16,19,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,3.5,0.5,0.5955630070114386,0.264726896723932,0.3308361102875066,-0.29906923613305847,1.512673100661835e-15,36,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,3.5,0.75,0.6537395555901802,0.31010800648493053,0.3436315491052496,-0.1355812019275878,7.189681436940145e-16,19,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,4.0,0.5,0.6431254449113659,0.30179262336675483,0.3413328215446111,-0.29906923613305847,1.512673100661835e-15,36,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,4.0,0.75,0.701975732774176,0.34717373312775335,0.35480199964642267,-0.1355812019275878,7.189681436940145e-16,19,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,4.5,0.5,0.685325092598459,0.3344869113315133,0.35083818126694566,-0.29906923613305847,1.512673100661835e-15,36,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,4.5,0.75,0.7429644286011048,0.37986802109251183,0.36309640750859296,-0.1355812019275878,7.189681436940145e-16,19,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,5.0,0.5,0.7221179467955006,0.3637329485034693,0.35838499829203124,-0.29906923613305847,1.512673100661835e-15,36,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,5.0,0.75,0.7782683102986047,0.40911405826446784,0.3691542520341368,-0.1355812019275878,7.189681436940145e-16,19,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,5.5,0.5,0.7544117100945805,0.3901892072263835,0.364222502868197,-0.29906923613305847,1.512673100661835e-15,36,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,5.5,0.75,0.808784406690467,0.435570316987382,0.373214089703085,-0.1355812019275878,7.189681436940145e-16,19,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,6.0,0.5,0.7833375683993065,0.4143418791256574,0.36899568927364906,-0.29906923613305847,1.512673100661835e-15,36,0.27758061916607196,False,False
historical_R6_r6_stable_plus,smooth,6.0,0.75,0.8364956244418134,0.4597229888866559,0.37677263555515744,-0.1355812019275878,7.189681436940145e-16,19,0.27758061916607196,False,False
historical_R6_r6_stable_plus,hard,2.0,1.0,0.5099861948539661,0.1924042235530467,0.3175819713009194,0.0,0.0,0,0.27758061916607196,False,False
historical_R6_r6_stable_plus,hard,2.5,1.0,0.5926364195299348,0.2543445486897612,0.33829187084017365,0.0,0.0,0,0.27758061916607196,False,False
historical_R6_r6_stable_plus,hard,3.0,1.0,0.6441403731729789,0.30495347931194927,0.3391868938610296,0.0,0.0,0,0.27758061916607196,False,False
historical_R6_r6_stable_plus,hard,3.5,1.0,0.7085412611728763,0.3477427204632706,0.3607985407096057,0.0,0.0,0,0.27758061916607196,False,False
