first,second,test,comparison_radius_over_L0,common_rows,maximum_vector_change_over_L0,rms_vector_change_over_L0
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,1.5,10,1.4763087742493047e-07,9.823104335553398e-08
historical_R6_r6_stable_plus,historical_R6_r6_newton_check,algorithm,2.0,18,1.4763087742493047e-07,9.287849430261792e-08
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,1.5,10,0.003821419392556833,0.002791767922114792
historical_R6_r6_stable_plus,historical_R8_r6_stable_plus,domain,2.0,18,0.004766512780691253,0.0031833419314060813
historical_R8_r6_stable_plus,historical_R10_r6_stable_plus,domain,1.5,10,0.0021629810851647615,0.001475774012702257
historical_R8_r6_stable_plus,historical_R10_r6_stable_plus,domain,2.0,18,0.002702581109209472,0.0017304519869772528
historical_R6_r8_stable_plus,historical_R8_r8_stable_plus,domain,1.5,10,0.0037909498035547714,0.002773143696235699
historical_R6_r8_stable_plus,historical_R8_r8_stable_plus,domain,2.0,18,0.00471418302323583,0.0031541593050816996
historical_R8_r8_stable_plus,historical_R10_r8_stable_plus,domain,1.5,10,0.002146734642292949,0.0014660048242013857
historical_R8_r8_stable_plus,historical_R10_r8_stable_plus,domain,2.0,18,0.0026718831548904957,0.0017142542246422097
historical_R6_r6_stable_plus,historical_R6_r8_stable_plus,ring,1.5,10,0.00017149650714285295,0.00010220820379698709
historical_R6_r6_stable_plus,historical_R6_r8_stable_plus,ring,2.0,18,0.00019815775436426847,0.00011534020742109464
historical_R8_r6_stable_plus,historical_R8_r8_stable_plus,ring,1.5,10,0.00021913352862769903,0.0001291403568834978
historical_R8_r6_stable_plus,historical_R8_r8_stable_plus,ring,2.0,18,0.0002693008224765928,0.00015237300136352214
historical_R10_r6_stable_plus,historical_R10_r8_stable_plus,ring,1.5,10,0.00023948659221344762,0.00014092747113846833
historical_R10_r6_stable_plus,historical_R10_r8_stable_plus,ring,2.0,18,0.0003034150313014439,0.00017144287325345325
historical_R8_r8_stable_plus,historical_R8_r8_50MPa,static_load,1.5,10,0.007335985538517193,0.004896976939501575
historical_R8_r8_stable_plus,historical_R8_r8_50MPa,static_load,2.0,18,0.008093282280523558,0.004954876905922306
historical_R8_r8_stable_plus,historical_R8_r8_unload,static_unload,1.5,10,7.097574284812457e-10,5.287590067108669e-10
historical_R8_r8_stable_plus,historical_R8_r8_unload,static_unload,2.0,18,7.097574284812457e-10,5.25584771077194e-10
historical_R4_r4_mode_minus,historical_R4_r4_stable50MPa,legacy_static_load,1.5,10,0.006705612566291853,0.004476466428178466
historical_R4_r4_mode_minus,historical_R4_r4_stable50MPa,legacy_static_load,2.0,18,0.0073759213012466645,0.004496655539888058
historical_R4_r4_mode_minus,historical_R4_r4_stable_unload,legacy_static_unload,1.5,10,1.0143333419260795e-07,7.258224898396961e-08
historical_R4_r4_mode_minus,historical_R4_r4_stable_unload,legacy_static_unload,2.0,18,1.0143333419260795e-07,6.178976119927479e-08
