candidate,channel,units,prediction,u,v,A,B,C,D3,D1,D2
v12_reference_ranges,B,GPa,75.83738993316132,149.37215863762202,-233.39921839955,-29.050979138075824,143.37949984613005,45.53592898703507,0.0,0.0,-1.1435066613043907e-17
v12_reference_ranges,Cprime,GPa,8.759371604109806,18.648441916125403,5.748039663373209,8.720062777127941,-24.6640243222611,-1.4384103837656326e-14,0.0,0.0,0.30685156974436356
v12_reference_ranges,C44,GPa,32.80588370634401,102.46936587972837,-137.20300838484874,-20.65095865838459,58.409642183075114,1.4156834003636199e-15,0.0,0.0,29.780842686773855
v13_unconstrained_ranges,B,GPa,77.22716437121662,790.2968536340405,-2519.059100370453,-0.0,1779.467808593172,26.52160251445716,0.0,-0.0,4.0719620330971535e-19
v13_unconstrained_ranges,Cprime,GPa,16.816558644150646,98.66500628972692,62.03813244362825,0.0,-143.84973746200313,-7.88223797864405e-15,0.0,-0.0,-0.03684262720137345
v13_unconstrained_ranges,C44,GPa,31.187466610876413,542.1439857817526,-1480.8210980312485,-0.0,978.1470732696732,1.7067727093051587e-15,0.0,-0.0,-8.282494409300853
v13_fixed_range_spectral,B,GPa,78.0788597766009,327.5777822143679,-903.2745162238663,-37.98934996523165,691.764943751331,0.0,0.0,-0.0,6.034417372338612e-20
v13_fixed_range_spectral,Cprime,GPa,13.190667911602729,40.89661219570274,22.24539474369997,5.975450276533887,-55.92132943541025,-0.0,0.0,-0.0,-0.005459868923617209
v13_fixed_range_spectral,C44,GPa,32.12511856221674,224.71850126519948,-530.9871295761043,-40.63176828047913,380.25293396899093,0.0,0.0,-0.0,-1.2274188153902663
v13_reoptimized_necessary_spectral,B,GPa,78.12926124659589,418.990537975456,-1136.0787097047225,-37.398824896455295,832.6162578723178,0.0,0.0,-0.0,5.677230164795207e-20
v13_reoptimized_necessary_spectral,Cprime,GPa,15.143442342844422,52.30908344705043,27.978780429837094,6.221899129517574,-71.35794616668146,-0.0,0.0,-0.0,-0.008374496879229707
v13_reoptimized_necessary_spectral,C44,GPa,30.661753111880884,287.4276915292407,-667.8403544035422,-39.47347732371433,452.7148722912105,0.0,0.0,-0.0,-2.166978981313791
