run,runner_completed,profiles,optimizer_starts,successful_stopping_criteria,numerical_stops,failed_profile_evaluations,stability_wavepoint_count,derivative_scheme,derivative_step,exact_bulk,fit_loss,profile_heldout_normalized_rms,C11_GPa,C12_GPa,C44_GPa,independent_validation,full_material_accepted,physical_time_calibrated,fit_count,fit_normalized_rms,fit_normalized_max,exact_count,exact_normalized_rms,exact_normalized_max,interface_heldout_count,interface_heldout_normalized_rms,interface_heldout_normalized_max,bloch_heldout_count,bloch_heldout_normalized_rms,bloch_heldout_normalized_max,replayed_fit_loss,finite_q_sample_positive,continuous_q_search_positive,exact_tangent_rank,exact_matrix_rank,exact_tangent_condition,exact_derivative_residual
central_shape_refinement,True,35,1,1,0,0,23,3-point,5e-05,True,1084.8521507855282,63.53483325230776,114.00000000000068,62.000000000000114,32.000000000000455,True,False,False,30,6.013463092055825,12.333219221934993,5,5.358624854532287e-13,1.1564823173178715e-12,30,63.53483325230776,323.44086103305364,0,,,1084.8521507855282,False,False,8,5,3964.668655560793,1.1368683772161603e-12
continuation_quartic,True,154,4,3,1,0,23,2-point (historical runner),0.0002,True,1251.068873227198,78.29816633196923,113.99999999999898,61.99999999999983,31.999999999999545,False,False,False,,,,,,,,,,,,,,,,,,,
cross_factored_inverse,True,15,2,0,2,0,23,2-point (historical runner),0.0002,True,1142.5584572245687,70.57542702738333,114.00000000000003,61.99999999999919,31.999999999999375,False,False,False,,,,,,,,,,,,,,,,,,,
cross_verified_polish,True,112,2,2,0,0,23,2-point (historical runner),0.0002,True,1128.2343256621602,71.20137782399914,113.99999999999976,62.00000000000035,31.999999999999204,True,False,False,30,6.132520758660776,13.859871496557112,5,2.4822751028228003e-13,4.973799150320701e-13,30,71.20137782399914,363.12341821541094,0,,,1128.2343256621602,True,True,9,5,921.7217478847184,3.4364046000302466e-13
density_angular_cross,True,15,2,0,2,0,23,2-point (historical runner),0.0002,True,1142.5584572245687,70.57542702738333,114.00000000000003,61.99999999999919,31.999999999999375,False,False,False,,,,,,,,,,,,,,,,,,,
grid_continuation,True,5,2,0,2,0,23,2-point (historical runner),0.0002,True,3567.9714238316756,51.33220005435943,114.00000000000004,62.000000000000234,32.0,False,False,False,,,,,,,,,,,,,,,,,,,
grid_direct_svd,True,3,2,0,2,0,23,2-point (historical runner),0.0002,True,1143822.1436510582,204.57125660630572,113.99999999999993,62.000000000000064,31.999999999999943,False,False,False,,,,,,,,,,,,,,,,,,,
grid_svd_certified,True,77,2,1,1,0,23,2-point (historical runner),0.0002,True,1084.8934454367404,63.430260289680724,114.00000000000023,61.99999999999966,32.00000000000057,True,False,False,30,6.013577541521465,12.329866081012582,5,2.0345993889411138e-13,3.552713678800501e-13,30,63.430260289680724,322.9043256625886,0,,,1084.8934454367404,False,False,8,5,3985.7401494312912,9.769962616701378e-13
grid_verified_polish,True,10,2,0,2,0,23,2-point (historical runner),0.0002,True,2978.850722220988,60.17684868270321,114.0,62.00000000000034,32.00000000000023,False,False,False,,,,,,,,,,,,,,,,,,,
joint_bulk_interface,True,114,2,2,0,0,23,2-point (historical runner),0.0002,False,311.2212387946836,14.821479856967768,83.42507948224888,70.94343998461702,34.24796953613466,True,False,False,33,3.07098463528262,7.175599299242204,2,2.986489618165998e-13,4.1633363423443375e-13,30,14.821479856967768,71.62434659620392,0,,,311.2212387946836,True,True,11,2,3497.864001851982,1.7763568394002505e-14
joint_quartic,True,71,3,1,2,0,23,2-point (historical runner),0.0002,True,1251.06887355315,78.29824374943472,113.99999999999916,61.99999999999945,31.99999999999983,True,False,False,30,6.4577314735985265,14.495046086513407,5,1.3549237223978336e-13,1.8107379395176742e-13,30,78.29824374943472,399.63636316778724,0,,,1251.06887355315,True,True,8,5,311.5755575091922,4.3076653355456074e-13
mixed_density,True,274,2,2,0,0,23,2-point (historical runner),0.0002,True,1251.0969861798426,78.30370592803634,114.00000000000054,61.99999999999973,32.0,True,False,False,30,6.457804028666511,14.496317896414334,5,6.671801418977749e-14,1.0221842865320742e-13,30,78.30370592803634,399.66546457677447,0,,,1251.0969861798426,True,True,9,5,6055538.807101605,5.81756864903582e-13
rational_development,True,96,3,1,2,0,23,2-point (historical runner),0.0002,True,1146.171119796483,79.79577499458054,113.99999999999939,61.99999999999911,32.000000000000284,True,False,False,30,6.181076281135518,14.31710295962911,5,1.754111504120319e-13,2.910933143275248e-13,30,79.79577499458054,406.2333510760857,0,,,1146.171119796483,True,True,9,5,3006.469680722327,1.0302869668521453e-12
rational_direct_svd,True,296,3,3,0,0,23,2-point (historical runner),0.0002,True,1146.171119796483,79.79577499458054,113.99999999999939,61.99999999999911,32.000000000000284,False,False,False,,,,,,,,,,,,,,,,,,,
spatial_stiffness_fit,True,41,2,1,1,0,23,2-point (historical runner),0.0002,True,2300.2895749640834,71.34237139706556,114.0000000000002,61.99999999999973,32.0,True,False,False,37,7.884794766672293,19.83700179967111,5,6.837398176403847e-14,9.168293364646451e-14,30,79.10516834533821,404.94056552869125,7,9.191040857222747,20.79460596249803,2300.2895749640834,True,True,8,5,280.35976169814296,7.549516567451064e-14
spectral_cross_fit,True,33,1,1,0,0,156,2-point,0.0002,True,1077.905674424174,64.83695433696015,113.99999999999919,61.99999999999927,32.0,True,False,False,30,5.994179605873724,15.988748442168818,5,2.332785702697012e-13,3.23815048849004e-13,30,64.83695433696015,330.7406694673607,0,,,1077.905674424174,True,True,9,5,11896.962666692798,6.344131569286609e-13
spectral_refined_fit,True,38,2,2,0,0,156,2-point,0.0002,True,1117.2940144245326,65.36095691173631,114.00000000000063,62.00000000000031,32.00000000000017,True,False,False,30,6.102715282081501,15.22440297107089,5,1.3595367674361973e-13,2.1316282072803006e-13,30,65.36095691173631,332.72169965973154,0,,,1117.2940144245326,True,True,8,5,3598.0935259976063,7.638334409421077e-13
