run,state,valid,model,a_L0,ux_L0,uy_L0,energy_eV_cell,energy_J_m2,gradient_norm_eV_L0,eigenvalue_min_eV_L0sq,eigenvalue_middle_eV_L0sq,eigenvalue_max_eV_L0sq,force_a_eV_L0,traction_a_MPa,H_aa_eV_L0sq,H_ax_eV_L0sq,H_ay_eV_L0sq,force_x_eV_L0,traction_x_MPa,H_xa_eV_L0sq,H_xx_eV_L0sq,H_xy_eV_L0sq,force_y_eV_L0,traction_y_MPa,H_ya_eV_L0sq,H_yx_eV_L0sq,H_yy_eV_L0sq
central_shape_refinement,perfect,True,candidate,0.8164965809280248,1.058113361146268e-16,1.489464393757679e-16,1.1138546031600132e-14,2.5126281164707773e-14,8.379814276690528e-15,5.217892117944551,5.217892117944562,35.40906089613507,-8.318218628890833e-15,-6.552243319284037e-11,35.40906089613507,-2.6819190712682037e-15,-3.432967669749665e-14,-2.299177687895514e-16,-1.8110574291756821e-12,-2.6819190712682037e-15,5.217892117944559,-2.9602428363315085e-15,9.877570416831928e-16,7.780541443051079e-12,-3.432967669749665e-14,-2.9602428363315085e-15,5.217892117944557
central_shape_refinement,fault,True,candidate,0.8328238465179476,0.49999999999999717,0.2886751345948176,0.1100845905333136,0.2483283155444667,1.129191078092712e-15,0.5368723483012987,0.5368723483016666,27.063842269262814,7.112366251504909e-16,5.602395937739169e-12,27.063842269262814,2.6436127037405844e-13,-4.2178778688521936e-13,-8.141078486894821e-16,-6.412710401991004e-12,2.6436127037405844e-13,0.5368723483016358,-1.0203627019596147e-13,-3.2625659317614483e-16,-2.5699163226920513e-12,-4.2178778688521936e-13,-1.0203627019596147e-13,0.5368723483013296
central_shape_refinement,saddle,True,candidate,0.8340050225712131,0.47579384716155465,0.274699705737493,0.11015566206131237,0.24848863837208138,3.399152500546646e-15,-0.5406960301899009,1.4569621398004342,27.157813428366282,-2.5396351688300456e-15,-2.000465281182962e-11,26.99406241231344,1.8389218318888647,1.0617020146594698,1.0169816377914032e-15,8.010742971950214e-12,1.8389218318888647,0.08153177434736335,-0.794105091745973,2.0174834025610267e-15,1.5891674330708912e-11,1.0617020146594698,-0.794105091745973,0.9984853513160112
cross_verified_polish,perfect,True,candidate,0.816496580928108,5.867828021743591e-17,8.504392183397177e-17,3.1577649331504306e-15,7.123271685307582e-15,5.899880974373173e-15,4.759312845787737,4.759312845787764,30.250643100726712,5.780693724411767e-15,4.55344028889208e-11,30.250643100726712,-6.2321614463643046e-15,-2.9631207273530097e-14,1.0390159118272807e-15,8.184306485110848e-12,-6.2321614463643046e-15,4.759312845787741,-6.201116677875219e-15,5.591256668108617e-16,4.404221118061912e-12,-2.9631207273530097e-14,-6.201116677875219e-15,4.759312845787762
cross_verified_polish,fault,True,candidate,0.825222855778793,0.5000000000000003,0.28867513459481337,0.10675698483697545,0.24082191784280324,7.148526304330663e-15,1.2713270094677698,1.2713270094678342,31.28177122976481,7.049916206369744e-15,5.5532041685297524e-11,31.28177122976481,-6.79645220660376e-14,-6.737613193817281e-14,4.874865991852989e-16,3.839921689072364e-12,-6.79645220660376e-14,1.2713270094678173,2.861703632177609e-14,-1.0781774540804463e-15,-8.492781129802147e-12,-6.737613193817281e-14,2.861703632177609e-14,1.2713270094677867
cross_verified_polish,saddle,True,candidate,0.8285045924265718,0.45942812813476314,0.265250953451891,0.10721499473991125,0.24185509448585318,1.6241990434374103e-15,-1.15306691761696,3.261301250570471,31.760271718524244,1.2212453270876722e-15,9.619723756508233e-12,31.331039083053383,3.2337948021151197,1.8670322995052153,1.0411288530517288e-15,8.200950078696914e-12,3.2337948021151197,0.27244960103302873,-1.725614304428283,2.502660486616501e-16,1.971340401767686e-12,1.8670322995052153,-1.725614304428283,2.265017367391342
grid_svd_certified,perfect,True,candidate,0.8164965809280442,-6.35776781583989e-17,-1.0965656463096168e-16,1.889492688516989e-14,4.2623089598631583e-14,2.2540535102297916e-14,5.221813415452059,5.221813415452072,35.43750063336261,-2.2536557487348554e-14,-1.775199893439566e-10,35.43750063336261,4.2372668070714644e-15,1.543224726728829e-14,-3.9640842095790803e-16,-3.1225007947112884e-12,4.2372668070714644e-15,5.221813415452069,7.057152518552491e-15,1.4886128157437303e-16,1.172577184143817e-12,1.543224726728829e-14,7.057152518552491e-15,5.221813415452063
grid_svd_certified,fault,True,candidate,0.8328299275196996,0.49999999999999845,0.2886751345948147,0.1102377292457351,0.2486737651511378,9.132874317424372e-15,0.5396084691369073,0.5396084691370646,27.059513662795023,-9.131584377541913e-15,-7.192929808843657e-11,27.059513662795023,1.3212838344479843e-13,-1.6682005463786853e-13,8.88422789303484e-17,6.998087626232117e-13,1.3212838344479843e-13,0.5396084691370495,-4.6712778420440524e-14,1.2516829940771685e-16,9.859480619226222e-13,-1.6682005463786853e-13,-4.6712778420440524e-14,0.5396084691369226
grid_svd_certified,saddle,True,candidate,0.8340202872725144,0.4756575986250716,0.27462104260827663,0.1103099371352306,0.24883665137781644,1.0415453439165861e-14,-0.5429046755792103,1.4652728745336263,27.153557904734782,-1.0200174038743626e-14,-8.034655637538126e-11,26.989324168559392,1.8415457111436733,1.0632169120536885,-1.3964523981613297e-16,-1.0999826170439101e-12,1.8415457111436733,0.08231501408056016,-0.7984510930105108,2.102051172014896e-15,1.6557812872086438e-11,1.0632169120536885,-0.7984510930105108,1.0042869210492429
joint_bulk_interface,perfect,True,candidate,0.8164965809278042,-4.663348368988183e-17,-4.6498048232643754e-17,5.2881720782177276e-17,1.1929034373759067e-16,2.0790221566445774e-15,3.418008550798134,3.418008550798144,23.15033186393608,2.040781278955518e-15,1.6075191213072543e-11,23.15033186393608,9.273731858672456e-16,1.4296734171250587e-14,3.497132083922022e-16,2.7546835874145974e-12,9.273731858672456e-16,3.418008550798142,-3.2182554984599585e-15,-1.877380386596751e-16,-1.4788085820573931e-12,1.4296734171250587e-14,-3.2182554984599585e-15,3.4180085507981377
