model,state,component,energy_eV_cell,normal_force_eV_L0,Haa_eV_L0sq,source_Haa_eV_L0sq
positive_pair_refinement,inspected039,pair_6,0.04707806580838475,-1.2211679064994134,16.282970167010088,36.31678531793335
positive_pair_refinement,inspected039,pair_3,-0.044204021499700555,2.2383273313925462,-13.350975320745379,36.31678531793335
positive_pair_refinement,inspected039,embedding,0.0022039251175600683,-1.2947277634762278,6.322946478358542,36.31678531793335
positive_pair_refinement,inspected039,angular_3,0.10824324048594158,-0.48657084731249095,4.721452323838666,36.31678531793335
positive_pair_refinement,inspected039,angular_1,0.008884687909917517,-0.49397188004317183,21.576385373188508,36.31678531793335
positive_pair_refinement,inspected039,angular_2,0.0058754431027435725,-0.010010991694087375,-0.27273231711836615,36.31678531793335
positive_pair_refinement,inspected039,angular_Eg_radial,0.007304427300912927,-0.009573390249624836,1.5755207307835186,36.31678531793335
positive_pair_refinement,inspected039,angular_rank3_quartic,0.07444172599443993,-0.6688290766570807,9.42280980374048,36.31678531793335
positive_pair_refinement,heldout031,pair_6,0.03468127654961579,-1.0266397404595937,13.102444333414226,34.460781638400974
positive_pair_refinement,heldout031,pair_3,-0.03357883835162137,2.125971042653512,-12.121303113770175,34.460781638400974
positive_pair_refinement,heldout031,embedding,0.0016953674350634884,-1.2893732398689928,6.271938626684101,34.460781638400974
positive_pair_refinement,heldout031,angular_3,0.08420399888132074,-0.3863478204390304,4.909216749440262,34.460781638400974
positive_pair_refinement,heldout031,angular_1,0.005933078745373576,-0.36555622254600867,19.437321848178406,34.460781638400974
positive_pair_refinement,heldout031,angular_2,0.005701666760245693,-0.014228014755851877,-0.37309327222487837,34.460781638400974
positive_pair_refinement,heldout031,angular_Eg_radial,0.007200326754723595,-0.01255084056550766,1.4194277568534195,34.460781638400974
positive_pair_refinement,heldout031,angular_rank3_quartic,0.0450485251370641,-0.41313079238577,7.089460809691435,34.460781638400974
positive_pair_refinement,heldout_off,pair_6,-0.026844351774355634,-0.28903222393721695,3.555455566818351,5.497617912510364
positive_pair_refinement,heldout_off,pair_3,0.15718466849678892,1.1464924831826997,-6.083813405975409,5.497617912510364
positive_pair_refinement,heldout_off,embedding,-0.12024038819027716,-0.6384590781451438,3.9320613245877185,5.497617912510364
positive_pair_refinement,heldout_off,angular_3,0.07944263193829379,-0.2897706972387099,0.9026316135371838,5.497617912510364
positive_pair_refinement,heldout_off,angular_1,0.05620618880608872,0.9080646495580255,3.8126398984596834,5.497617912510364
positive_pair_refinement,heldout_off,angular_2,0.0027711023761440726,0.016032159117634327,1.3690554279115,5.497617912510364
positive_pair_refinement,heldout_off,angular_Eg_radial,0.010764763033805497,0.031365440419108076,-0.25459347949305644,5.497617912510364
positive_pair_refinement,heldout_off,angular_rank3_quartic,0.03981618851606134,-0.29500305100008045,1.9913861479825379,5.497617912510364
positive_pair_refinement,heldout_opening,pair_6,-0.05258093172635332,-0.0008307254689042141,0.0056365586368447825,-0.6638075680371565
positive_pair_refinement,heldout_opening,pair_3,0.40106918475398856,0.106385554040142,-0.2917507489085853,-0.6638075680371565
positive_pair_refinement,heldout_opening,embedding,-0.15778560463627755,0.13592033754818716,0.0016401189189402254,-0.6638075680371565
positive_pair_refinement,heldout_opening,angular_3,0.015918451774397883,0.0048668608706881845,0.04946299605214118,-0.6638075680371565
positive_pair_refinement,heldout_opening,angular_1,0.4103464881684029,0.12305889357487403,-0.6018072199212667,-0.6638075680371565
positive_pair_refinement,heldout_opening,angular_2,0.005446807241739265,2.0310979111348324e-05,-0.00019615436726731227,-0.6638075680371565
positive_pair_refinement,heldout_opening,angular_Eg_radial,0.013732852261532324,0.0002651914649223749,-0.0014242458985252392,-0.6638075680371565
positive_pair_refinement,heldout_opening,angular_rank3_quartic,0.0012960196559129655,0.0007687323686760366,0.009600446223215476,-0.6638075680371565
