model,quantity,reciprocal,direct,absolute_error,relative_error,pair_tail_estimate,density_tail_estimate,reciprocal_pair_layers,reciprocal_density_layers,maximum_plane_shells,reciprocal_evaluation_ms
two_row_lj_reference,energy,-6.958665020169467,-6.958643692812579,2.1327356887645976e-05,3.064872671907962e-06,2.183015922419791e-05,0.0,8,0,36,11.991800000032526
two_row_lj_reference,d_da,-5.588035030541263,-5.58811596378348,8.093324221647435e-05,1.4483099982355742e-05,2.183015922419791e-05,0.0,8,0,36,11.991800000032526
two_row_lj_reference,d_ds,8.1618220182248,8.161822014315497,3.909303103455386e-09,4.789743143869875e-10,2.183015922419791e-05,0.0,8,0,36,11.991800000032526
two_row_lj_reference,d2_daa,313.26941357511873,313.2699549476663,0.0005413725475591491,1.7281342784678752e-06,2.183015922419791e-05,0.0,8,0,36,11.991800000032526
two_row_lj_reference,d2_das,-143.6706639738525,-143.6706639642577,9.594799621481798e-09,6.6783290038033e-11,2.183015922419791e-05,0.0,8,0,36,11.991800000032526
two_row_lj_reference,d2_dss,64.79620690446245,64.79622316517793,1.6260715483440435e-05,2.50951593922207e-07,2.183015922419791e-05,0.0,8,0,36,11.991800000032526
analytic_lj_eam_hypothetical,energy,-0.27246907590773856,-0.2724683242019488,7.517057897810098e-07,2.7588740525443926e-06,7.681941729088736e-07,7.915452919311591e-72,7,16,23,17.55570000022999
analytic_lj_eam_hypothetical,d_da,0.035808680505110796,0.03580711162686165,1.5688782491474207e-06,4.381471104110183e-05,7.681941729088736e-07,7.915452919311591e-72,7,16,23,17.55570000022999
analytic_lj_eam_hypothetical,d_ds,0.07951623381163289,0.07951623368440419,1.2722869979775453e-10,1.6000342810842708e-09,7.681941729088736e-07,7.915452919311591e-72,7,16,23,17.55570000022999
analytic_lj_eam_hypothetical,d2_daa,4.976814616444584,4.976821761187571,7.144742986575636e-06,1.435603549698102e-06,7.681941729088736e-07,7.915452919311591e-72,7,16,23,17.55570000022999
analytic_lj_eam_hypothetical,d2_das,-1.2316666532769474,-1.2316666527526643,5.242830614093918e-10,4.2566960811812705e-10,7.681941729088736e-07,7.915452919311591e-72,7,16,23,17.55570000022999
analytic_lj_eam_hypothetical,d2_dss,0.5001591443822364,0.500159810740221,6.663579845689327e-07,1.3322901405907516e-06,7.681941729088736e-07,7.915452919311591e-72,7,16,23,17.55570000022999
