                Step[ FC]     Time          Energy          fmax
BFGSLineSearch:    0[  0] 22:32:04     -359.147143       0.0085
BFGSLineSearch:    1[  2] 22:32:09     -359.147148       0.0083
BFGSLineSearch:    2[  3] 22:32:11     -359.147155       0.0061
BFGSLineSearch:    3[  5] 22:32:15     -359.147179       0.0125
BFGSLineSearch:    4[  7] 22:32:20     -359.147275       0.0398
BFGSLineSearch:    5[ 14] 22:32:35     -359.159225       0.5422
BFGSLineSearch:    6[ 16] 22:32:40     -359.159268       0.5650
BFGSLineSearch:    7[ 19] 22:32:47     -359.180746       0.5973
BFGSLineSearch:    8[ 21] 22:32:51     -359.204829       0.6570
BFGSLineSearch:    9[ 22] 22:32:53     -359.248570       0.4494
BFGSLineSearch:   10[ 24] 22:32:58     -359.310486       0.6298
BFGSLineSearch:   11[ 26] 22:33:02     -359.332982       0.2535
BFGSLineSearch:   12[ 28] 22:33:07     -359.343356       0.3301
BFGSLineSearch:   13[ 29] 22:33:09     -359.361742       0.1887
BFGSLineSearch:   14[ 30] 22:33:12     -359.372027       0.1627
BFGSLineSearch:   15[ 31] 22:33:15     -359.379937       0.0967
BFGSLineSearch:   16[ 32] 22:33:17     -359.385586       0.0923
BFGSLineSearch:   17[ 33] 22:33:20     -359.389814       0.0818
BFGSLineSearch:   18[ 35] 22:33:24     -359.396398       0.1776
BFGSLineSearch:   19[ 40] 22:33:36     -359.442792       0.6246
BFGSLineSearch:   20[ 41] 22:33:39     -359.447614       0.8137
BFGSLineSearch:   21[ 43] 22:33:43     -359.554899       0.8251
BFGSLineSearch:   22[ 44] 22:33:46     -359.726151       0.6031
BFGSLineSearch:   23[ 45] 22:33:48     -359.819264       0.6404
BFGSLineSearch:   24[ 46] 22:33:50     -359.869461       0.5415
BFGSLineSearch:   25[ 47] 22:33:52     -359.926524       0.2223
BFGSLineSearch:   26[ 48] 22:33:54     -359.964778       0.3121
BFGSLineSearch:   27[ 49] 22:33:56     -359.990287       0.2996
BFGSLineSearch:   28[ 50] 22:33:59     -360.001891       0.1400
BFGSLineSearch:   29[ 51] 22:34:01     -360.008472       0.0775
BFGSLineSearch:   30[ 52] 22:34:03     -360.012124       0.0542
BFGSLineSearch:   31[ 53] 22:34:05     -360.013985       0.0466
BFGSLineSearch:   32[ 54] 22:34:07     -360.014927       0.0265
BFGSLineSearch:   33[ 55] 22:34:09     -360.015421       0.0235
BFGSLineSearch:   34[ 56] 22:34:10     -360.015800       0.0173
BFGSLineSearch:   35[ 57] 22:34:12     -360.016167       0.0163
BFGSLineSearch:   36[ 58] 22:34:14     -360.016431       0.0154
BFGSLineSearch:   37[ 59] 22:34:15     -360.016630       0.0100
BFGSLineSearch:   38[ 60] 22:34:17     -360.016756       0.0076
BFGSLineSearch:   39[ 61] 22:34:19     -360.016836       0.0080
BFGSLineSearch:   40[ 62] 22:34:20     -360.016874       0.0038
BFGSLineSearch:   41[ 63] 22:34:22     -360.016889       0.0031
BFGSLineSearch:   42[ 64] 22:34:24     -360.016897       0.0016
BFGSLineSearch:   43[ 65] 22:34:26     -360.016900       0.0009
BFGSLineSearch:   44[ 66] 22:34:27     -360.016901       0.0007
BFGSLineSearch:   45[ 67] 22:34:29     -360.016902       0.0005
BFGSLineSearch:   46[ 68] 22:34:31     -360.016902       0.0003
BFGSLineSearch:   47[ 69] 22:34:32     -360.016902       0.0002
BFGSLineSearch:   48[ 70] 22:34:34     -360.016902       0.0001
BFGSLineSearch:   49[ 71] 22:34:36     -360.016902       0.0001
BFGSLineSearch:   50[ 72] 22:34:38     -360.016902       0.0001
BFGSLineSearch:   51[ 74] 22:34:41     -360.016902       0.0000
BFGSLineSearch:   52[ 76] 22:34:44     -360.016902       0.0000
BFGSLineSearch:   53[ 78] 22:34:48     -360.016902       0.0000
BFGSLineSearch:   54[ 80] 22:34:51     -360.016902       0.0000
BFGSLineSearch:   55[ 82] 22:34:55     -360.016902       0.0000
