candidate,state,valid,a,x,y,energy_J_m2,force_residual_eV_L0,hessian_eigenvalues
cubic_5pct,perfect,True,0.8164965809277491,-3.304345978134163e-17,-3.2749711951885735e-17,6.032164813988397e-15,7.486946047900312e-16,"[4.702488760601876, 4.702488760601886, 23.116553086006142]"
cubic_5pct,fault,True,0.8352896577988335,0.5,0.28867513459481353,0.15127900356318588,3.2439329000766293e-15,"[1.9095280784889688, 1.9095280784890012, 18.570665978658006]"
cubic_5pct,saddle,True,0.8498817659398618,0.3534493426816568,0.20406407314215103,0.16880406521160282,3.7816971776294395e-15,"[-1.2142475072277907, 4.261564362590186, 18.851588910227157]"
bulk_exact,perfect,True,0.8164965809277381,-2.0329677141465727e-16,-2.0547973106793516e-16,-2.7944041456896397e-14,6.193384018898744e-14,"[4.710392303477388, 4.710392303477424, 23.442007114764653]"
bulk_exact,fault,True,0.8186902087053699,0.5000000000000004,0.2886751345948126,0.027059724763451972,3.6273067882675036e-14,"[4.009524596152251, 4.009524596152314, 22.112760204258553]"
bulk_exact,saddle,True,0.8439033617306383,0.3941112280195241,0.2275402235877259,0.04244941047895298,2.5979218776228663e-14,"[-1.2077062993324006, 5.4574434616835905, 22.762445835105584]"
