candidate,observable,target,prediction,scale,units,role,normalized_residual
cubic_5pct,normal_strain_force_ev,0.0,-4.440892098500626e-15,0.1,eV/strain,exact,-4.440892098500626e-14
cubic_5pct,cohesive_ev_atom,3.36,3.3599999999999994,0.0672,eV/atom,exact,-6.608470384673551e-15
cubic_5pct,C11_GPa,113.99999999999996,87.51655207197435,5.699999999999998,GPa,fit,-4.646218934741337
cubic_5pct,C12_GPa,62.000000000000014,69.99780886375478,3.100000000000001,GPa,fit,2.5799383431466993
cubic_5pct,C44_GPa,32.0,32.80588370634402,1.6,GPa,fit,0.5036773164650121
cubic_5pct,perfect_Haa,19.66091286328976,23.11655308601501,1.9660912863289761,eV/L0^2,fit,1.7576194181591198
cubic_5pct,perfect_Hxx,4.393593035123306,4.7024887606034795,0.43935930351233066,eV/L0^2,fit,0.7030594845967663
cubic_5pct,saddle_energy_at_source_state,0.07624909750742465,0.07459192705555545,0.007624909750742465,eV/cell,fit,-0.21733640214008168
cubic_5pct,saddle_normal_force_at_source_state,1.4903612010162394e-15,0.023052312190992463,0.03173805605024358,eV/L0,fit,0.7263303131892368
cubic_5pct,fault_energy_at_source_state,0.06670794504308616,0.06706365666582294,0.006670794504308616,eV/cell,fit,0.05332372665760008
cubic_5pct,fault_normal_force_at_source_state,5.29078226360765e-15,0.006879399886424498,0.03173805605024358,eV/L0,fit,0.21675555287723455
cubic_5pct,saddle_path_force_at_source_state,2.296700476743968e-16,-0.02179629321683013,0.03173805605024358,eV/L0,fit,-0.6867557730166363
cubic_5pct,opening_1.1h_energy,0.05670265774764735,0.04980928630917503,0.005670265774764736,eV/cell,fit,-1.2157051736712174
cubic_5pct,opening_1.5h_energy,0.4710312483934004,0.3785233519096236,0.04710312483934004,eV/cell,fit,-1.9639439378874317
cubic_5pct,opening_2h_energy,0.7060534019484034,0.6785484607395822,0.07060534019484034,eV/cell,fit,-0.3895589360934937
cubic_5pct,opening_40h_energy,0.7719163228888833,0.8101962065041275,0.07719163228888834,eV/cell,fit,0.49590716610295726
cubic_5pct,direct_quarter_energy,0.117221996542065,0.13568907644498335,0.0117221996542065,eV/cell,heldout,1.5753937356195307
cubic_5pct,direct_half_energy,0.26732847628894163,0.30814106959354476,0.026732847628894163,eV/cell,heldout,1.5266833474369894
cubic_5pct,oblique_energy,0.13339289745734875,0.09863149476331484,0.013339289745734876,eV/cell,heldout,-2.6059410475845293
cubic_5pct,opening_1.25h_energy,0.24853683654490819,0.17915356801256177,0.02485368365449082,eV/cell,heldout,-2.791669415966415
cubic_5pct,opening_3h_energy,0.7719163228888833,0.7794099826476635,0.07719163228888834,eV/cell,heldout,0.09707865394963076
