candidate,normal_MPa,shear_MPa,stable,a,x,y,force_residual_eV_L0,minimum_hessian_eigenvalue,static_not_dynamic,residual_plasticity_validated
cubic_5pct,0,0,True,0.8164965809277491,-3.304345978134163e-17,-3.2749711951885735e-17,7.486946047900312e-16,4.702488760601876,True,False
cubic_5pct,10,5,True,0.8165515519043817,0.00013509310231625635,5.401118666621348e-08,5.073849326797664e-15,4.694935669581712,True,False
cubic_5pct,25,12.5,True,0.8166342064419932,0.00033814342289066764,3.382858272399123e-07,8.998878031629687e-16,4.683591250885066,True,False
cubic_5pct,50,25,True,0.8167724954656603,0.000677665604714632,1.3579549408542185e-06,7.648395805581742e-15,4.664644146606716,True,False
cubic_5pct,25,12.5,True,0.8166342064419927,0.0003381434228907438,3.382858271116053e-07,1.3040783730655647e-14,4.683591250885107,True,False
cubic_5pct,0,0,True,0.8164965809277496,4.571271018519379e-17,3.869709497392435e-17,1.1936794985606867e-14,4.702488760601852,True,False
bulk_exact,0,0,True,0.8164965809277381,-2.0329677141465727e-16,-2.0547973106793516e-16,6.193384018898744e-14,4.710392303477388,True,False
bulk_exact,10,5,True,0.8165508508976724,0.0001350397387619128,1.323540520265517e-07,2.72629141484515e-14,4.691331684119778,True,False
bulk_exact,25,12.5,True,0.8166326871850471,0.0003386686334977318,8.330921843621565e-07,2.0575121467691915e-14,4.662626311103989,True,False
bulk_exact,50,25,True,0.8167702500420351,0.0006809628898557936,3.3724014613586996e-06,2.7857924300711545e-14,4.6144722921237395,True,False
bulk_exact,25,12.5,True,0.8166326871850466,0.00033866863349769487,8.330921841318811e-07,1.7694179454963432e-15,4.6626263111041215,True,False
bulk_exact,0,0,True,0.8164965809277345,1.1588824017261452e-16,-6.3111457615589114e-18,2.213317499953839e-15,4.710392303478152,True,False
