case,species,count,arrangement,chemical_concentration_cm3,opening_A,energy_eV,delta_energy_eV,area_A2,separation_work_J_m2,conjugate_force_eV_A,rigid_traction_GPa,affine_stress_zz_GPa,nonaffine_correction_GPa,total_force_norm_eV_A
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,0.0,-1164.2094064716257,0.0,155.52997112368598,0.0,0.6019107709514202,0.6200524349126082,0.6203493424526617,-0.00029690754005347726,2.81336188199781e-16
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,0.03,-1164.1569661103335,0.05244036129215601,155.52997112368598,0.005402092016978137,2.8474924239033257,2.933316192441025,0.8384322935537027,2.094883898887322,1.2463777298718306e-15
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,0.1,-1163.8003424579902,0.40906401363554323,155.52997112368598,0.04213932528386573,7.1477059998779655,7.363138729447144,1.2786802507482817,6.0844584786988625,6.963516288147251e-16
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,0.2,-1162.845297890962,1.3641085806636966,155.52997112368598,0.14052229794604765,11.70958746794997,12.0625158606948,1.7859055783394417,10.276610282355358,4.393427085206925e-16
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,0.35,-1160.7090563146405,3.500350156985178,155.52997112368598,0.360585113712903,16.4024448164613,16.896816501373696,2.3604903150174863,14.536326186356208,1.6884280893897382e-15
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,0.5,-1158.0454291700316,6.163977301594059,155.52997112368598,0.6349760328359226,18.650516044916415,19.212644870514264,2.6832528379094485,16.529392032604818,2.2056781622652247e-15
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,0.7,-1154.3772872774407,9.832119194184997,155.52997112368598,1.0128460464445546,17.26691687365226,17.78734385167829,2.6098675917488903,15.177476259929401,2.5963407360507305e-15
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,0.9,-1151.3255751719432,12.88383129968247,155.52997112368598,1.3272151544561988,13.126090041545142,13.521711994416338,2.168277040394255,11.353434954022084,8.473995368604609e-16
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,1.1,-1149.0747401979322,15.134666273693483,155.52997112368598,1.5590826958886193,9.650511281024848,9.941378866659292,1.7549478287144396,8.186431037944853,1.0072580149042006e-15
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,1.4,-1146.6441667615634,17.565239710062315,155.52997112368598,1.8094658174719405,6.8343556228645435,7.040343933898225,1.3806066197724502,5.659737314125775,1.0687669833559288e-15
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,1.8,-1144.4999995689473,19.709406902678438,155.52997112368598,2.0303450827723215,3.950655169044569,4.069728397108005,0.9441024363358483,3.125625960772156,1.5152244309743848e-15
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,2.3,-1143.210857922176,20.99854854944965,155.52997112368598,2.1631447360771228,1.5415469067009129,1.5880093182599744,0.5621139144679012,1.0258954037920731,1.6353463267640343e-15
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,3.0,-1142.4147954229363,21.794611048689376,155.52997112368598,2.2451503280714293,0.7853704540259282,0.8090416151840228,0.4380531240360288,0.3709884911479941,1.924256937346968e-15
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,4.0,-1142.1919466143831,22.017459857242557,155.52997112368598,2.2681068779504687,3.3306690738754696e-16,3.4310558455038624e-16,0.2812711550955596,-0.2812711550955592,6.364425184639671e-16
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,6.0,-1142.1919466143831,22.017459857242557,155.52997112368598,2.2681068779504687,1.1102230246251565e-16,1.1436852818346208e-16,0.26493153288739113,-0.264931532887391,1.8123077401704465e-16
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,8.0,-1142.1919466143831,22.017459857242557,155.52997112368598,2.2681068779504687,7.216449660063518e-16,7.433954331925036e-16,0.25038608800253465,-0.2503860880025339,6.364425184639671e-16
B_02_interface_spread,B,2,interface_spread,4.523430453814843e+20,10.0,-1142.1919466143831,22.017459857242557,155.52997112368598,2.2681068779504687,4.163336342344337e-16,4.2888198068798277e-16,0.23735468530165188,-0.23735468530165146,6.364425184639671e-16
