model,angle_rad,coefficient_J_m,stiffness_per_log_J_m
historical_candidate,-1.5707963267948966,2.785513694725354e-10,1.1203999195742949e-10
historical_candidate,-1.5585244804918115,2.785388299906763e-10,1.1192202462365349e-10
historical_candidate,-1.5462526341887264,2.7850119568611263e-10,1.1156955898133174e-10
historical_candidate,-1.533980787885641,2.7843841919990745e-10,1.109868504927107e-10
historical_candidate,-1.521708941582556,2.7835042231918767e-10,1.1018081696752662e-10
historical_candidate,-1.509437095279471,2.782370970275955e-10,1.0916079056233715e-10
historical_candidate,-1.4971652489763858,2.7809830692290463e-10,1.0793819714228171e-10
historical_candidate,-1.4848934026733007,2.779338889536e-10,1.0652618672815557e-10
historical_candidate,-1.4726215563702154,2.7774365541884555e-10,1.0493924186955444e-10
historical_candidate,-1.4603497100671303,2.7752739617290974e-10,1.0319279169844838e-10
historical_candidate,-1.4480778637640452,2.7728488097592854e-10,1.0130285817923966e-10
historical_candidate,-1.4358060174609601,2.7701586193767405e-10,9.928575796486578e-11
historical_candidate,-1.423534171157875,2.767200760092984e-10,9.715787868473813e-11
historical_candidate,-1.41126232485479,2.763972474891521e-10,9.493554285698632e-11
historical_candidate,-1.3989904785517047,2.760470905218937e-10,9.263496641317967e-11
historical_candidate,-1.3867186322486196,2.7566931158427795e-10,9.027231254783599e-11
historical_candidate,-1.3744467859455345,2.752636119652893e-10,8.786383566695016e-11
historical_candidate,-1.3621749396424494,2.748296902617958e-10,8.54261048683517e-11
historical_candidate,-1.3499030933393643,2.7436724492280775e-10,8.297629180694397e-11
historical_candidate,-1.337631247036279,2.738759768850773e-10,8.053250410866509e-11
historical_candidate,-1.325359400733194,2.733555923495772e-10,7.811414276086746e-11
historical_candidate,-1.3130875544301088,2.728058057519715e-10,7.574226009087652e-11
historical_candidate,-1.3008157081270237,2.7222634298023303e-10,7.343989398104625e-11
historical_candidate,-1.2885438618239387,2.7161694488894803e-10,7.123235383029325e-11
historical_candidate,-1.2762720155208536,2.709773711525434e-10,6.91474344609126e-11
historical_candidate,-1.2640001692177683,2.703074044887899e-10,6.721553567457795e-11
historical_candidate,-1.2517283229146832,2.696068552696978e-10,6.546966747835617e-11
historical_candidate,-1.239456476611598,2.6887556651968903e-10,6.394532416999922e-11
historical_candidate,-1.227184630308513,2.681134192811658e-10,6.268021454070475e-11
historical_candidate,-1.2149127840054277,2.673203383059426e-10,6.171384041571986e-11
historical_candidate,-1.2026409377023426,2.664962980081884e-10,6.1086921544201e-11
historical_candidate,-1.1903690913992575,2.656413285914269e-10,6.084067137844307e-11
historical_candidate,-1.1780972450961724,2.647555222397575e-10,6.101593539481258e-11
historical_candidate,-1.1658253987930873,2.638390392428343e-10,6.165221101951185e-11
