model,C11_GPa,C12_GPa,C44_GPa,bulk_modulus_GPa,normal_stress_GPa,screw_coefficient_J_m,edge_coefficient_J_m,min_stiffness_per_log_J_m,material_calibrated_for_yield
historical_candidate,87.8161695580635,64.8326341444574,49.27104857203212,72.49381261565944,-2.5705543276335892e-14,1.5529572783546986e-10,2.785513694725354e-10,6.084067137844299e-11,False
v10_exchange_rejected,85.25867788363047,64.2424420988905,52.54277051904424,71.24785402713717,1.3709623080712477e-13,1.5335189233702373e-10,2.8036915791635346e-10,5.6698582229218434e-11,False
v11_cubic_5pct_not_adopted,85.73478577166645,70.67742413114196,32.464481142158995,75.69654467798345,-2.1421286063613245e-15,1.0203140396213386e-10,2.0343982464927937e-10,1.1624082474422305e-11,False
v11_bulk_exact_not_adopted,113.99999999999983,62.00000000000017,32.00000000000061,79.33333333333339,-5.141108655267179e-13,1.882486411095375e-10,2.892295710276242e-10,8.907302436575892e-11,False
source_elastic_comparator_0K,114.0,62.0,32.0,,,1.8824864110953614e-10,2.89229571027622e-10,8.907302437052273e-11,False
