model,parameter,value
old_family,c0,0.004311969316691137
old_family,c1,0.03743983570304502
old_family,c2,1.6419798427545322
old_family,c3,1.1808938585731341
old_family,c4,2.6544939488279495
old_family,c5,36.8195117999839
old_family,c6,3.5855127129567124
old_family,c7,1.986984741616013
old_family,c8,1.6299212101201466
old_family,c9,28637.8713062597
old_family,k_scalar,2.611136311245189
old_family,k_odd,6.355657349408693
old_family,k_even,11.999999999999995
old_family,alpha_even,498.6790647387114
old_family,k_rank1,7.0572025709854
old_family,density_power,0.0
power_family,c0,0.00775508040595434
power_family,c1,0.05044070127727976
power_family,c2,2.005226493260728
power_family,c3,1.440242107157613
power_family,c4,2.4775245102702375
power_family,c5,36.892601027717674
power_family,c6,2.8146405158811802
power_family,c7,1.9540901392086043
power_family,c8,1.6119773938458228
power_family,c9,33582.79464013082
power_family,k_scalar,2.7365634816897786
power_family,k_odd,6.255420040236071
power_family,k_even,11.999999999999995
power_family,alpha_even,426.3611734047584
power_family,k_rank1,7.496398980748971
power_family,density_power,-0.9999999999999793
