model,field,count,rms,maximum_absolute_normalized_error,within_scale
joint_refinement/old_family,energy,10,1.0172934928233177,1.950304785442785,6
joint_refinement/old_family,normal_force,10,5.092132317196933,10.880132954670145,1
joint_refinement/old_family,Haa,10,5.956946376637726,14.428406703727994,1
joint_refinement/old_family,Hxx,10,8.179461844589044,16.290352638109056,3
joint_refinement/power_family,energy,10,1.0127880541437684,2.0365354874564074,6
joint_refinement/power_family,normal_force,10,5.166792818219772,10.963317190774292,1
joint_refinement/power_family,Haa,10,5.907271221349599,14.18007047548317,1
joint_refinement/power_family,Hxx,10,8.4471195423358,17.051920974156392,2
