axis,harmonic,block,site,real_A,imag_A
0,2,8,3,-3.718844149362763e-05,-4.682985786206689e-06
0,2,8,4,2.2313123382134365e-05,6.985016480747911e-05
0,2,8,5,1.638135135261557e-05,5.883978596504116e-05
0,2,9,0,-0.0001597974183660898,-2.1008755626671388e-05
0,2,9,1,-0.00011468225615537638,-6.273726333526607e-07
0,2,9,2,7.624818995325814e-05,-1.3666196901379564e-05
0,2,9,3,0.00010591689393078365,3.550495728305633e-06
0,2,9,4,8.407605537941666e-05,2.777319266292545e-05
0,2,9,5,8.238535258007711e-06,3.978636770172517e-06
0,2,10,0,-6.545126256818851e-05,-5.6641363395705524e-05
0,2,10,1,-6.31240359423516e-05,-1.5185020313366865e-05
0,2,10,2,7.312912117285822e-05,1.0377815703287928e-05
0,2,10,3,8.496111288583802e-05,4.359677002374605e-05
0,2,10,4,1.782345974745834e-05,-1.7145773651051635e-05
0,2,10,5,-4.733839529561441e-05,3.4997571633090015e-05
0,2,11,0,1.4786585944063628e-05,-1.7376244187143017e-05
0,2,11,1,1.7145999357136438e-05,3.5554922814198366e-05
0,2,11,2,2.1616503424815077e-05,-2.3639096936265664e-05
0,2,11,3,-1.5471903648089274e-05,-5.369118521888868e-05
0,2,11,4,-6.401825716556518e-05,3.2792934054580874e-05
0,2,11,5,2.5941072087639448e-05,2.6358669473518117e-05
0,2,12,0,7.559047107881756e-05,-2.5627229595650506e-05
0,2,12,1,6.559918602570961e-05,6.85421210258634e-05
0,2,12,2,-1.7154210287448606e-06,9.557793919894767e-05
0,2,12,3,-6.971820829325116e-05,-4.655136841280761e-06
0,2,12,4,-7.071796480107099e-05,-3.289283946946689e-05
0,2,12,5,9.619370185398601e-07,-0.00010094485431841289
0,3,0,0,7.048176235462516e-07,4.617743518213208e-06
0,3,0,1,9.041416632738389e-06,-3.71030987805051e-06
0,3,0,2,7.102154111021419e-06,-2.2907572732605004e-05
0,3,0,3,3.2093050270362376e-05,7.364852298564502e-06
0,3,0,4,-3.7374029283741744e-05,-7.485759144892194e-06
0,3,0,5,-1.1567409353926745e-05,2.2121045938770024e-05
0,3,1,0,1.5131472179167727e-05,-9.521490216110441e-08
0,3,1,1,-2.7252005580277386e-05,-5.6778173122940934e-06
0,3,1,2,4.61184695584623e-05,3.975895757974203e-05
0,3,1,3,-2.1079400527854297e-06,-4.241895458537796e-05
0,3,1,4,4.20170701435472e-06,1.7412479043595053e-05
0,3,1,5,-3.609170311892186e-05,-8.979449823503902e-06
0,3,2,0,-7.220035415830932e-05,2.350282773656424e-05
0,3,2,1,4.9156712984679267e-05,-3.636235620174902e-05
0,3,2,2,-2.3834243444784875e-05,4.4012891276872264e-05
0,3,2,3,9.452871115751013e-06,-3.599521069833123e-05
0,3,2,4,4.846307690427225e-06,-2.66311349076278e-05
0,3,2,5,3.257870581223675e-05,3.1472982794271535e-05
0,3,3,0,4.2963739393481116e-05,-3.638849467611148e-05
0,3,3,1,2.545218540900516e-05,1.8891969878106598e-05
0,3,3,2,-3.3226057862180735e-05,3.242314118599327e-05
0,3,3,3,-7.1438311553614575e-06,-6.282110862447023e-05
0,3,3,4,-2.0875126583249314e-05,-3.5298286852264096e-06
0,3,3,5,-7.170909201694673e-06,5.142432092170821e-05
0,3,4,0,4.0634971571258725e-05,-5.718682728166719e-05
0,3,4,1,5.898327667475757e-06,3.626311363865269e-05
0,3,4,2,-1.53887176507649e-05,9.848043896107425e-06
0,3,4,3,3.2359190444548362e-06,-4.227977964755572e-05
0,3,4,4,-1.296812462521776e-05,4.345182127095868e-05
0,3,4,5,-2.1412376007206752e-05,9.903628123504078e-06
0,3,5,0,-5.887363207519618e-05,-2.688830337031808e-05
0,3,5,1,-2.544902402773428e-05,2.604143016797253e-05
0,3,5,2,4.374951254817472e-05,-3.25567701491848e-05
0,3,5,3,-3.107407280426547e-05,1.9111982606364636e-05
0,3,5,4,-9.897371961218401e-06,-2.985370855896812e-05
0,3,5,5,8.154458832023971e-05,4.414536930413379e-05
0,3,6,0,-2.489641717985683e-05,4.689711144914861e-05
0,3,6,1,8.050102325438388e-06,-1.9837907864335267e-05
0,3,6,2,2.3137330810998033e-05,5.754549687591325e-05
0,3,6,3,-2.1891378746786495e-06,-3.237953583918076e-05
0,3,6,4,-8.548109265630256e-06,1.744208136119116e-05
0,3,6,5,4.44623118372931e-06,-6.966724598273685e-05
0,3,7,0,-7.880081516126869e-06,5.588356721394866e-06
0,3,7,1,1.4362078169568116e-05,-4.0244796242647726e-05
0,3,7,2,-9.060766534874133e-06,3.181077327991387e-05
0,3,7,3,-1.5716151949786104e-05,-1.042953750342703e-05
0,3,7,4,5.817664453746319e-06,4.165968128989874e-06
0,3,7,5,1.2477257377472582e-05,9.109235615776161e-06
0,3,8,0,2.908191642461904e-05,4.454948474799729e-05
0,3,8,1,-3.677823109640248e-05,-6.570066321339288e-05
0,3,8,2,-8.78124013795073e-06,2.6007776294220484e-06
0,3,8,3,1.437646043342864e-05,2.4557737472503697e-05
0,3,8,4,8.070760953366729e-06,-2.3098719269138317e-05
0,3,8,5,-5.969666577061253e-06,1.709138263260813e-05
0,3,9,0,-3.3731092050990843e-07,8.381387513098144e-07
0,3,9,1,1.77307336434867e-05,2.4323438652612115e-05
0,3,9,2,-3.895694415074825e-05,-4.8148535079978264e-05
0,3,9,3,5.327331687506339e-05,2.3189398397814824e-05
0,3,9,4,-3.9891770432476865e-06,4.120143756766178e-06
0,3,9,5,-2.7720618404044277e-05,-4.322584478524714e-06
0,3,10,0,3.831828397889302e-05,-2.8752920799961715e-05
0,3,10,1,1.28013948251675e-05,-6.888061651537241e-07
0,3,10,2,-2.086893969759651e-05,1.2678044982607716e-05
0,3,10,3,4.0640519728341185e-05,5.368312856045413e-06
0,3,10,4,-5.2871047536805725e-05,1.9029778737620782e-05
0,3,10,5,-1.8020211297999473e-05,-7.634409611158457e-06
0,3,11,0,-1.6945162516776608e-05,-5.4434243164018205e-05
0,3,11,1,5.765191130471926e-06,2.59466517481197e-05
0,3,11,2,5.9762059514222795e-06,7.214137587735769e-06
0,3,11,3,7.788764729261599e-06,-1.635110791579354e-05
0,3,11,4,-1.1069334409100968e-06,6.194548827211824e-05
0,3,11,5,-1.4780658534692046e-06,-2.4320926528161845e-05
0,3,12,0,1.1433537244482426e-05,4.662575171739741e-05
0,3,12,1,-3.459752571460179e-05,-1.6023803084313906e-05
0,3,12,2,1.31305445087178e-05,1.4211427643192557e-05
0,3,12,3,1.0439864186228474e-05,-1.8289437154335714e-05
0,3,12,4,-2.8659599121698263e-06,3.453343247733669e-06
0,3,12,5,2.4595396873429293e-06,-2.997728236967403e-05
1,2,0,0,-0.0003518457378017842,0.00026285449644466893
1,2,0,1,-0.0007469062499693371,6.651359946872025e-05
1,2,0,2,-0.00033272138785993044,0.0001218537009885461
1,2,0,3,0.0003518321090077075,-4.001311739416837e-06
1,2,0,4,0.0008997683818574697,-0.00015138747454079393
1,2,0,5,0.0001798728847658754,-0.0002958330106217251
1,2,1,0,-0.00026906850267060904,0.00027570856009545883
1,2,1,1,-0.00011697071760792547,0.00011072263335766043
1,2,1,2,0.0004965870322408471,-1.0144643695787444e-05
1,2,1,3,0.00036570517625980327,-0.0005118779602166207
1,2,1,4,-4.063826703951638e-06,-0.00019232270429089132
1,2,1,5,-0.0004721891615181639,0.0003279141147501804
1,2,2,0,-9.597393927682148e-05,0.00023963110346991267
1,2,2,1,-4.55019586683225e-05,0.00024739355051088633
1,2,2,2,-0.00037401321076241975,0.00011419400071246115
1,2,2,3,-0.00014843380965051667,-3.0936737000503774e-05
1,2,2,4,0.00022659291615504935,-0.0005434489639164554
1,2,2,5,0.00043733000220303126,-2.6832953776300794e-05
1,2,3,0,0.0004256480961850323,4.403773886564198e-05
1,2,3,1,0.00011692394139723892,0.0005379131442536464
1,2,3,2,-0.00046652872080385526,0.0006315063765900698
1,2,3,3,-0.00029136202654256576,-1.6217916946837155e-05
1,2,3,4,-1.2792490939151822e-05,-0.0007330996229215369
1,2,3,5,0.00022811120070330163,-0.00046413971984098394
1,2,4,0,-0.0003726086724113406,-0.00012043882809885539
1,2,4,1,-0.0002126116017558445,-0.0004755961863860379
1,2,4,2,0.000512536545680286,5.404182607293532e-05
1,2,4,3,0.00021749801448621694,0.00012956358921465482
1,2,4,4,0.0002443657390654292,0.0002331954153354955
1,2,4,5,-0.00038918002506474643,0.0001792341838618073
1,2,5,0,0.00011716552212092236,-0.0003501480519204616
1,2,5,1,-0.00036277562473477516,-0.00034496559040048347
1,2,5,2,-0.00037382490706378533,-0.00013619260716694223
1,2,5,3,-0.00016357111320947277,0.00035539164687943537
1,2,5,4,0.0003384447504746448,0.0004574072586927946
1,2,5,5,0.0004445613724124655,1.8507343915658095e-05
1,2,6,0,-0.00039681793094294913,0.00012452933065027085
1,2,6,1,-0.00025198163898690703,-0.0001906112846903324
1,2,6,2,7.088099645131903e-06,-0.0002940064113051196
1,2,6,3,0.00043117495705180157,-0.0003367063113899853
1,2,6,4,0.00024482852307490847,0.00011397481780208212
1,2,6,5,-3.429200984198552e-05,0.0005828198589330845
1,2,7,0,0.0002632301921770051,-8.375277794784748e-05
1,2,7,1,0.0005057189992350523,-0.0005440613854187485
1,2,7,2,-5.30726359115163e-05,-0.0005677140445072358
1,2,7,3,-0.00040067345116183564,6.700628696840947e-05
1,2,7,4,-0.0003286821428433299,0.0003412296392269829
1,2,7,5,1.3479038504623478e-05,0.0007872922816784401
1,2,8,0,0.00023437418988236098,-3.715778003302023e-05
1,2,8,1,0.00015476737086999941,0.0005161092667394629
1,2,8,2,2.6571878169502476e-05,0.00046124740197527134
1,2,8,3,-0.00016409366314219575,-0.000178496274212289
1,2,8,4,-6.372924386401703e-05,-0.0005186771209804516
1,2,8,5,-0.0001878905319156505,-0.00024302549348897306
1,2,9,0,-0.00010746283232682357,-0.00030985576231125096
1,2,9,1,-0.00033966818553145706,0.00024888280903513117
1,2,9,2,0.00024771317282273756,0.00025218950302982726
1,2,9,3,0.0005390268020467931,0.0002973343776597247
1,2,9,4,1.5448628180012394e-05,-8.18013808237725e-05
1,2,9,5,-0.0003550575851912623,-0.00040674954658965985
1,2,10,0,-0.00044052067223444575,0.0003061231545893031
1,2,10,1,-0.0008529426406427961,0.00026514010448066503
1,2,10,2,-0.0005058957176308576,0.00025389346780356676
1,2,10,3,0.0004750784244554353,-0.0002812464941350409
1,2,10,4,0.0007650435674456758,-0.00037259313241327045
1,2,10,5,0.0005592370386069886,-0.00017131710032522362
1,2,11,0,-0.00028792006966132716,6.550779830986664e-05
1,2,11,1,-0.0001971014153016585,0.0005129730372321202
1,2,11,2,0.00025599629109993336,0.00023598895184560517
1,2,11,3,0.0004916050507397878,-0.0001975474218628145
1,2,11,4,8.359602553622165e-05,-0.0004274921236691765
1,2,11,5,-0.0003461758824129562,-0.00018943024185560085
1,2,12,0,0.0004411381231078721,0.000274381967506997
1,2,12,1,0.00022950231899851166,4.6530187454876576e-05
1,2,12,2,0.0001375344104706663,0.00012212521562743952
1,2,12,3,-0.00028454574040190275,-0.00025022618368966676
1,2,12,4,-0.00023342782133390508,-4.930287767236665e-05
1,2,12,5,-0.00029020129084124217,-0.00014350830922727989
1,3,0,0,-0.00028685600259487364,-9.113134601796688e-05
1,3,0,1,0.0001580340038088014,6.951280503629046e-05
1,3,0,2,0.00016509608429441825,0.00017728197243640793
1,3,0,3,-0.00019495720775081376,-0.0002617931675652683
1,3,0,4,0.0001507259265757992,-3.0586103800541765e-05
1,3,0,5,7.957195666668833e-06,0.00013671583991107874
1,3,1,0,0.0002627192013539534,8.812432579884084e-05
1,3,1,1,-9.143217364253483e-05,-9.442289843939777e-05
1,3,1,2,-5.250361638453779e-05,-9.04748597982683e-05
1,3,1,3,8.283493111516815e-05,0.0003065386503277042
1,3,1,4,5.271488180443227e-05,-0.00018965435079671363
1,3,1,5,-0.0002543332242464812,-2.011086709216548e-05
1,3,2,0,-0.0003763786240860898,-9.293685273767876e-05
1,3,2,1,0.00016082769840072923,-0.0002754300789448407
1,3,2,2,0.00016750691629637958,0.00022861203793831482
1,3,2,3,-7.188364102533759e-05,-0.00011460954235895939
1,3,2,4,-3.0168623052735e-05,-5.1275110977200275e-06
1,3,2,5,0.0001500962734670531,0.0002594919472008838
1,3,3,0,0.00029392086583293126,0.00011932833515911875
1,3,3,1,5.8551581632700555e-06,-7.827656448498296e-05
1,3,3,2,-4.025188914163017e-05,-0.00011401934139322823
1,3,3,3,0.00010341765259695884,7.159238244542277e-05
1,3,3,4,-0.0001458096648594186,-9.816814287400954e-05
1,3,3,5,-0.00021713212259211122,9.954333114767932e-05
1,3,4,0,0.00010509807259190138,-1.632368998428618e-05
1,3,4,1,-9.423525202395342e-05,-5.55495763023572e-05
1,3,4,2,0.00019856749806751608,4.009995189232323e-05
1,3,4,3,-0.00023069252626107677,-0.00011891391300480294
1,3,4,4,-2.93836836940227e-05,-2.6275035745900457e-05
1,3,4,5,5.064589131963546e-05,0.00017696226314502372
1,3,5,0,-2.1039239587638648e-05,-1.6952534400583386e-05
1,3,5,1,-0.0001522032759542767,-0.00015762629440296244
1,3,5,2,0.00019425892901450584,0.00018176883905189614
1,3,5,3,3.751939573338483e-05,-0.00039641273158944453
1,3,5,4,-0.00032032564612541586,0.00044596429322458657
1,3,5,5,0.0002617898369194404,-5.67415718834924e-05
1,3,6,0,3.27870867285042e-05,9.764850395619471e-05
1,3,6,1,3.559781523806795e-06,0.00010729700002262228
1,3,6,2,-3.16441015317051e-05,9.200530273496048e-05
1,3,6,3,8.981319145433679e-05,-0.00019736681212070953
1,3,6,4,-5.4033231046124496e-05,8.879917382635734e-05
1,3,6,5,-4.048272712881831e-05,-0.00018838316841942533
1,3,7,0,-3.7220030363344617e-05,4.015182776109596e-05
1,3,7,1,-1.6246408790372294e-05,-7.674325108711003e-05
1,3,7,2,-6.179440382596518e-05,0.00016485964141848118
1,3,7,3,6.567851599216072e-05,-6.2026559492981e-05
1,3,7,4,-8.537888304285373e-05,-0.00010026127809335049
1,3,7,5,0.00013496121003037497,3.401961949386457e-05
1,3,8,0,8.58319426902192e-05,-0.0002155944925823958
1,3,8,1,0.00019447551874599906,3.1570245273122204e-05
1,3,8,2,-0.0002541786663686058,0.00034358828710170285
1,3,8,3,-9.233625574576906e-06,-0.00021614680748339418
1,3,8,4,7.169238199782006e-05,-5.110925710895011e-05
1,3,8,5,-8.858755149085531e-05,0.00010769202479991482
1,3,9,0,0.00023065543848206968,-0.00015185627127243227
1,3,9,1,-7.10686314753772e-05,-9.694292865309291e-05
1,3,9,2,-4.804906482145494e-06,0.00025333791181563587
1,3,9,3,-5.229349240973649e-05,-0.00014109403689698989
1,3,9,4,-4.816170671674099e-06,-2.8721379736953604e-05
1,3,9,5,-9.767223744313626e-05,0.0001652767047438327
1,3,10,0,-7.217952555661715e-05,4.119154671204125e-05
1,3,10,1,-4.3927004499256546e-05,-0.0001239845394637598
1,3,10,2,3.6886142351875674e-05,2.70627781231735e-05
1,3,10,3,0.00013088285949546197,0.0003567914040144636
1,3,10,4,-0.00018407117524036465,-0.00044932397026204856
1,3,10,5,0.00013240870344890068,0.00014826278087612968
1,3,11,0,-3.648572300181146e-05,2.5875857349101986e-05
1,3,11,1,8.948352108349929e-05,8.90449774750462e-05
1,3,11,2,-6.390124842491559e-05,-0.00010853479953656403
1,3,11,3,1.6449135168696465e-05,-7.449208845464217e-05
1,3,11,4,1.516984840077638e-05,0.0002619091706816308
1,3,11,5,-2.0715533226245226e-05,-0.0001938031175145727
1,3,12,0,-0.00010588393790969029,-7.781823137563091e-05
1,3,12,1,0.00022043748182585778,-0.00014646172279945865
1,3,12,2,-4.2700443887698816e-05,0.00034488652905810205
1,3,12,3,-0.00015457156296671314,-0.00025046796309146924
1,3,12,4,0.00011329115666924157,1.5994133507739596e-05
1,3,12,5,-3.05726937309974e-05,0.0001138672547007171
