axis,harmonic,block,site,real_A,imag_A
0,2,0,0,4.125749628642438e-05,-8.001795541953899e-05
0,2,0,1,0.0001176633126057314,-8.777399313852772e-05
0,2,0,2,2.7829218222480638e-05,3.0464486974513345e-05
0,2,0,3,-4.2194059429634895e-05,6.901772347640352e-05
0,2,0,4,-0.00011193214063039635,7.784668671924412e-05
0,2,0,5,-3.2623827054605305e-05,-9.536948612094298e-06
0,2,1,0,4.6313879492599085e-05,-2.0988799888403163e-05
0,2,1,1,2.977758678729489e-05,5.537022791081963e-05
0,2,1,2,1.0103760040492329e-05,9.028749774793411e-05
0,2,1,3,-6.80260965000676e-05,-2.380091969211875e-05
0,2,1,4,-1.5569960226007322e-05,-6.239586401473462e-05
0,2,1,5,-2.5991695943114e-06,-3.847214206349738e-05
0,2,2,0,-3.200955221121093e-05,4.52970961695533e-05
0,2,2,1,-6.506370558026394e-05,-5.693638168579069e-05
0,2,2,2,-4.0353838238401255e-05,-2.6293917483287258e-05
0,2,2,3,8.173046950943138e-05,9.737824323449776e-07
0,2,2,4,5.448207012435199e-05,-4.051996421815605e-06
0,2,2,5,1.2145563960926332e-06,4.10114169889953e-05
0,2,3,0,5.933742373252817e-05,-9.741958337590308e-06
0,2,3,1,5.037342346110972e-05,1.2223163892243784e-05
0,2,3,2,4.976839209458505e-05,-2.9708922898079347e-05
0,2,3,3,-6.103744023762e-05,2.3769719235695072e-05
0,2,3,4,-0.00012373930835530027,2.8409147641967776e-06
0,2,3,5,2.529750930469717e-05,6.170833435340905e-07
0,2,4,0,3.559183365723636e-05,-7.197099907860921e-05
0,2,4,1,4.994898361476563e-05,2.471980780649888e-05
0,2,4,2,-3.5743502621492983e-06,0.00010352557186089773
0,2,4,3,-5.105856289871325e-05,5.6887499731113355e-05
0,2,4,4,-3.6828491221266605e-05,-7.875952396235468e-06
0,2,4,5,5.920587110127182e-06,-0.00010528592792366524
0,2,5,0,-8.091651821512297e-06,-1.766996118868039e-05
0,2,5,1,8.575678955131004e-05,6.950459512900818e-05
0,2,5,2,1.5308748837950138e-05,0.00016476648762745372
0,2,5,3,-3.833931525908288e-05,2.0320362216946922e-05
0,2,5,4,-2.940801791627198e-05,-0.00012549829056992666
0,2,5,5,-2.522655339239303e-05,-0.00011142319321480189
0,2,6,0,-0.00010260559600727713,-2.981650832803887e-06
0,2,6,1,-1.2715956995521185e-05,1.014233713167438e-05
0,2,6,2,2.3946154812941154e-05,2.7688560035323356e-05
0,2,6,3,1.8107816096703732e-05,1.3569369845837061e-05
0,2,6,4,4.7078199254412393e-05,-1.7094975704011973e-05
0,2,6,5,2.618938283874091e-05,-3.132364047601887e-05
0,2,7,0,3.581417692881142e-05,2.7595675420582998e-05
0,2,7,1,-4.7987522787921805e-05,0.0001210511940135731
0,2,7,2,-8.264090626028721e-05,6.127671994885566e-05
0,2,7,3,-3.409613273581174e-05,-8.53332742831259e-05
0,2,7,4,5.365923803170297e-05,-9.451055633335884e-05
0,2,7,5,7.525114682350637e-05,-3.00797587665269e-05
0,2,8,0,-5.4799868336126854e-05,-7.985673209968094e-05
0,2,8,1,2.9768423761273234e-05,-2.6607247482009323e-05
0,2,8,2,2.352541133373138e-05,-1.75429854046233e-05
